Date,CPWR
2018-03-20,0.122
2018-03-21,0.143
2018-03-22,0.145
2018-03-23,0.16
2018-03-26,0.175
2018-03-27,0.215
2018-03-28,0.24
2018-03-29,0.212
2018-04-02,0.249
2018-04-03,0.26
2018-04-04,0.28
2018-04-05,0.3
2018-04-06,0.3
2018-04-09,0.28
2018-04-10,0.28
2018-04-11,0.279
2018-04-12,0.27
2018-04-13,0.265
2018-04-16,0.274
2018-04-17,0.26
2018-04-18,0.253
2018-04-19,0.255
2018-04-20,0.242
2018-04-23,0.248
2018-04-24,0.228
2018-04-25,0.2
2018-04-26,0.183
2018-04-27,0.21
2018-04-30,0.199
2018-05-01,0.18
2018-05-02,0.178
2018-05-03,0.17
2018-05-04,0.174
2018-05-07,0.21
2018-05-08,0.187
2018-05-09,0.183
2018-05-10,0.19
2018-05-11,0.2
2018-05-14,0.18
2018-05-15,0.17
2018-05-16,0.2
2018-05-17,0.209
2018-05-18,0.18
2018-05-21,0.188
2018-05-22,0.171
2018-05-23,0.18
2018-05-24,0.18
2018-05-25,0.19
2018-05-29,0.21
2018-05-30,0.2
2018-05-31,0.197
2018-06-01,0.19
2018-06-04,0.208
2018-06-05,0.205
2018-06-06,0.2
2018-06-07,0.186
2018-06-08,0.18
2018-06-11,0.18
2018-06-12,0.175
2018-06-13,0.17
2018-06-14,0.165
2018-06-15,0.163
2018-06-18,0.13
2018-06-19,0.13
2018-06-20,0.149
2018-06-21,0.138
2018-06-22,0.11
2018-06-25,0.12
2018-06-26,0.117
2018-06-27,0.107
2018-06-28,0.118
2018-06-29,0.11
2018-07-02,0.11
2018-07-03,0.107
2018-07-05,0.105
2018-07-06,0.105
2018-07-09,0.118
2018-07-10,0.118
2018-07-11,0.112
2018-07-12,0.106
2018-07-13,0.109
2018-07-16,0.109
2018-07-17,0.105
2018-07-18,0.104
2018-07-19,0.105
2018-07-20,0.105
2018-07-23,0.105
2018-07-24,0.108
2018-07-25,0.103
2018-07-26,0.096
2018-07-27,0.105
2018-07-30,0.113
2018-07-31,0.1
2018-08-01,0.097
2018-08-02,0.12
2018-08-03,0.107
2018-08-06,0.09
2018-08-07,0.09
2018-08-08,0.08
2018-08-09,0.084
2018-08-10,0.11
2018-08-13,0.099
2018-08-14,0.1
2018-08-15,0.1
2018-08-16,0.11
2018-08-17,0.098
2018-08-20,0.1
2018-08-21,0.09
2018-08-22,0.08
2018-08-23,0.076
2018-08-24,0.107
2018-08-27,0.089
2018-08-28,0.085
2018-08-29,0.08
2018-08-30,0.078
2018-08-31,0.08
2018-09-04,0.078
2018-09-05,0.075
2018-09-06,0.075
2018-09-07,0.075
2018-09-10,0.075
2018-09-11,0.064
2018-09-12,0.065
2018-09-13,0.065
2018-09-14,0.06
2018-09-17,0.064
2018-09-18,0.06
2018-09-19,0.063
2018-09-20,0.06
2018-09-21,0.061
2018-09-24,0.07
2018-09-25,0.06
2018-09-26,0.06
2018-09-27,0.055
2018-09-28,0.06
2018-10-01,0.05
2018-10-02,0.05
2018-10-03,0.05
2018-10-04,0.045
2018-10-05,0.045
2018-10-08,0.045
2018-10-09,0.043
2018-10-10,0.047
2018-10-11,0.045
2018-10-12,0.047
2018-10-15,0.04
2018-10-16,0.04
2018-10-17,0.04
2018-10-18,0.04
2018-10-19,0.045
2018-10-22,0.045
2018-10-23,0.044
2018-10-24,0.05
2018-10-25,0.055
2018-10-26,0.065
2018-10-29,0.045
2018-10-30,0.053
2018-10-31,0.05
2018-11-01,0.046
2018-11-02,0.05
2018-11-05,0.041
2018-11-06,0.041
2018-11-07,0.05
2018-11-08,0.055
2018-11-09,0.058
2018-11-12,0.05
2018-11-13,0.053
2018-11-14,0.058
2018-11-15,0.058
2018-11-16,0.043
2018-11-19,0.045
2018-11-20,0.045
2018-11-21,0.045
2018-11-23,0.04
2018-11-26,0.04
2018-11-27,0.05
2018-11-28,0.05
2018-11-29,0.042
2018-11-30,0.05
2018-12-03,0.051
2018-12-04,0.059
2018-12-06,0.045
2018-12-07,0.06
2018-12-10,0.061
2018-12-11,0.059
2018-12-12,0.055
2018-12-13,0.05
2018-12-14,0.053
2018-12-17,0.06
2018-12-18,0.075
2018-12-19,0.08
2018-12-20,0.05
2018-12-21,0.05
2018-12-24,0.05
2018-12-26,0.07
2018-12-27,0.056
2018-12-28,0.056
2018-12-31,0.065
2019-01-02,0.05
2019-01-03,0.05
2019-01-04,0.05
2019-01-07,0.055
2019-01-08,0.049
2019-01-09,0.05
2019-01-10,0.05
2019-01-11,0.054
2019-01-14,0.05
2019-01-15,0.048
2019-01-16,0.048
2019-01-17,0.05
2019-01-18,0.05
2019-01-22,0.048
2019-01-23,0.05
2019-01-24,0.055
2019-01-25,0.055
2019-01-28,0.045
2019-01-29,0.045
2019-01-30,0.054
2019-01-31,0.053
2019-02-01,0.048
2019-02-04,0.048
2019-02-05,0.045
2019-02-06,0.053
2019-02-07,0.05
2019-02-08,0.05
2019-02-11,0.054
2019-02-12,0.054
2019-02-13,0.054
2019-02-14,0.054
2019-02-15,0.045
2019-02-19,0.041
2019-02-20,0.041
2019-02-21,0.04
2019-02-22,0.04
2019-02-25,0.04
2019-02-26,0.04
2019-02-27,0.041
2019-02-28,0.04
2019-03-01,0.04
2019-03-04,0.044
2019-03-05,0.044
2019-03-06,0.044
2019-03-07,0.045
2019-03-08,0.039
2019-03-11,0.039
2019-03-12,0.038
2019-03-13,0.042
2019-03-14,0.048
2019-03-15,0.04
2019-03-18,0.041
2019-03-19,0.041
2019-03-20,0.04
2019-03-21,0.04
2019-03-22,0.04
2019-03-25,0.05
2019-03-26,0.05
2019-03-27,0.05
2019-03-28,0.045
2019-03-29,0.045
2019-04-01,0.039
2019-04-02,0.054
2019-04-03,0.054
2019-04-04,0.054
2019-04-05,0.04
2019-04-08,0.04
2019-04-09,0.05
2019-04-10,0.05
2019-04-11,0.05
2019-04-12,0.05
2019-04-15,0.042
2019-04-16,0.04
2019-04-17,0.04
2019-04-18,0.038
2019-04-22,0.045
2019-04-23,0.045
2019-04-24,0.038
2019-04-25,0.038
2019-04-26,0.05
2019-04-29,0.038
2019-04-30,0.038
2019-05-01,0.044
2019-05-02,0.044
2019-05-03,0.045
2019-05-06,0.048
2019-05-07,0.05
2019-05-08,0.038
2019-05-09,0.055
2019-05-10,0.055
2019-05-13,0.05
2019-05-14,0.05
2019-05-15,0.041
2019-05-16,0.041
2019-05-17,0.041
2019-05-20,0.041
2019-05-21,0.041
2019-05-22,0.041
2019-05-23,0.04
2019-05-24,0.043
2019-05-28,0.043
2019-05-29,0.043
2019-05-30,0.043
2019-05-31,0.042
2019-06-03,0.041
2019-06-04,0.041
2019-06-05,0.043
2019-06-06,0.043
2019-06-07,0.038
2019-06-10,0.04
2019-06-11,0.038
2019-06-12,0.039
2019-06-13,0.038
2019-06-14,0.04
2019-06-17,0.04
2019-06-18,0.04
2019-06-19,0.04
2019-06-20,0.04
2019-06-21,0.04
2019-06-24,0.038
2019-06-25,0.038
2019-06-26,0.038
2019-06-27,0.038
2019-06-28,0.044
2019-07-01,0.043
2019-07-02,0.035
2019-07-03,0.044
2019-07-05,0.048
2019-07-08,0.035
2019-07-09,0.04
2019-07-10,0.04
2019-07-11,0.035
2019-07-12,0.042
2019-07-15,0.042
2019-07-16,0.04
2019-07-17,0.036
2019-07-18,0.036
2019-07-19,0.04
2019-07-22,0.04
2019-07-23,0.038
2019-07-24,0.04
2019-07-25,0.04
2019-07-26,0.038
2019-07-29,0.038
2019-07-30,0.038
2019-07-31,0.038
2019-08-01,0.038
2019-08-02,0.038
2019-08-05,0.038
2019-08-06,0.043
2019-08-07,0.046
2019-08-08,0.05
2019-08-09,0.05
2019-08-12,0.05
2019-08-13,0.05
2019-08-14,0.05
2019-08-15,0.04
2019-08-16,0.04
2019-08-19,0.04
2019-08-20,0.04
2019-08-21,0.04
2019-08-22,0.042
2019-08-23,0.04
2019-08-26,0.04
2019-08-27,0.04
2019-08-28,0.036
2019-08-29,0.036
2019-08-30,0.036
2019-09-03,0.05
2019-09-04,0.05
2019-09-05,0.05
2019-09-06,0.036
2019-09-09,0.036
2019-09-10,0.036
2019-09-11,0.045
2019-09-12,0.045
2019-09-13,0.04
2019-09-16,0.04
2019-09-17,0.04
2019-09-18,0.04
2019-09-19,0.04
2019-09-20,0.04
2019-09-23,0.035
2019-09-24,0.035
2019-09-25,0.036
2019-09-26,0.04
2019-09-27,0.04
2019-09-30,0.04
2019-10-01,0.04
2019-10-02,0.038
2019-10-03,0.04
2019-10-04,0.036
2019-10-07,0.036
2019-10-08,0.036
2019-10-09,0.036
2019-10-10,0.036
2019-10-11,0.025
2019-10-14,0.025
2019-10-15,0.04
2019-10-16,0.03
2019-10-17,0.03
2019-10-18,0.03
2019-10-21,0.03
2019-10-22,0.026
2019-10-23,0.026
2019-10-24,0.04
2019-10-25,0.04
2019-10-28,0.04
2019-10-29,0.036
2019-10-30,0.037
2019-10-31,0.036
2019-11-01,0.037
2019-11-04,0.035
2019-11-05,0.035
2019-11-06,0.035
2019-11-07,0.035
2019-11-08,0.035
2019-11-11,0.035
2019-11-12,0.035
2019-11-13,0.035
2019-11-14,0.04
2019-11-15,0.04
2019-11-18,0.03
2019-11-19,0.03
2019-11-20,0.049
2019-11-21,0.048
2019-11-22,0.049
2019-11-25,0.049
2019-11-26,0.049
2019-11-27,0.04
2019-11-29,0.04
2019-12-02,0.04
2019-12-03,0.04
2019-12-04,0.04
2019-12-05,0.04
2019-12-06,0.04
2019-12-09,0.041
2019-12-10,0.041
2019-12-11,0.041
2019-12-12,0.041
2019-12-13,0.041
2019-12-16,0.04
2019-12-17,0.04
2019-12-18,0.037
2019-12-19,0.029
2019-12-20,0.029
2019-12-23,0.028
2019-12-24,0.028
2019-12-26,0.04
2019-12-27,0.039
2019-12-30,0.039
2019-12-31,0.026
2020-01-02,0.026
2020-01-03,0.026
2020-01-06,0.035
2020-01-07,0.035
2020-01-08,0.029
2020-01-09,0.036
2020-01-10,0.04
2020-01-13,0.04
2020-01-14,0.04
2020-01-15,0.04
2020-01-16,0.069
2020-01-17,0.099
2020-01-21,0.06
2020-01-22,0.065
2020-01-23,0.085
2020-01-24,0.085
2020-01-27,0.061
2020-01-28,0.061
2020-01-29,0.076
2020-01-30,0.08
2020-01-31,0.086
2020-02-03,0.08
2020-02-04,0.083
2020-02-05,0.083
2020-02-06,0.055
2020-02-07,0.06
2020-02-10,0.06
2020-02-11,0.06
2020-02-12,0.06
2020-02-13,0.058
2020-02-14,0.043
2020-02-18,0.043
2020-02-19,0.043
2020-02-20,0.06
2020-02-21,0.06
2020-02-24,0.061
2020-02-25,0.043
2020-02-26,0.043
2020-02-27,0.043
2020-02-28,0.043
2020-03-02,0.043
2020-03-03,0.043
2020-03-04,0.049
2020-03-05,0.049
2020-03-06,0.07
2020-03-09,0.043
2020-03-10,0.043
2020-03-11,0.063
2020-03-12,0.063
2020-03-13,0.057
2020-03-16,0.056
2020-03-17,0.056
2020-03-18,0.053
2020-03-19,0.053
2020-03-20,0.051
2020-03-23,0.05
2020-03-24,0.05
2020-03-25,0.053
2020-03-26,0.052
2020-03-27,0.052
2020-03-30,0.045
2020-03-31,0.048
2020-04-01,0.048
2020-04-02,0.053
2020-04-03,0.053
2020-04-06,0.042
2020-04-07,0.058
2020-04-08,0.04
2020-04-09,0.047
2020-04-13,0.047
2020-04-14,0.044
2020-04-15,0.049
2020-04-16,0.051
2020-04-17,0.04
2020-04-20,0.04
2020-04-21,0.04
2020-04-22,0.051
2020-04-23,0.051
2020-04-24,0.051
2020-04-27,0.055
2020-04-28,0.055
2020-04-29,0.055
2020-04-30,0.055
2020-05-01,0.055
2020-05-04,0.04
2020-05-05,0.04
2020-05-06,0.04
2020-05-07,0.04
2020-05-08,0.045
