Date,SFI
2012-04-13,0.034
2012-04-16,0.035
2012-04-17,0.035
2012-04-18,0.032
2012-04-19,0.033
2012-04-20,0.032
2012-04-23,0.031
2012-04-24,0.035
2012-04-25,0.033
2012-04-26,0.033
2012-04-27,0.029
2012-04-30,0.03
2012-05-01,0.03
2012-05-02,0.03
2012-05-03,0.03
2012-05-04,0.029
2012-05-07,0.031
2012-05-08,0.03
2012-05-09,0.03
2012-05-10,0.035
2012-05-11,0.033
2012-05-14,0.029
2012-05-15,0.031
2012-05-16,0.028
2012-05-17,0.028
2012-05-18,0.025
2012-05-21,0.026
2012-05-22,0.026
2012-05-23,0.026
2012-05-24,0.027
2012-05-25,0.027
2012-05-29,0.027
2012-05-30,0.025
2012-05-31,0.027
2012-06-01,0.026
2012-06-04,0.024
2012-06-05,0.022
2012-06-06,0.022
2012-06-07,0.022
2012-06-08,0.022
2012-06-11,0.021
2012-06-12,0.023
2012-06-13,0.024
2012-06-14,0.022
2012-06-15,0.024
2012-06-18,15217.400391
2012-06-19,14869.599609
2012-06-20,15043.5
2012-06-21,14956.5
2012-06-22,14087.0
2012-06-25,13739.099609
2012-06-26,13652.200195
2012-06-27,13391.299805
2012-06-28,13739.099609
2012-06-29,14000.0
2012-07-02,13826.099609
2012-07-03,13217.400391
2012-07-05,13478.299805
2012-07-06,13478.299805
2012-07-09,13043.5
2012-07-10,13391.299805
2012-07-11,13304.299805
2012-07-12,13217.400391
2012-07-13,13652.200195
2012-07-16,13391.299805
2012-07-17,13739.099609
2012-07-18,13913.0
2012-07-19,14347.799805
2012-07-20,14782.599609
2012-07-23,14782.599609
2012-07-24,14956.5
2012-07-25,14521.700195
2012-07-26,14347.799805
2012-07-27,14000.0
2012-07-30,14000.0
2012-07-31,14608.700195
2012-08-01,14608.700195
2012-08-02,14087.0
2012-08-03,14000.0
2012-08-06,13913.0
2012-08-07,13913.0
2012-08-08,14000.0
2012-08-09,14260.900391
2012-08-10,14173.900391
2012-08-13,14173.900391
2012-08-14,14347.799805
2012-08-15,14087.0
2012-08-16,14260.900391
2012-08-17,14260.900391
2012-08-20,14260.900391
2012-08-21,13565.200195
2012-08-22,13478.299805
2012-08-23,12869.599609
2012-08-24,13478.299805
2012-08-27,12956.5
2012-08-28,13304.299805
2012-08-29,13913.0
2012-08-30,14347.799805
2012-08-31,13913.0
2012-09-04,13913.0
2012-09-05,13913.0
2012-09-06,13826.099609
2012-09-07,13913.0
2012-09-10,13217.400391
2012-09-11,12869.599609
2012-09-12,12521.700195
2012-09-13,13130.400391
2012-09-14,13478.299805
2012-09-17,13391.299805
2012-09-18,13043.5
2012-09-19,13304.299805
2012-09-20,13043.5
2012-09-21,13043.5
2012-09-24,13478.299805
2012-09-25,13043.5
2012-09-26,13043.5
2012-09-27,13391.299805
2012-09-28,13478.299805
2012-10-01,13043.5
2012-10-02,13478.299805
2012-10-03,13130.400391
2012-10-04,13217.400391
2012-10-05,13478.299805
2012-10-08,13304.299805
2012-10-09,13478.299805
2012-10-10,13739.099609
2012-10-11,13826.099609
2012-10-12,13739.099609
2012-10-15,13478.299805
2012-10-16,13826.099609
2012-10-17,14260.900391
2012-10-18,13652.200195
2012-10-19,13739.099609
2012-10-22,13217.400391
2012-10-23,13217.400391
2012-10-24,13217.400391
2012-10-25,13304.299805
2012-10-26,13391.299805
2012-10-31,13565.200195
2012-11-01,13391.299805
2012-11-02,13391.299805
2012-11-05,14000.0
2012-11-06,13826.099609
2012-11-07,13826.099609
2012-11-08,13826.099609
2012-11-09,13913.0
2012-11-12,14608.700195
2012-11-13,14782.599609
2012-11-14,14782.599609
2012-11-15,14695.700195
2012-11-16,14695.700195
2012-11-19,14782.599609
2012-11-20,14782.599609
2012-11-21,14869.599609
2012-11-23,14695.700195
2012-11-26,14782.599609
2012-11-27,14347.799805
2012-11-28,14347.799805
2012-11-29,14434.799805
2012-11-30,14608.700195
2012-12-03,14608.700195
2012-12-04,14869.599609
2012-12-05,15043.5
2012-12-06,15043.5
2012-12-07,14695.700195
2012-12-10,14869.599609
2012-12-11,14869.599609
2012-12-12,14869.599609
2012-12-13,14782.599609
2012-12-14,14782.599609
2012-12-17,14869.599609
2012-12-18,14782.599609
2012-12-19,14695.700195
2012-12-20,14608.700195
2012-12-21,14521.700195
2012-12-24,14521.700195
2012-12-26,14521.700195
2012-12-27,14521.700195
2012-12-28,14782.599609
2012-12-31,14782.599609
2013-01-02,14782.599609
2013-01-03,15130.400391
2013-01-04,14695.700195
2013-01-07,14956.5
2013-01-08,14869.599609
2013-01-09,14869.599609
2013-01-10,15043.5
2013-01-11,15043.5
2013-01-14,14956.5
2013-01-15,15043.5
2013-01-16,15043.5
2013-01-17,14956.5
2013-01-18,14869.599609
2013-01-22,15652.200195
2013-01-23,15565.200195
2013-01-24,15043.5
2013-01-25,15565.200195
2013-01-28,15565.200195
2013-01-29,15565.200195
2013-01-30,16087.0
2013-01-31,16087.0
2013-02-01,16087.0
2013-02-04,16000.0
2013-02-05,15826.099609
2013-02-06,16087.0
2013-02-07,15913.0
2013-02-08,15478.299805
2013-02-11,15478.299805
2013-02-12,15478.299805
2013-02-13,15478.299805
2013-02-14,15478.299805
2013-02-15,15478.299805
2013-02-19,16260.900391
2013-02-20,16087.0
2013-02-21,15826.099609
2013-02-22,15826.099609
2013-02-25,16521.699219
2013-02-26,16695.699219
2013-02-27,15826.099609
2013-02-28,16087.0
2013-03-01,16000.0
2013-03-04,16000.0
2013-03-05,16000.0
2013-03-06,16087.0
2013-03-07,16087.0
2013-03-08,16521.699219
2013-03-11,16521.699219
2013-03-12,16608.699219
2013-03-13,16521.699219
2013-03-14,16608.699219
2013-03-15,17739.099609
2013-03-18,18956.5
2013-03-19,19043.5
2013-03-20,18782.599609
2013-03-21,18260.900391
2013-03-22,18695.699219
2013-03-25,19391.300781
2013-03-26,19391.300781
2013-03-27,19391.300781
2013-03-28,19391.300781
2013-04-01,20695.699219
2013-04-02,20695.699219
2013-04-03,20608.699219
2013-04-04,20347.800781
2013-04-05,19565.199219
2013-04-08,20521.699219
2013-04-09,20000.0
2013-04-10,19652.199219
2013-04-11,19565.199219
2013-04-12,19130.400391
2013-04-15,18260.900391
2013-04-16,18956.5
2013-04-17,19043.5
2013-04-18,19043.5
2013-04-19,19043.5
2013-04-22,18956.5
2013-04-23,18695.699219
2013-04-24,18695.699219
2013-04-25,18434.800781
2013-04-26,19043.5
2013-04-29,19043.5
2013-04-30,19043.5
2013-05-01,19043.5
2013-05-02,19304.300781
2013-05-03,18521.699219
2013-05-06,18521.699219
2013-05-07,18347.800781
2013-05-08,18347.800781
2013-05-09,18260.900391
2013-05-10,18260.900391
2013-05-13,18087.0
2013-05-14,17739.099609
2013-05-15,18173.900391
2013-05-16,17913.0
2013-05-17,18087.0
2013-05-20,18260.900391
2013-05-21,19130.400391
2013-05-22,18608.699219
2013-05-23,18260.900391
2013-05-24,18173.900391
2013-05-28,18434.800781
2013-05-29,18608.699219
2013-05-30,18695.699219
2013-05-31,18956.5
2013-06-03,19304.300781
2013-06-04,20347.800781
2013-06-05,19217.400391
2013-06-06,19739.099609
2013-06-07,18956.5
2013-06-10,18608.699219
2013-06-11,18956.5
2013-06-12,18608.699219
2013-06-13,19043.5
2013-06-14,18695.699219
2013-06-17,18000.0
2013-06-18,18087.0
2013-06-19,18087.0
2013-06-20,18260.900391
2013-06-21,17826.099609
2013-06-24,16608.699219
2013-06-25,16869.599609
2013-06-26,16869.599609
2013-06-27,18000.0
2013-06-28,18260.900391
2013-07-01,17913.0
2013-07-02,17913.0
2013-07-03,18260.900391
2013-07-05,18000.0
2013-07-08,17826.099609
2013-07-09,17826.099609
2013-07-10,17913.0
2013-07-11,17913.0
2013-07-12,18869.599609
2013-07-15,18173.900391
2013-07-16,18087.0
2013-07-17,16956.5
2013-07-18,16956.5
2013-07-19,18087.0
2013-07-22,19043.5
2013-07-23,17826.099609
2013-07-24,17391.300781
2013-07-25,17391.300781
2013-07-26,17739.099609
2013-07-29,18000.0
2013-07-30,17739.099609
2013-07-31,17913.0
2013-08-01,17913.0
2013-08-02,18087.0
2013-08-05,17652.199219
2013-08-06,17826.099609
2013-08-07,18260.900391
2013-08-08,18260.900391
2013-08-09,18260.900391
2013-08-12,18173.900391
2013-08-13,18173.900391
2013-08-14,18260.900391
2013-08-15,18695.699219
2013-08-16,20000.0
2013-08-19,21391.300781
2013-08-20,21565.199219
2013-08-21,21043.5
2013-08-22,19826.099609
2013-08-23,20000.0
2013-08-26,20260.900391
2013-08-27,19913.0
2013-08-28,18782.599609
2013-08-29,19913.0
2013-08-30,18869.599609
2013-09-03,19913.0
2013-09-04,19043.5
2013-09-05,19043.5
2013-09-06,20347.800781
2013-09-09,20695.699219
2013-09-10,20869.599609
2013-09-11,21043.5
2013-09-12,20869.599609
2013-09-13,20695.699219
2013-09-16,20521.699219
2013-09-17,20695.699219
2013-09-18,20695.699219
2013-09-19,20434.800781
2013-09-20,20782.599609
2013-09-23,20347.800781
2013-09-24,20260.900391
2013-09-25,20347.800781
2013-09-26,20347.800781
2013-09-27,20000.0
2013-09-30,20087.0
2013-10-01,19826.099609
2013-10-02,20000.0
2013-10-03,20869.599609
2013-10-04,20869.599609
2013-10-07,20608.699219
2013-10-08,20000.0
2013-10-09,20000.0
2013-10-10,20782.599609
2013-10-11,20695.699219
2013-10-14,20608.699219
2013-10-15,21217.400391
2013-10-16,21130.400391
2013-10-17,21391.300781
2013-10-18,21565.199219
2013-10-21,20608.699219
2013-10-22,21913.0
2013-10-23,21913.0
2013-10-24,21913.0
2013-10-25,21739.099609
2013-10-28,21565.199219
2013-10-29,21565.199219
2013-10-30,22608.699219
2013-10-31,22347.800781
2013-11-01,23043.5
2013-11-04,23391.300781
2013-11-05,23304.300781
2013-11-06,23130.400391
2013-11-07,22782.599609
2013-11-08,23217.400391
2013-11-11,23304.300781
2013-11-12,23652.199219
2013-11-13,23739.099609
2013-11-14,23739.099609
2013-11-15,23913.0
2013-11-18,23739.099609
2013-11-19,23565.199219
2013-11-20,23391.300781
2013-11-21,23652.199219
2013-11-22,23739.099609
2013-11-25,23652.199219
2013-11-26,23652.199219
2013-11-27,23565.199219
2013-11-29,24173.900391
2013-12-02,24173.900391
2013-12-03,23913.0
2013-12-04,23913.0
2013-12-05,23826.099609
2013-12-06,24000.0
2013-12-09,23826.099609
2013-12-10,24347.800781
2013-12-11,24087.0
2013-12-12,24347.800781
2013-12-13,24347.800781
2013-12-16,24347.800781
2013-12-17,24347.800781
2013-12-18,24347.800781
2013-12-19,24782.599609
2013-12-20,24347.800781
2013-12-23,25304.300781
2013-12-24,26087.0
2013-12-26,26956.5
2013-12-27,27826.099608999997
2013-12-30,28608.699219
2013-12-31,28608.699219
2014-01-02,29391.300781
2014-01-03,28695.699219
2014-01-06,28695.699219
2014-01-07,29478.300781
2014-01-08,29130.400391000003
2014-01-09,29130.400391000003
2014-01-10,29130.400391000003
2014-01-13,29043.5
2014-01-14,29043.5
2014-01-15,27043.5
2014-01-16,27826.099608999997
2014-01-17,28260.900391000003
2014-01-21,30000.0
2014-01-22,30000.0
2014-01-23,30434.800781
2014-01-24,31304.300781
2014-01-27,31478.300781
2014-01-28,31478.300781
2014-01-29,31478.300781
2014-01-30,31478.300781
2014-01-31,31478.300781
2014-02-03,31478.300781
2014-02-04,31478.300781
2014-02-05,31478.300781
2014-02-06,32608.699219
2014-02-07,32173.900391000003
2014-02-10,32173.900391000003
2014-02-11,32608.699219
2014-02-12,32173.900391000003
2014-02-13,32087.0
2014-02-14,32173.900391000003
2014-02-18,32260.900391000003
2014-02-19,32260.900391000003
2014-02-20,32173.900391000003
2014-02-21,32173.900391000003
2014-02-24,32173.900391000003
2014-02-25,32173.900391000003
2014-02-26,32173.900391000003
2014-02-27,32087.0
2014-02-28,32087.0
2014-03-03,32087.0
2014-03-04,31304.300781
2014-03-05,30434.800781
2014-03-06,31391.300781
2014-03-07,32087.0
2014-03-10,32087.0
2014-03-11,30608.699219
2014-03-12,30608.699219
2014-03-13,32000.0
2014-03-14,32000.0
2014-03-17,31913.0
2014-03-18,32869.601563
2014-03-19,32173.900391000003
2014-03-20,32173.900391000003
2014-03-21,33130.398438
2014-03-24,32173.900391000003
2014-03-25,32608.699219
2014-03-26,30869.599608999997
2014-03-27,31304.300781
2014-03-28,30087.0
2014-03-31,31739.099608999997
2014-04-01,29565.199219
2014-04-02,28695.699219
2014-04-03,28087.0
2014-04-04,28695.699219
2014-04-07,30521.699219
2014-04-08,29565.199219
2014-04-09,29565.199219
2014-04-10,27826.099608999997
2014-04-11,28695.699219
2014-04-14,29565.199219
2014-04-15,29391.300781
2014-04-16,30434.800781
2014-04-17,29565.199219
2014-04-21,30434.800781
2014-04-22,30434.800781
2014-04-23,29043.5
2014-04-24,30000.0
2014-04-25,30956.5
2014-04-28,29217.400391000003
2014-04-29,29217.400391000003
2014-04-30,29217.400391000003
2014-05-01,29217.400391000003
2014-05-02,29217.400391000003
2014-05-05,30347.800781
2014-05-06,30869.599608999997
2014-05-07,29565.199219
2014-05-08,29565.199219
2014-05-09,31304.300781
2014-05-12,31130.400391000003
2014-05-13,28956.5
2014-05-14,30347.800781
2014-05-15,30347.800781
2014-05-16,30347.800781
2014-05-19,29565.199219
2014-05-20,27913.0
2014-05-21,28956.5
2014-05-22,26956.5
2014-05-23,25130.400391
2014-05-27,26608.699219
2014-05-28,24956.5
2014-05-29,25913.0
2014-05-30,25913.0
2014-06-02,26000.0
2014-06-03,26000.0
2014-06-04,26521.699219
2014-06-05,26521.699219
2014-06-06,26521.699219
2014-06-09,24782.599609
2014-06-10,24782.599609
2014-06-11,26000.0
2014-06-12,26521.699219
2014-06-13,26521.699219
2014-06-16,26521.699219
2014-06-17,26521.699219
2014-06-18,24782.599609
2014-06-19,26260.900391
2014-06-20,26260.900391
2014-06-23,26087.0
2014-06-24,26087.0
2014-06-25,25913.0
2014-06-26,25913.0
2014-06-27,26347.800781
2014-06-30,26260.900391
2014-07-01,25652.199219
2014-07-02,25913.0
2014-07-03,25043.5
2014-07-07,26000.0
2014-07-08,25913.0
2014-07-09,25217.400391
2014-07-10,25739.099609
2014-07-11,25652.199219
2014-07-14,26869.599608999997
2014-07-15,26869.599608999997
2014-07-16,26782.599609
2014-07-17,25652.199219
2014-07-18,25652.199219
2014-07-21,26260.900391
2014-07-22,26260.900391
2014-07-23,26260.900391
2014-07-24,24782.599609
2014-07-25,25565.199219
2014-07-28,23826.099609
2014-07-29,25304.300781
2014-07-30,24347.800781
2014-07-31,25565.199219
2014-08-01,25565.199219
2014-08-04,25565.199219
2014-08-05,25652.199219
2014-08-06,24521.699219
2014-08-07,25043.5
2014-08-08,24608.699219
2014-08-11,25913.0
2014-08-12,27652.199219
2014-08-13,29565.199219
2014-08-14,29565.199219
2014-08-15,28695.699219
2014-08-18,26695.699219
2014-08-19,28087.0
2014-08-20,27739.099608999997
2014-08-21,26608.699219
2014-08-22,26695.699219
2014-08-25,26521.699219
2014-08-26,25652.199219
2014-08-27,27391.300781
2014-08-28,29304.300781
2014-08-29,31304.300781
2014-09-02,31304.300781
2014-09-03,30869.599608999997
2014-09-04,30434.800781
2014-09-05,32521.699219
2014-09-08,34000.0
2014-09-09,31652.199219
2014-09-10,32347.800781
2014-09-11,31826.099608999997
2014-09-12,32521.699219
2014-09-15,31826.099608999997
2014-09-16,31739.099608999997
2014-09-17,31304.300781
2014-09-18,31391.300781
2014-09-19,32173.900391000003
2014-09-22,32173.900391000003
2014-09-23,31826.099608999997
2014-09-24,28434.800781
2014-09-25,27913.0
2014-09-26,27217.400391000003
2014-09-29,26173.900391
2014-09-30,26173.900391
2014-10-01,27391.300781
2014-10-02,27130.400391000003
2014-10-03,26782.599609
2014-10-06,27217.400391000003
2014-10-07,26956.5
2014-10-08,27391.300781
2014-10-09,26956.5
2014-10-10,26695.699219
2014-10-13,26521.699219
2014-10-14,26521.699219
2014-10-15,26260.900391
2014-10-16,26173.900391
2014-10-17,26173.900391
2014-10-20,26087.0
2014-10-21,25913.0
2014-10-22,25913.0
2014-10-23,26000.0
2014-10-24,26087.0
2014-10-27,25652.199219
2014-10-28,25391.300781
2014-10-29,25565.199219
2014-10-30,26087.0
2014-10-31,26521.699219
2014-11-03,26521.699219
2014-11-04,26087.0
2014-11-05,26087.0
2014-11-06,27826.099608999997
2014-11-07,28000.0
2014-11-10,28608.699219
2014-11-11,28260.900391000003
2014-11-12,27826.099608999997
2014-11-13,27826.099608999997
2014-11-14,27478.300781
2014-11-17,27652.199219
2014-11-18,27304.300781
2014-11-19,25739.099609
2014-11-20,25652.199219
2014-11-21,25478.300781
2014-11-24,24782.599609
2014-11-25,24782.599609
2014-11-26,24695.699219
2014-11-28,24869.599609
2014-12-01,24869.599609
2014-12-02,24956.5
2014-12-03,25217.400391
2014-12-04,25913.0
2014-12-05,25826.099609
2014-12-08,25217.400391
2014-12-09,24434.800781
2014-12-10,25043.5
2014-12-11,24956.5
2014-12-12,24956.5
2014-12-15,24782.599609
2014-12-16,24000.0
2014-12-17,22608.699219
2014-12-18,23304.300781
2014-12-19,23043.5
2014-12-22,23130.400391
2014-12-23,23130.400391
2014-12-24,23478.300781
2014-12-26,23043.5
2014-12-29,21739.099609
2014-12-30,22434.800781
2014-12-31,22956.5
2015-01-02,22956.5
2015-01-05,23043.5
2015-01-06,23652.199219
2015-01-07,24347.800781
2015-01-08,24087.0
2015-01-09,23826.099609
2015-01-12,23739.099609
2015-01-13,23478.300781
2015-01-14,23391.300781
2015-01-15,23391.300781
2015-01-16,23478.300781
2015-01-20,24000.0
2015-01-21,24000.0
2015-01-22,24000.0
2015-01-23,24347.800781
2015-01-26,24347.800781
2015-01-27,24695.699219
2015-01-28,24521.699219
2015-01-29,24521.699219
2015-01-30,24260.900391
2015-02-02,24260.900391
2015-02-03,24260.900391
2015-02-04,24260.900391
2015-02-05,24000.0
2015-02-06,24173.900391
2015-02-09,24000.0
2015-02-10,24608.699219
2015-02-11,24956.5
2015-02-12,25391.300781
2015-02-13,25478.300781
2015-02-17,25478.300781
2015-02-18,25478.300781
2015-02-19,25478.300781
2015-02-20,25478.300781
2015-02-23,25478.300781
2015-02-24,25478.300781
2015-02-25,25391.300781
2015-02-26,25826.099609
2015-02-27,25652.199219
2015-03-02,25391.300781
2015-03-03,25391.300781
2015-03-04,25130.400391
2015-03-05,24608.699219
2015-03-06,24608.699219
2015-03-09,24521.699219
2015-03-10,24347.800781
2015-03-11,24000.0
2015-03-12,23826.099609
2015-03-13,24347.800781
2015-03-16,24347.800781
2015-03-17,24347.800781
2015-03-18,24521.699219
2015-03-19,24347.800781
2015-03-20,24347.800781
2015-03-23,24000.0
2015-03-24,23739.099609
2015-03-25,24260.900391
2015-03-26,24000.0
2015-03-27,24260.900391
2015-03-30,24782.599609
2015-03-31,24608.699219
2015-04-01,24782.599609
2015-04-02,24608.699219
2015-04-06,24000.0
2015-04-07,24695.699219
2015-04-08,24347.800781
2015-04-09,24434.800781
2015-04-10,24434.800781
2015-04-13,24347.800781
2015-04-14,24434.800781
2015-04-15,24521.699219
2015-04-16,24521.699219
2015-04-17,24521.699219
2015-04-20,24347.800781
2015-04-21,24347.800781
2015-04-22,24087.0
2015-04-23,24087.0
2015-04-24,24173.900391
2015-04-27,24434.800781
2015-04-28,24434.800781
2015-04-29,24434.800781
2015-04-30,24434.800781
2015-05-01,24434.800781
2015-05-04,24087.0
2015-05-05,23826.099609
2015-05-06,23826.099609
2015-05-07,24000.0
2015-05-08,24260.900391
2015-05-11,23913.0
2015-05-12,24260.900391
2015-05-13,23826.099609
2015-05-14,23739.099609
2015-05-15,22782.599609
2015-05-18,22434.800781
2015-05-19,23043.5
2015-05-20,22173.900391
2015-05-21,22087.0
2015-05-22,22608.699219
2015-05-26,22434.800781
2015-05-27,22434.800781
2015-05-28,22608.699219
2015-05-29,23391.300781
2015-06-01,22956.5
2015-06-02,21826.099609
2015-06-03,22000.0
2015-06-04,22434.800781
2015-06-05,22521.699219
2015-06-08,22608.699219
2015-06-09,22087.0
2015-06-10,22173.900391
2015-06-11,22434.800781
2015-06-12,22260.900391
2015-06-15,22260.900391
2015-06-16,22434.800781
2015-06-17,22087.0
2015-06-18,21739.099609
2015-06-19,21913.0
2015-06-22,21913.0
2015-06-23,22087.0
2015-06-24,21739.099609
2015-06-25,21913.0
2015-06-26,22087.0
2015-06-29,22000.0
2015-06-30,22695.699219
