Date,LILAK
2016-12-01,20.620001000000002
2016-12-02,20.370001000000002
2016-12-05,20.549999
2016-12-06,20.34
2016-12-07,20.440001000000002
2016-12-08,20.370001000000002
2016-12-09,20.190001000000002
2016-12-12,19.67
2016-12-13,20.83
2016-12-14,21.48
2016-12-15,21.360001
2016-12-16,21.24
2016-12-19,21.395
2016-12-20,21.209999
2016-12-21,21.52
2016-12-22,21.59
2016-12-23,21.74
2016-12-27,21.73
2016-12-28,21.68
2016-12-29,21.379998999999998
2016-12-30,21.17
2017-01-03,22.450001
2017-01-04,22.709999
2017-01-05,22.73
2017-01-06,22.5
2017-01-09,22.1
2017-01-10,21.719998999999998
2017-01-11,21.33
2017-01-12,21.549999
2017-01-13,21.85
2017-01-17,22.18
2017-01-18,21.9
2017-01-19,21.870001000000002
2017-01-20,21.84
2017-01-23,21.889999
2017-01-24,21.969998999999998
2017-01-25,22.360001
2017-01-26,22.75
2017-01-27,22.84
2017-01-30,22.4
2017-01-31,22.32
2017-02-01,22.15
2017-02-02,22.059998999999998
2017-02-03,22.76
2017-02-06,22.690001000000002
2017-02-07,22.42
2017-02-08,21.879998999999998
2017-02-09,22.0
2017-02-10,22.459999
2017-02-13,21.950001
2017-02-14,21.85
2017-02-15,21.83
2017-02-16,25.5
2017-02-17,26.540001
2017-02-21,27.200001
2017-02-22,26.370001000000002
2017-02-23,26.07
2017-02-24,25.27
2017-02-27,25.190001000000002
2017-02-28,24.59
2017-03-01,24.51
2017-03-02,23.59
2017-03-03,23.52
2017-03-06,24.23
2017-03-07,23.809998999999998
2017-03-08,23.059998999999998
2017-03-09,23.030001000000002
2017-03-10,22.9
2017-03-13,22.790001
2017-03-14,22.58
2017-03-15,23.15
2017-03-16,23.32
2017-03-17,23.25
2017-03-20,23.09
2017-03-21,22.74
2017-03-22,22.49
2017-03-23,22.370001000000002
2017-03-24,22.25
2017-03-27,22.51
2017-03-28,22.809998999999998
2017-03-29,23.629998999999998
2017-03-30,23.4
2017-03-31,23.040001
2017-04-03,23.0
2017-04-04,23.290001
2017-04-05,23.559998999999998
2017-04-06,23.785
2017-04-07,23.389999
2017-04-10,23.629998999999998
2017-04-11,23.469998999999998
2017-04-12,23.540001
2017-04-13,23.25
2017-04-17,23.200001
