Date,PANW
2013-11-25,46.099998
2013-11-26,49.490002000000004
2013-11-27,49.869999
2013-11-29,49.950001
2013-12-02,49.490002000000004
2013-12-03,48.849998
2013-12-04,49.98
2013-12-05,49.860001000000004
2013-12-06,51.77
2013-12-09,52.189999
2013-12-10,52.0
2013-12-11,51.630001
2013-12-12,52.09
2013-12-13,53.939999
2013-12-16,54.73
2013-12-17,55.84
2013-12-18,56.68
2013-12-19,57.5
2013-12-20,56.459998999999996
2013-12-23,56.540001000000004
2013-12-24,56.849998
2013-12-26,56.200001
2013-12-27,57.799999
2013-12-30,57.490002000000004
2013-12-31,57.470001
2014-01-02,55.66
2014-01-03,57.439999
2014-01-06,57.84
2014-01-07,59.990002000000004
2014-01-08,60.049999
2014-01-09,60.639998999999996
2014-01-10,60.650002
2014-01-13,59.07
2014-01-14,60.619999
2014-01-15,62.900002
2014-01-16,63.669998
2014-01-17,62.880001
2014-01-21,61.470001
2014-01-22,62.02
2014-01-23,61.779999
2014-01-24,60.400002
2014-01-27,59.700001
2014-01-28,61.439999
2014-01-29,59.68
2014-01-30,62.119999
2014-01-31,59.450001
2014-02-03,57.709998999999996
2014-02-04,60.189999
2014-02-05,59.950001
2014-02-06,66.940002
2014-02-07,65.760002
2014-02-10,67.760002
2014-02-11,68.889999
2014-02-12,68.769997
2014-02-13,72.470001
2014-02-14,72.800003
2014-02-18,73.660004
2014-02-19,71.900002
2014-02-20,73.139999
2014-02-21,73.620003
2014-02-24,76.779999
2014-02-25,74.949997
2014-02-26,76.059998
2014-02-27,72.489998
2014-02-28,71.150002
2014-03-03,67.800003
2014-03-04,70.629997
2014-03-05,69.400002
2014-03-06,69.449997
2014-03-07,77.120003
2014-03-10,78.260002
2014-03-11,77.160004
2014-03-12,77.91999799999999
2014-03-13,76.440002
2014-03-14,76.790001
2014-03-17,78.510002
2014-03-18,79.82
2014-03-19,78.660004
2014-03-20,78.519997
2014-03-21,76.559998
2014-03-24,73.129997
2014-03-25,72.690002
2014-03-26,69.379997
2014-03-27,71.25
2014-03-28,69.760002
2014-03-31,68.599998
2014-04-01,70.959999
2014-04-02,71.040001
2014-04-03,65.279999
2014-04-04,63.060001
2014-04-07,60.23
2014-04-08,63.490002000000004
2014-04-09,68.129997
2014-04-10,63.799999
2014-04-11,64.300003
2014-04-14,65.940002
2014-04-15,68.360001
2014-04-16,69.839996
2014-04-17,69.959999
2014-04-21,68.379997
2014-04-22,71.190002
2014-04-23,69.050003
2014-04-24,68.010002
2014-04-25,66.160004
2014-04-28,64.32
2014-04-29,64.360001
2014-04-30,63.580002
2014-05-01,65.269997
2014-05-02,65.08000200000001
2014-05-05,67.019997
2014-05-06,65.709999
2014-05-07,59.990002000000004
2014-05-08,59.610001000000004
2014-05-09,58.509997999999996
2014-05-12,62.220001
2014-05-13,61.880001
2014-05-14,60.130001
2014-05-15,59.610001000000004
2014-05-16,61.32
2014-05-19,62.68
2014-05-20,63.02
2014-05-21,63.52
2014-05-22,66.639999
2014-05-23,66.989998
2014-05-27,69.610001
2014-05-28,69.510002
2014-05-29,73.16999799999999
2014-05-30,74.910004
2014-06-02,73.690002
2014-06-03,74.260002
2014-06-04,75.339996
2014-06-05,77.0
2014-06-06,77.980003
2014-06-09,77.400002
2014-06-10,78.139999
2014-06-11,78.199997
2014-06-12,78.510002
2014-06-13,78.800003
2014-06-16,80.629997
2014-06-17,80.660004
2014-06-18,80.5
2014-06-19,80.199997
2014-06-20,80.239998
2014-06-23,80.16999799999999
2014-06-24,78.769997
2014-06-25,79.75
2014-06-26,80.879997
2014-06-27,81.209999
2014-06-30,83.849998
2014-07-01,82.260002
2014-07-02,81.870003
2014-07-03,82.220001
2014-07-07,79.57
2014-07-08,75.360001
2014-07-09,76.160004
2014-07-10,76.709999
2014-07-11,76.91999799999999
2014-07-14,76.220001
2014-07-15,75.980003
2014-07-16,77.589996
2014-07-17,77.260002
2014-07-18,79.209999
2014-07-21,80.029999
2014-07-22,81.75
2014-07-23,81.489998
2014-07-24,84.129997
2014-07-25,83.040001
2014-07-28,82.110001
2014-07-29,82.099998
2014-07-30,84.209999
2014-07-31,80.860001
2014-08-01,78.66999799999999
2014-08-04,80.239998
2014-08-05,79.760002
2014-08-06,79.33000200000001
2014-08-07,79.959999
2014-08-08,80.190002
2014-08-11,81.91999799999999
2014-08-12,81.260002
2014-08-13,84.790001
2014-08-14,85.489998
2014-08-15,84.629997
2014-08-18,85.58000200000001
2014-08-19,85.389999
2014-08-20,84.970001
2014-08-21,84.940002
2014-08-22,85.010002
2014-08-25,84.57
2014-08-26,85.589996
2014-08-27,82.410004
2014-08-28,82.260002
2014-08-29,84.989998
2014-09-02,89.739998
2014-09-03,89.370003
2014-09-04,87.260002
2014-09-05,89.040001
2014-09-08,89.980003
2014-09-09,89.279999
2014-09-10,98.75
2014-09-11,100.489998
2014-09-12,99.980003
2014-09-15,97.470001
2014-09-16,98.33000200000001
2014-09-17,98.610001
2014-09-18,98.949997
2014-09-19,99.279999
2014-09-22,97.93
2014-09-23,97.43
2014-09-24,99.139999
2014-09-25,96.300003
2014-09-26,97.949997
