Date,TMS
2012-12-06,10613.5
2012-12-07,10118.599609
2012-12-10,10393.5
2012-12-11,10393.5
2012-12-12,10888.5
2012-12-13,10888.5
2012-12-14,11383.400391
2012-12-17,10998.5
2012-12-18,11548.400391
2012-12-19,12098.299805
2012-12-20,12703.200195
2012-12-21,12703.200195
2012-12-24,12703.200195
2012-12-26,13308.099609
2012-12-27,13308.099609
2012-12-28,13308.099609
2012-12-31,13308.099609
2013-01-02,13308.099609
2013-01-03,13308.099609
2013-01-04,13473.099609
2013-01-07,13473.099609
2013-01-08,13473.099609
2013-01-09,13968.0
2013-01-10,13968.0
2013-01-11,14243.0
2013-01-14,13583.099609
2013-01-15,13583.099609
2013-01-16,13583.099609
2013-01-17,13583.099609
2013-01-18,13583.099609
2013-01-22,12923.200195
2013-01-23,12648.200195
2013-01-24,12043.299805
2013-01-25,12648.200195
2013-01-28,12648.200195
2013-01-29,13418.099609
2013-01-30,13418.099609
2013-01-31,12648.200195
2013-02-01,12648.200195
2013-02-04,11823.299805
2013-02-05,10998.5
2013-02-06,11768.299805
2013-02-07,12538.200195
2013-02-08,13363.099609
2013-02-11,13363.099609
2013-02-12,13363.099609
2013-02-13,13363.099609
2013-02-14,13363.099609
2013-02-15,13363.099609
2013-02-19,13473.099609
2013-02-20,12538.200195
2013-02-21,12923.200195
2013-02-22,13748.099609
2013-02-25,13748.099609
2013-02-26,13748.099609
2013-02-27,12813.200195
2013-02-28,13748.099609
2013-03-01,11933.299805
2013-03-04,11933.299805
2013-03-05,12758.200195
2013-03-06,11878.299805
2013-03-07,11328.400391
2013-03-08,12098.299805
2013-03-11,12098.299805
2013-03-12,11328.400391
2013-03-13,12098.299805
2013-03-14,10998.5
2013-03-15,10668.5
2013-03-18,10558.5
2013-03-19,10393.5
2013-03-20,11108.400391
2013-03-21,11878.299805
2013-03-22,11878.299805
2013-03-25,12648.200195
2013-03-26,11768.299805
2013-03-27,11823.299805
2013-03-28,12373.299805
2013-04-01,12043.299805
2013-04-02,12648.200195
2013-04-03,12648.200195
2013-04-04,12483.200195
2013-04-05,11768.299805
2013-04-08,12098.299805
2013-04-09,11273.400391
2013-04-10,12043.299805
2013-04-11,12043.299805
2013-04-12,11218.400391
2013-04-15,10448.5
2013-04-16,11163.400391
2013-04-17,11163.400391
2013-04-18,11933.299805
2013-04-19,11933.299805
2013-04-22,12758.200195
2013-04-23,11988.299805
2013-04-24,12813.200195
2013-04-25,13473.099609
2013-04-26,12648.200195
2013-04-29,12648.200195
2013-04-30,12648.200195
2013-05-01,12648.200195
2013-05-02,13473.099609
2013-05-03,13473.099609
2013-05-06,13748.099609
2013-05-07,13198.099609
2013-05-08,13748.099609
2013-05-09,13968.0
2013-05-10,14023.0
2013-05-13,13803.099609
2013-05-14,12868.200195
2013-05-15,12868.200195
2013-05-16,13198.099609
2013-05-17,12648.200195
2013-05-20,13418.099609
2013-05-21,14298.0
2013-05-22,14573.0
2013-05-23,14573.0
2013-05-24,14847.900391
2013-05-28,13858.099609
2013-05-29,13198.099609
2013-05-30,14078.0
2013-05-31,15012.900391
2013-06-03,14847.900391
2013-06-04,14847.900391
2013-06-05,15342.799805
2013-06-06,15342.799805
2013-06-07,15342.799805
2013-06-10,16167.700195
2013-06-11,15067.900391
2013-06-12,15067.900391
2013-06-13,14298.0
2013-06-14,14737.900391
2013-06-17,14298.0
2013-06-18,15287.900391
2013-06-19,14847.900391
2013-06-20,15672.799805
2013-06-21,15672.799805
2013-06-24,15947.799805
2013-06-25,16497.699219
2013-06-26,16497.699219
2013-06-27,16497.699219
2013-06-28,16442.699219
2013-07-01,16442.699219
2013-07-02,15947.799805
2013-07-03,15947.799805
2013-07-05,15947.799805
2013-07-08,14847.900391
2013-07-09,13858.099609
2013-07-10,12923.200195
2013-07-11,12043.299805
2013-07-12,12868.200195
2013-07-15,12868.200195
2013-07-16,12868.200195
2013-07-17,12868.200195
2013-07-18,13748.099609
2013-07-19,14298.0
2013-07-22,14298.0
2013-07-23,14298.0
2013-07-24,14298.0
2013-07-25,14573.0
2013-07-26,15122.900391
2013-07-29,15122.900391
2013-07-30,15122.900391
2013-07-31,15122.900391
2013-08-01,15397.799805
2013-08-02,15287.900391
2013-08-05,14298.0
2013-08-06,13748.099609
2013-08-07,13198.099609
2013-08-08,13198.099609
2013-08-09,12758.200195
2013-08-12,13638.099609
2013-08-13,13638.099609
2013-08-14,13638.099609
2013-08-15,13638.099609
2013-08-16,14023.0
2013-08-19,14023.0
2013-08-20,13088.200195
2013-08-21,13088.200195
2013-08-22,13748.099609
2013-08-23,13748.099609
2013-08-26,14682.900391
2013-08-27,14682.900391
2013-08-28,14682.900391
2013-08-29,14682.900391
2013-08-30,14682.900391
2013-09-03,13748.099609
2013-09-04,13748.099609
2013-09-05,13748.099609
2013-09-06,13748.099609
2013-09-09,13748.099609
2013-09-10,13748.099609
2013-09-11,13748.099609
2013-09-12,14682.900391
2013-09-13,15672.799805
2013-09-16,15672.799805
2013-09-17,15672.799805
2013-09-18,15672.799805
2013-09-19,15672.799805
2013-09-20,15672.799805
2013-09-23,16497.699219
2013-09-24,15397.799805
2013-09-25,15397.799805
2013-09-26,15397.799805
2013-09-27,15947.799805
2013-09-30,17047.599609
2013-10-01,18147.400391
2013-10-02,19247.300781
2013-10-03,19797.199219
2013-10-04,19797.199219
2013-10-07,19797.199219
2013-10-08,19797.199219
2013-10-09,19797.199219
