Date,MRK
1973-05-24,2.53125
1973-05-25,2.524306
1973-05-29,2.506944
1973-05-30,2.479167
1973-05-31,2.479167
1973-06-01,2.409722
1973-06-04,2.385417
1973-06-05,2.447917
1973-06-06,2.475694
1973-06-07,2.534722
1973-06-08,2.5625
1973-06-11,2.5625
1973-06-12,2.625
1973-06-13,2.618056
1973-06-14,2.621528
1973-06-15,2.548611
1973-06-18,2.555556
1973-06-19,2.527778
1973-06-20,2.482639
1973-06-21,2.454861
1973-06-22,2.458333
1973-06-25,2.409722
1973-06-26,2.444444
1973-06-27,2.486111
1973-06-28,2.524306
1973-06-29,2.496528
1973-07-02,2.496528
1973-07-03,2.416667
1973-07-05,2.361111
1973-07-06,2.3125
1973-07-09,2.315972
1973-07-10,2.315972
1973-07-11,2.388889
1973-07-12,2.375
1973-07-13,2.354167
1973-07-16,2.416667
1973-07-17,2.472222
1973-07-18,2.458333
1973-07-19,2.465278
1973-07-20,2.489583
1973-07-23,2.465278
1973-07-24,2.482639
1973-07-25,2.545139
1973-07-26,2.548611
1973-07-27,2.583333
1973-07-30,2.579861
1973-07-31,2.583333
1973-08-01,2.527778
1973-08-02,2.527778
1973-08-03,2.506944
1973-08-06,2.493056
1973-08-07,2.513889
1973-08-08,2.5
1973-08-09,2.493056
1973-08-10,2.489583
1973-08-13,2.451389
1973-08-14,2.375
1973-08-15,2.378472
1973-08-16,2.354167
1973-08-17,2.315972
1973-08-20,2.302083
1973-08-21,2.256944
1973-08-22,2.222222
1973-08-23,2.256944
1973-08-24,2.326389
1973-08-27,2.333333
1973-08-28,2.347222
1973-08-29,2.333333
1973-08-30,2.291667
1973-08-31,2.260417
1973-09-04,2.215278
1973-09-05,2.211806
1973-09-06,2.194444
1973-09-07,2.166667
1973-09-10,2.159722
1973-09-11,2.229167
1973-09-12,2.284722
1973-09-13,2.333333
1973-09-14,2.333333
1973-09-17,2.347222
1973-09-18,2.319444
1973-09-19,2.333333
1973-09-20,2.333333
1973-09-21,2.305556
1973-09-24,2.305556
1973-09-25,2.333333
1973-09-26,2.302083
1973-09-27,2.309028
1973-09-28,2.274306
1973-10-01,2.239583
1973-10-02,2.263889
1973-10-03,2.3125
1973-10-04,2.322917
1973-10-05,2.371528
1973-10-08,2.430556
1973-10-09,2.451389
1973-10-10,2.434028
1973-10-11,2.451389
1973-10-12,2.472222
1973-10-15,2.444444
1973-10-16,2.465278
1973-10-17,2.479167
1973-10-18,2.503472
1973-10-19,2.479167
1973-10-22,2.416667
1973-10-23,2.447917
1973-10-24,2.444444
1973-10-25,2.5
1973-10-26,2.482639
1973-10-29,2.517361
1973-10-30,2.465278
1973-10-31,2.388889
1973-11-01,2.378472
1973-11-02,2.402778
1973-11-05,2.385417
1973-11-06,2.381944
1973-11-07,2.395833
1973-11-08,2.409722
1973-11-09,2.430556
1973-11-12,2.416667
1973-11-13,2.493056
1973-11-14,2.461806
1973-11-15,2.479167
1973-11-16,2.472222
1973-11-19,2.430556
1973-11-20,2.420139
