Date,NEW
2019-01-29,5.2
2019-01-30,5.42
2019-01-31,5.69
2019-02-01,5.95
2019-02-04,6.1
2019-02-05,6.63
2019-02-06,6.4
2019-02-07,6.31
2019-02-08,6.3
2019-02-11,6.2
2019-02-12,6.15
2019-02-13,6.15
2019-02-14,6.24
2019-02-15,6.21
2019-02-19,6.3
2019-02-20,6.42
2019-02-21,6.22
2019-02-22,6.39
2019-02-25,6.89
2019-02-26,6.93
2019-02-27,6.2
2019-02-28,6.37
2019-03-01,6.31
2019-03-04,6.15
2019-03-05,6.15
2019-03-06,6.13
2019-03-07,6.21
2019-03-08,6.14
2019-03-11,6.79
2019-03-12,6.63
2019-03-13,6.71
2019-03-14,7.02
2019-03-15,6.83
2019-03-18,6.85
2019-03-19,6.87
2019-03-20,6.77
2019-03-21,6.96
2019-03-22,6.97
2019-03-25,6.77
2019-03-26,6.86
2019-03-27,6.78
2019-03-28,6.89
2019-03-29,6.93
2019-04-01,7.75
2019-04-02,7.97
2019-04-03,7.96
2019-04-04,7.9
2019-04-05,7.84
2019-04-08,8.43
2019-04-09,9.18
2019-04-10,9.57
2019-04-11,9.87
2019-04-12,9.96
2019-04-15,10.13
2019-04-16,10.92
2019-04-17,12.1
2019-04-18,13.14
2019-04-22,13.39
2019-04-23,13.37
2019-04-24,12.04
2019-04-25,12.7
2019-04-26,11.27
2019-04-29,8.84
2019-04-30,8.26
2019-05-01,8.53
2019-05-02,7.53
2019-05-03,7.31
2019-05-06,6.95
2019-05-07,6.86
2019-05-08,6.8
2019-05-09,6.3
2019-05-10,6.65
2019-05-13,6.06
2019-05-14,6.37
2019-05-15,6.48
2019-05-16,6.94
2019-05-17,6.46
2019-05-20,6.46
2019-05-21,6.38
2019-05-22,6.19
2019-05-23,5.95
2019-05-24,6.21
2019-05-28,6.27
2019-05-29,6.46
2019-05-30,6.19
2019-05-31,6.09
2019-06-03,6.01
2019-06-04,6.0
2019-06-05,5.91
2019-06-06,5.81
2019-06-07,5.83
2019-06-10,6.4
2019-06-11,6.75
2019-06-12,6.83
2019-06-13,7.0
2019-06-14,6.71
2019-06-17,6.53
2019-06-18,6.24
2019-06-19,6.13
2019-06-20,6.24
2019-06-21,6.18
2019-06-24,6.02
2019-06-25,6.01
2019-06-26,6.23
2019-06-27,6.24
2019-06-28,6.28
2019-07-01,6.41
2019-07-02,6.42
2019-07-03,6.42
2019-07-05,6.77
2019-07-08,5.93
2019-07-09,5.71
2019-07-10,5.34
2019-07-11,5.73
2019-07-12,5.73
2019-07-15,5.56
2019-07-16,5.62
2019-07-17,5.58
2019-07-18,5.62
2019-07-19,5.6
2019-07-22,5.71
2019-07-23,5.84
2019-07-24,5.81
2019-07-25,5.82
2019-07-26,5.85
2019-07-29,5.74
2019-07-30,5.95
2019-07-31,6.09
2019-08-01,5.98
2019-08-02,6.04
2019-08-05,5.8
2019-08-06,6.13
2019-08-07,6.37
2019-08-08,6.56
2019-08-09,6.5
2019-08-12,6.41
2019-08-13,6.41
2019-08-14,6.21
2019-08-15,6.19
2019-08-16,6.41
2019-08-19,6.43
2019-08-20,6.53
2019-08-21,6.6
2019-08-22,6.7
2019-08-23,6.52
2019-08-26,6.78
2019-08-27,6.66
2019-08-28,6.95
2019-08-29,6.96
2019-08-30,7.04
2019-09-03,7.09
2019-09-04,7.88
2019-09-05,7.61
2019-09-06,7.78
2019-09-09,9.03
2019-09-10,9.15
2019-09-11,9.5
2019-09-12,9.5
2019-09-13,9.51
2019-09-16,8.7
2019-09-17,9.19
2019-09-18,9.03
2019-09-19,9.25
2019-09-20,9.38
2019-09-23,9.37
2019-09-24,8.17
2019-09-25,8.17
2019-09-26,8.49
2019-09-27,7.76
2019-09-30,7.97
2019-10-01,7.78
2019-10-02,7.64
2019-10-03,7.73
2019-10-04,8.02
2019-10-07,7.87
2019-10-08,7.7
2019-10-09,7.68
2019-10-10,7.73
2019-10-11,8.19
2019-10-14,8.54
2019-10-15,8.65
2019-10-16,9.21
2019-10-17,8.68
2019-10-18,8.53
2019-10-21,8.67
2019-10-22,8.31
2019-10-23,8.4
2019-10-24,8.49
2019-10-25,8.87
2019-10-28,9.36
2019-10-29,8.98
2019-10-30,9.36
2019-10-31,9.45
2019-11-01,9.81
2019-11-04,10.3
2019-11-05,9.77
2019-11-06,9.75
2019-11-07,9.97
2019-11-08,9.93
2019-11-11,10.21
2019-11-12,10.27
2019-11-13,10.3
2019-11-14,10.18
2019-11-15,10.88
2019-11-18,10.15
2019-11-19,9.87
2019-11-20,9.38
2019-11-21,9.58
2019-11-22,9.58
2019-11-25,9.58
2019-11-26,9.49
2019-11-27,9.46
2019-11-29,9.57
2019-12-02,9.55
2019-12-03,9.12
2019-12-04,9.31
2019-12-05,9.29
2019-12-06,9.23
2019-12-09,8.96
2019-12-10,8.48
2019-12-11,8.98
2019-12-12,9.41
2019-12-13,9.18
2019-12-16,9.28
2019-12-17,9.14
2019-12-18,9.33
2019-12-19,9.34
2019-12-20,9.3
2019-12-23,9.15
2019-12-24,9.2
2019-12-26,9.2
2019-12-27,8.94
2019-12-30,8.62
2019-12-31,8.2
2020-01-02,8.39
2020-01-03,7.98
2020-01-06,8.38
2020-01-07,8.8
2020-01-08,9.42
2020-01-09,10.37
2020-01-10,9.55
2020-01-13,10.16
2020-01-14,10.51
2020-01-15,10.55
2020-01-16,10.16
2020-01-17,9.87
2020-01-21,9.58
2020-01-22,9.53
2020-01-23,8.89
2020-01-24,8.27
2020-01-27,7.6
2020-01-28,8.2
2020-01-29,8.35
2020-01-30,8.06
2020-01-31,7.68
2020-02-03,8.32
2020-02-04,8.25
2020-02-05,7.94
2020-02-06,7.81
2020-02-07,7.93
2020-02-10,8.14
2020-02-11,8.21
2020-02-12,7.91
2020-02-13,7.96
2020-02-14,7.75
2020-02-18,7.78
2020-02-19,7.99
2020-02-20,7.77
2020-02-21,7.9
2020-02-24,7.55
2020-02-25,7.56
2020-02-26,7.8
2020-02-27,7.81
2020-02-28,7.63
2020-03-02,7.66
2020-03-03,7.89
2020-03-04,7.64
2020-03-05,8.59
2020-03-06,8.14
2020-03-09,7.5
2020-03-10,7.31
2020-03-11,7.03
2020-03-12,6.16
2020-03-13,6.01
2020-03-16,5.8
2020-03-17,5.57
2020-03-18,4.87
2020-03-19,5.0
2020-03-20,5.1
2020-03-23,4.61
2020-03-24,4.7
2020-03-25,4.68
2020-03-26,4.73
2020-03-27,4.42
2020-03-30,4.3
2020-03-31,4.28
2020-04-01,3.98
2020-04-02,4.03
2020-04-03,3.75
2020-04-06,3.68
2020-04-07,4.08
2020-04-08,4.17
2020-04-09,4.3
2020-04-13,4.81
2020-04-14,4.8
2020-04-15,4.31
2020-04-16,4.37
2020-04-17,4.24
2020-04-20,4.11
2020-04-21,4.02
2020-04-22,4.19
2020-04-23,4.1
2020-04-24,4.03
2020-04-27,4.44
2020-04-28,4.92
2020-04-29,5.69
2020-04-30,5.59
2020-05-01,5.58
2020-05-04,5.14
2020-05-05,5.39
2020-05-06,6.1
2020-05-07,7.03
2020-05-08,7.6
