Date,FSLR
2008-03-25,219.729996
2008-03-26,220.190002
2008-03-27,227.49000499999997
2008-03-28,228.67999300000002
2008-03-31,231.13999900000002
2008-04-01,237.52999900000003
2008-04-02,249.55000299999998
2008-04-03,251.600006
2008-04-04,278.0
2008-04-07,272.25
2008-04-08,271.98999
2008-04-09,269.869995
2008-04-10,271.200012
2008-04-11,268.299988
2008-04-14,274.100006
2008-04-15,287.320007
2008-04-16,295.910004
2008-04-17,287.359985
2008-04-18,285.790009
2008-04-21,291.850006
2008-04-22,298.02999900000003
2008-04-23,286.02999900000003
2008-04-24,283.609985
2008-04-25,288.23999
2008-04-28,285.519989
2008-04-29,284.920013
2008-04-30,291.98999
2008-05-01,263.350006
2008-05-02,276.23999
2008-05-05,268.820007
2008-05-06,278.570007
2008-05-07,276.850006
2008-05-08,275.799988
2008-05-09,284.5
2008-05-12,284.839996
2008-05-13,303.980011
2008-05-14,307.940002
2008-05-15,306.77999900000003
2008-05-16,311.140015
2008-05-19,295.899994
2008-05-20,299.059998
2008-05-21,279.450012
2008-05-22,271.429993
2008-05-23,278.480011
2008-05-27,265.160004
2008-05-28,273.179993
2008-05-29,252.100006
2008-05-30,267.540009
2008-06-02,255.960007
2008-06-03,257.320007
2008-06-04,242.88000499999998
2008-06-05,256.0
2008-06-06,251.690002
2008-06-09,244.75999500000003
2008-06-10,245.149994
2008-06-11,253.190002
2008-06-12,261.799988
2008-06-13,274.390015
2008-06-16,277.399994
2008-06-17,282.22000099999997
2008-06-18,275.75
2008-06-19,274.320007
2008-06-20,268.22000099999997
2008-06-23,288.0
2008-06-24,288.22000099999997
2008-06-25,290.130005
2008-06-26,273.269989
2008-06-27,266.25
2008-06-30,272.820007
2008-07-01,270.679993
2008-07-02,247.83999599999999
2008-07-03,253.649994
2008-07-07,256.799988
2008-07-08,262.0
2008-07-09,265.399994
2008-07-10,280.0
2008-07-11,279.100006
2008-07-14,285.959991
2008-07-15,277.0
2008-07-16,288.600006
2008-07-17,278.420013
2008-07-18,279.269989
2008-07-21,281.179993
2008-07-22,266.450012
2008-07-23,259.72000099999997
2008-07-24,264.089996
2008-07-25,262.459991
2008-07-28,266.899994
2008-07-29,277.570007
2008-07-30,285.0
2008-07-31,285.02999900000003
2008-08-01,280.73999
2008-08-04,267.23999
2008-08-05,264.290009
2008-08-06,269.0
2008-08-07,265.97000099999997
2008-08-08,257.869995
2008-08-11,248.0
2008-08-12,250.42999300000002
2008-08-13,260.02999900000003
2008-08-14,260.0
2008-08-15,264.920013
2008-08-18,256.920013
2008-08-19,258.73999
2008-08-20,272.98999
2008-08-21,279.269989
2008-08-22,282.820007
2008-08-25,271.040009
2008-08-26,272.76001
2008-08-27,277.0
2008-08-28,278.0
2008-08-29,276.649994
2008-09-02,260.600006
2008-09-03,247.13999900000002
2008-09-04,237.13000499999998
2008-09-05,236.00999500000003
2008-09-08,222.67999300000002
2008-09-09,200.259995
2008-09-10,211.25
2008-09-11,209.699997
2008-09-12,214.649994
2008-09-15,202.970001
2008-09-16,214.649994
2008-09-17,212.0
2008-09-18,223.38999900000002
2008-09-19,241.899994
2008-09-22,222.649994
2008-09-23,210.88999900000002
