Date,SUN
2014-11-19,45.529999
2014-11-20,46.209998999999996
2014-11-21,46.200001
2014-11-24,45.810001
2014-11-25,45.889998999999996
2014-11-26,46.860001000000004
2014-11-28,46.959998999999996
2014-12-01,44.0
2014-12-02,45.040001000000004
2014-12-03,46.41
2014-12-04,46.48
2014-12-05,47.16
2014-12-08,45.610001000000004
2014-12-09,45.02
2014-12-10,43.740002000000004
2014-12-11,45.5
2014-12-12,45.470001
2014-12-15,44.099998
2014-12-16,43.919998
2014-12-17,44.490002000000004
2014-12-18,44.990002000000004
2014-12-19,46.07
2014-12-22,46.110001000000004
2014-12-23,46.959998999999996
2014-12-24,47.240002000000004
2014-12-26,47.84
2014-12-29,49.060001
2014-12-30,49.75
2014-12-31,49.77
2015-01-02,49.139998999999996
2015-01-05,48.259997999999996
2015-01-06,48.259997999999996
2015-01-07,48.029999
2015-01-08,48.5
2015-01-09,48.73
2015-01-12,47.75
2015-01-13,47.41
2015-01-14,47.130001
2015-01-15,48.299999
2015-01-16,48.630001
2015-01-20,49.310001
2015-01-21,49.5
2015-01-22,50.240002000000004
2015-01-23,51.299999
2015-01-26,51.900002
2015-01-27,51.639998999999996
2015-01-28,50.93
2015-01-29,50.16
2015-01-30,50.139998999999996
2015-02-02,50.869999
2015-02-03,51.619999
2015-02-04,51.57
2015-02-05,51.439999
2015-02-06,51.52
2015-02-09,51.240002000000004
2015-02-10,50.68
2015-02-11,50.369999
2015-02-12,50.119999
2015-02-13,50.34
2015-02-17,49.5
2015-02-18,49.610001000000004
2015-02-19,51.110001000000004
2015-02-20,51.509997999999996
2015-02-23,52.240002000000004
2015-02-24,52.080002
2015-02-25,52.110001000000004
2015-02-26,52.0
2015-02-27,51.580002
2015-03-02,51.540001000000004
2015-03-03,51.27
2015-03-04,51.5
2015-03-05,51.259997999999996
2015-03-06,50.950001
2015-03-09,51.040001000000004
2015-03-10,50.720001
2015-03-11,49.630001
2015-03-12,51.0
2015-03-13,51.049999
2015-03-16,51.189999
2015-03-17,50.889998999999996
2015-03-18,50.84
2015-03-19,50.700001
2015-03-20,51.740002000000004
2015-03-23,52.27
2015-03-24,51.73
2015-03-25,51.639998999999996
2015-03-26,51.849998
2015-03-27,51.240002000000004
2015-03-30,51.459998999999996
2015-03-31,51.349998
2015-04-01,51.040001000000004
2015-04-02,50.549999
2015-04-06,50.200001
2015-04-07,49.419998
2015-04-08,48.52
2015-04-09,48.529999
2015-04-10,49.0
2015-04-13,48.41
2015-04-14,48.869999
2015-04-15,49.09
2015-04-16,50.25
2015-04-17,50.779999
2015-04-20,50.75
2015-04-21,50.369999
2015-04-22,51.09
2015-04-23,51.110001000000004
2015-04-24,51.07
2015-04-27,51.060001
2015-04-28,51.07
2015-04-29,52.41
2015-04-30,52.209998999999996
2015-05-01,53.59
2015-05-04,53.400002
2015-05-05,51.259997999999996
2015-05-06,51.040001000000004
2015-05-07,50.209998999999996
2015-05-08,49.07
2015-05-11,48.080002
2015-05-12,48.459998999999996
2015-05-13,48.549999
2015-05-14,48.41
2015-05-15,48.75
2015-05-18,47.75
2015-05-19,46.959998999999996
2015-05-20,46.619999
2015-05-21,46.75
2015-05-22,47.25
2015-05-26,47.959998999999996
2015-05-27,47.150002
2015-05-28,46.02
2015-05-29,46.200001
2015-06-01,45.650002
2015-06-02,46.849998
2015-06-03,46.700001
2015-06-04,44.830002
2015-06-05,43.889998999999996
2015-06-08,43.73
2015-06-09,44.41
2015-06-10,45.310001
2015-06-11,45.060001
2015-06-12,45.279999
2015-06-15,46.18
2015-06-16,46.630001
2015-06-17,47.220001
2015-06-18,45.77
2015-06-19,45.689999
2015-06-22,46.619999
2015-06-23,46.75
2015-06-24,46.0
2015-06-25,45.349998
