Date,MEDI
2008-12-12,
2008-12-15,7.6
2008-12-16,0.25
2008-12-17,7.57
2008-12-18,7.57
2008-12-19,
2008-12-22,7.1
2008-12-23,7.44
2008-12-24,0.1
2008-12-26,
2008-12-29,
2008-12-30,8.37
2008-12-31,
2009-01-02,0.7
2009-01-05,7.6
2009-01-06,7.22
2009-01-07,7.58
2009-01-08,7.69
2009-01-09,
2009-01-12,
2009-01-13,
2009-01-14,7.69
2009-01-15,7.9
2009-01-16,
2009-01-20,
2009-01-21,7.5
2009-01-22,
2009-01-23,
2009-01-26,
2009-01-27,1.7
2009-01-28,7.87
2009-01-29,8.18
2009-01-30,
2009-02-02,8.05
2009-02-03,0.7
2009-02-04,7.89
2009-02-05,7.85
2009-02-06,
2009-02-09,8.48
2009-02-10,8.74
2009-02-11,
2009-02-12,9.0
2009-02-13,
2009-02-17,
2009-02-18,9.2
2009-02-19,
2009-02-20,
2009-02-23,
2009-02-24,
2009-02-25,
2009-02-26,
2009-02-27,
2009-03-02,9.0
2009-03-03,
2009-03-04,
2009-03-05,
2009-03-06,
2009-03-09,
2009-03-10,
2009-03-11,8.55
2009-03-12,8.96
2009-03-13,
2009-03-16,8.96
2009-03-17,8.94
2009-03-18,
2009-03-19,8.87
2009-03-20,
2009-03-23,
2009-03-24,
2009-03-25,
2009-03-26,
2009-03-27,
2009-03-30,9.07
2009-03-31,
2009-04-01,
2009-04-02,8.58
2009-04-03,
2009-04-06,
2009-04-07,8.98
2009-04-08,0.4
2009-04-09,8.77
2009-04-13,8.58
2009-04-14,
2009-04-15,
2009-04-16,8.49
2009-04-17,
2009-04-20,9.29
2009-04-21,8.99
2009-04-22,9.38
2009-04-23,0.89
2009-04-24,
2009-04-27,
2009-04-28,9.4
2009-04-29,
2009-04-30,9.75
2009-05-01,
2009-05-04,9.8
2009-05-05,9.31
2009-05-06,8.85
2009-05-07,8.98
2009-05-08,
2009-05-11,8.54
2009-05-12,8.85
2009-05-13,8.95
2009-05-14,
2009-05-15,
2009-05-18,
2009-05-19,
2009-05-20,7.47
2009-05-21,7.64
2009-05-22,
2009-05-26,8.0
2009-05-27,8.06
2009-05-28,
2009-05-29,
2009-06-01,8.34
2009-06-02,8.39
2009-06-03,8.39
2009-06-04,8.3
2009-06-05,
2009-06-08,
2009-06-09,
2009-06-10,8.46
2009-06-11,8.75
2009-06-12,
2009-06-15,9.17
2009-06-16,9.5
2009-06-17,9.3
2009-06-18,9.48
2009-06-19,
2009-06-22,
2009-06-23,9.24
2009-06-24,9.44
2009-06-25,
2009-06-26,
2009-06-29,8.97
2009-06-30,8.53
2009-07-01,8.95
2009-07-02,8.89
2009-07-06,9.49
2009-07-07,9.38
2009-07-08,
2009-07-09,9.84
2009-07-10,
2009-07-13,
2009-07-14,
2009-07-15,10.84
2009-07-16,10.3
2009-07-17,
2009-07-20,10.59
2009-07-21,10.07
2009-07-22,10.38
2009-07-23,10.36
2009-07-24,
2009-07-27,10.1
2009-07-28,10.0
2009-07-29,9.87
2009-07-30,9.38
2009-07-31,
2009-08-03,9.31
2009-08-04,
2009-08-05,9.0
2009-08-06,9.45
2009-08-07,
2009-08-10,9.8
2009-08-11,9.79
2009-08-12,9.31
2009-08-13,9.65
2009-08-14,
2009-08-17,10.55
2009-08-18,
2009-08-19,10.03
2009-08-20,10.39
2009-08-21,
2009-08-24,10.15
2009-08-25,10.14
2009-08-26,10.29
2009-08-27,9.78
2009-08-28,
2009-08-31,
2009-09-01,10.56
2009-09-02,10.37
2009-09-03,10.36
2009-09-04,
2009-09-08,10.53
2009-09-09,10.5
2009-09-10,10.0
2009-09-11,
2009-09-14,
2009-09-15,10.29
2009-09-16,10.47
2009-09-17,10.33
2009-09-18,
2009-09-21,
2009-09-22,
2009-09-23,
2009-09-24,
2009-09-25,
2009-09-28,10.29
2009-09-29,10.29
2009-09-30,
2009-10-01,
2009-10-02,
2009-10-05,
2009-10-06,10.5
2009-10-07,
2009-10-08,
2009-10-09,
2009-10-12,
2009-10-13,
2009-10-14,11.57
2009-10-15,
2009-10-16,
2009-10-19,
2009-10-20,
2009-10-21,
2009-10-22,
2009-10-23,
2009-10-26,11.4
2009-10-27,11.97
2009-10-28,
2009-10-29,11.97
2009-10-30,
2009-11-02,
2009-11-03,
2009-11-04,
2009-11-05,
2009-11-06,
2009-11-09,
2009-11-10,
2009-11-11,
2009-11-12,11.02
2009-11-13,
2009-11-16,11.0
2009-11-17,11.55
2009-11-18,
2009-11-19,
2009-11-20,
2009-11-23,11.55
2009-11-24,
2009-11-25,11.45
2009-11-27,
2009-11-30,
2009-12-01,
2009-12-02,
2009-12-03,
2009-12-04,
2009-12-07,
2009-12-08,
2009-12-09,11.5
2009-12-10,
2009-12-11,
2009-12-14,11.49
2009-12-15,
2009-12-16,
2009-12-17,
2009-12-18,
2009-12-21,
2009-12-22,
2009-12-23,11.49
2009-12-24,
2009-12-28,11.48
2009-12-29,11.48
2009-12-30,
2009-12-31,
2010-01-04,
2010-01-05,
2010-01-06,
2010-01-07,
2010-01-08,
2010-01-11,
2010-01-12,
2010-01-13,11.36
2010-01-14,
2010-01-15,
2010-01-19,11.35
2010-01-20,
2010-01-21,
2010-01-22,
2010-01-25,
2010-01-26,10.79
2010-01-27,11.32
2010-01-28,11.88
2010-01-29,
2010-02-01,11.63
2010-02-02,11.05
2010-02-03,10.5
2010-02-04,
2010-02-05,
2010-02-08,10.7
2010-02-09,10.17
2010-02-10,10.33
2010-02-11,9.82
2010-02-12,
2010-02-16,
2010-02-17,10.32
2010-02-18,9.81
2010-02-19,
2010-02-22,
2010-02-23,
2010-02-24,9.59
2010-02-25,9.89
2010-02-26,
2010-03-01,
2010-03-02,
2010-03-03,9.4
2010-03-04,9.4
2010-03-05,
2010-03-08,
2010-03-09,
2010-03-10,9.29
2010-03-11,8.83
2010-03-12,
2010-03-15,8.0
2010-03-16,8.0
2010-03-17,8.2
2010-03-18,8.38
2010-03-19,
2010-03-22,8.33
2010-03-23,8.25
2010-03-24,8.35
2010-03-25,7.94
2010-03-26,
2010-03-29,8.28
2010-03-30,8.19
2010-03-31,8.0
2010-04-01,8.28
2010-04-05,
2010-04-06,8.67
2010-04-07,8.75
2010-04-08,9.18
2010-04-09,
2010-04-12,8.99
2010-04-13,8.55
2010-04-14,8.13
2010-04-15,8.53
2010-04-16,
2010-04-19,8.99
2010-04-20,9.4
2010-04-21,8.93
2010-04-22,9.35
2010-04-23,
2010-04-26,8.55
2010-04-27,8.13
2010-04-28,
2010-04-29,7.73
2010-04-30,
2010-05-03,6.99
2010-05-04,6.89
2010-05-05,6.55
2010-05-06,
2010-05-07,
2010-05-10,5.92
2010-05-11,5.63
2010-05-12,5.35
2010-05-13,
2010-05-14,
2010-05-17,
2010-05-18,4.85
2010-05-19,5.09
2010-05-20,5.2
2010-05-21,
2010-05-24,4.7
2010-05-25,
2010-05-26,4.47
2010-05-27,4.25
2010-05-28,
2010-06-01,3.65
2010-06-02,3.65
2010-06-03,0.6
2010-06-04,
2010-06-07,2.99
2010-06-08,2.99
2010-06-09,2.71
2010-06-10,2.71
2010-06-11,
2010-06-14,0.5
2010-06-15,
2010-06-16,2.23
2010-06-17,2.32
2010-06-18,
2010-06-21,2.24
2010-06-22,
2010-06-23,2.3
2010-06-24,2.33
2010-06-25,
2010-06-28,2.4
2010-06-29,2.28
2010-06-30,0.02
2010-07-01,0.1
2010-07-02,
2010-07-06,1.97
2010-07-07,1.88
2010-07-08,0.12
2010-07-09,
2010-07-12,0.16
2010-07-13,1.55
2010-07-14,1.48
2010-07-15,0.19
2010-07-16,0.2
2010-07-19,1.28
2010-07-20,1.22
2010-07-21,1.16
2010-07-22,1.11
2010-07-23,
2010-07-26,0.21
2010-07-27,0.96
2010-07-28,0.97
2010-07-29,0.93
2010-07-30,
2010-08-02,0.87
2010-08-03,0.9
2010-08-04,0.9
2010-08-05,0.89
2010-08-06,
2010-08-09,0.45
2010-08-10,0.45
2010-08-11,0.94
2010-08-12,0.9
2010-08-13,
2010-08-16,0.91
2010-08-17,0.9
2010-08-18,0.92
2010-08-19,0.91
2010-08-20,
2010-08-23,0.87
2010-08-24,0.89
2010-08-25,0.85
2010-08-26,0.87
2010-08-27,
2010-08-30,0.87
2010-08-31,0.87
2010-09-01,0.87
2010-09-02,0.86
2010-09-03,
2010-09-07,0.84
2010-09-08,0.85
2010-09-09,
2010-09-10,
2010-09-13,0.89
2010-09-14,0.93
2010-09-15,0.97
2010-09-16,1.01
2010-09-17,
2010-09-20,1.11
2010-09-21,1.16
2010-09-22,1.11
2010-09-23,1.06
2010-09-24,
2010-09-27,0.96
2010-09-28,0.92
2010-09-29,0.94
2010-09-30,0.91
2010-10-01,
2010-10-04,0.91
2010-10-05,0.87
2010-10-06,0.84
2010-10-07,0.8
2010-10-08,
2010-10-11,0.73
2010-10-12,0.7
2010-10-13,0.7
2010-10-14,0.73
2010-10-15,
2010-10-18,0.79
2010-10-19,0.76
2010-10-20,0.74
2010-10-21,0.73
2010-10-22,
2010-10-25,0.69
2010-10-26,0.66
2010-10-27,0.64
2010-10-28,0.63
2010-10-29,
2010-11-01,0.6
2010-11-02,0.61
2010-11-03,0.58
2010-11-04,0.56
2010-11-05,
2010-11-08,0.6
2010-11-09,
2010-11-10,0.63
2010-11-11,0.62
2010-11-12,
2010-11-15,
2010-11-16,
2010-11-17,
2010-11-18,
2010-11-19,
2010-11-22,0.6
2010-11-23,0.58
2010-11-24,0.56
2010-11-26,
2010-11-29,0.54
2010-11-30,0.53
2010-12-01,0.51
2010-12-02,0.5
2010-12-03,
2010-12-06,0.51
2010-12-07,
2010-12-08,0.52
2010-12-09,0.51
2010-12-10,
2010-12-13,0.55
2010-12-14,0.57
2010-12-15,0.59
2010-12-16,0.57
2010-12-17,
2010-12-20,0.56
2010-12-21,0.56
2010-12-22,0.54
2010-12-23,0.52
2010-12-27,0.56
2010-12-28,0.54
2010-12-29,0.54
2010-12-30,
2010-12-31,
2011-01-03,0.56
2011-01-04,0.58
2011-01-05,0.56
2011-01-06,0.55
2011-01-07,
2011-01-10,0.55
2011-01-11,0.54
2011-01-12,0.53
2011-01-13,0.52
2011-01-14,
2011-01-18,0.51
2011-01-19,0.52
2011-01-20,0.52
2011-01-21,0.52
2011-01-24,0.51
2011-01-25,0.53
2011-01-26,0.52
2011-01-27,0.53
2011-01-28,0.53
2011-01-31,0.51
2011-02-01,0.51
2011-02-02,0.52
2011-02-03,0.5
2011-02-04,0.5
2011-02-07,0.51
2011-02-08,0.52
2011-02-09,0.51
2011-02-10,0.49
2011-02-11,0.49
2011-02-14,0.49
2011-02-15,
2011-02-16,0.47
2011-02-17,0.45
2011-02-18,0.45
2011-02-22,0.43
2011-02-23,0.41
2011-02-24,0.43
2011-02-25,0.43
2011-02-28,0.43
2011-03-01,0.41
2011-03-02,0.39
2011-03-03,0.38
2011-03-04,0.38
2011-03-07,0.36
2011-03-08,0.35
2011-03-09,0.34
2011-03-10,0.33
2011-03-11,0.33
2011-03-14,0.34
2011-03-15,0.33
2011-03-16,0.33
2011-03-17,0.34
2011-03-18,0.34
2011-03-21,0.35
2011-03-22,0.34
2011-03-23,0.34
2011-03-24,0.33
2011-03-25,0.33
2011-03-28,0.32
2011-03-29,0.32
2011-03-30,0.31
2011-03-31,0.32
2011-04-01,0.32
2011-04-04,0.33
2011-04-05,0.34
2011-04-06,0.35
2011-04-07,0.36
2011-04-08,0.36
2011-04-11,
2011-04-12,0.39
2011-04-13,
2011-04-14,0.42
2011-04-15,0.42
2011-04-18,
2011-04-19,0.48
2011-04-20,0.5
2011-04-21,0.52
2011-04-25,0.56
2011-04-26,0.54
2011-04-27,0.52
2011-04-28,0.5
2011-04-29,0.5
2011-05-02,0.52
2011-05-03,0.54
2011-05-04,0.56
2011-05-05,0.58
2011-05-06,0.58
2011-05-09,0.57
2011-05-10,0.55
2011-05-11,0.57
2011-05-12,0.59
2011-05-13,0.59
2011-05-16,0.64
2011-05-17,0.67
2011-05-18,0.64
2011-05-19,
2011-05-20,
2011-05-23,
2011-05-24,
2011-05-25,
2011-05-26,0.54
2011-05-27,0.54
2011-05-31,0.51
2011-06-01,0.49
2011-06-02,0.49
2011-06-03,0.49
2011-06-06,0.49
2011-06-07,0.5
2011-06-08,0.48
2011-06-09,0.48
2011-06-10,0.48
2011-06-13,0.48
2011-06-14,0.48
2011-06-15,0.47
2011-06-16,0.45
2011-06-17,0.45
2011-06-20,0.48
2011-06-21,0.48
2011-06-22,0.47
2011-06-23,
2011-06-24,
2011-06-27,0.47
2011-06-28,
2011-06-29,0.47
2011-06-30,0.47
2011-07-01,0.47
2011-07-05,0.45
2011-07-06,
2011-07-07,0.45
2011-07-08,0.45
2011-07-11,0.45
2011-07-12,0.44
2011-07-13,0.45
2011-07-14,0.46
2011-07-15,0.46
2011-07-18,0.45
2011-07-19,0.43
2011-07-20,0.43
2011-07-21,0.41
2011-07-22,0.41
2011-07-25,0.43
2011-07-26,0.44
2011-07-27,0.44
2011-07-28,0.44
2011-07-29,0.44
2011-08-01,
2011-08-02,0.43
2011-08-03,
2011-08-04,0.42
2011-08-05,0.42
2011-08-08,0.42
2011-08-09,0.4
2011-08-10,0.39
2011-08-11,0.4
2011-08-12,0.4
2011-08-15,0.37
2011-08-16,0.36
2011-08-17,0.36
2011-08-18,0.36
2011-08-19,0.36
2011-08-22,0.38
2011-08-23,0.39
2011-08-24,
2011-08-25,0.42
2011-08-26,0.42
2011-08-29,0.46
2011-08-30,
2011-08-31,
2011-09-01,
2011-09-02,
2011-09-06,0.51
2011-09-07,0.53
2011-09-08,0.55
2011-09-09,0.55
2011-09-12,0.51
2011-09-13,0.49
2011-09-14,0.51
2011-09-15,0.53
2011-09-16,0.53
2011-09-19,0.49
2011-09-20,0.47
2011-09-21,0.49
2011-09-22,0.51
2011-09-23,0.51
2011-09-26,0.52
2011-09-27,0.52
2011-09-28,0.54
2011-09-29,0.54
2011-09-30,0.54
2011-10-03,0.5
2011-10-04,0.52
2011-10-05,0.52
2011-10-06,0.51
2011-10-07,0.51
2011-10-10,0.49
2011-10-11,0.51
2011-10-12,0.49
2011-10-13,0.51
2011-10-14,0.51
2011-10-17,0.47
2011-10-18,0.45
2011-10-19,0.47
2011-10-20,0.48
2011-10-21,0.48
2011-10-24,0.44
2011-10-25,0.42
2011-10-26,0.41
2011-10-27,0.42
2011-10-28,0.42
2011-10-31,0.4
2011-11-01,0.39
2011-11-02,0.38
2011-11-03,0.39
2011-11-04,0.39
2011-11-07,
2011-11-08,
2011-11-09,
2011-11-10,0.39
2011-11-11,0.39
2011-11-14,0.37
2011-11-15,0.37
2011-11-16,0.38
2011-11-17,0.45
2011-11-18,0.45
2011-11-21,0.45
2011-11-22,0.45
2011-11-23,0.45
2011-11-25,0.45
2011-11-28,0.45
2011-11-29,0.45
2011-11-30,0.45
2011-12-01,0.45
2011-12-02,0.45
2011-12-05,0.37
2011-12-06,0.45
2011-12-07,0.45
2011-12-08,0.45
2011-12-09,0.45
2011-12-12,0.45
2011-12-13,0.45
2011-12-14,0.45
2011-12-15,0.45
2011-12-16,0.45
2011-12-19,0.45
2011-12-20,0.45
2011-12-21,0.45
2011-12-22,0.45
2011-12-23,0.45
2011-12-27,0.45
2011-12-28,0.45
2011-12-29,0.45
2011-12-30,0.45
2012-01-03,0.45
2012-01-04,0.45
2012-01-05,0.45
2012-01-06,0.45
2012-01-09,0.45
2012-01-10,0.45
2012-01-11,0.45
2012-01-12,0.45
2012-01-13,0.45
2012-01-17,0.45
2012-01-18,0.45
2012-01-19,0.45
2012-01-20,0.45
2012-01-23,0.45
2012-01-24,0.45
2012-01-25,0.45
2012-01-26,0.45
2012-01-27,0.45
2012-01-30,0.45
2012-01-31,0.45
2012-02-01,0.45
2012-02-02,0.45
2012-02-03,0.45
2012-02-06,0.45
2012-02-07,0.45
2012-02-08,0.45
2012-02-09,0.45
2012-02-10,0.45
2012-02-13,0.45
2012-02-14,0.45
2012-02-15,0.45
2012-02-16,0.45
2012-02-17,0.45
2012-02-21,0.45
2012-02-22,0.45
2012-02-23,0.45
2012-02-24,0.45
2012-02-27,0.45
2012-02-28,0.45
2012-02-29,0.45
2012-03-01,0.45
2012-03-02,0.45
2012-03-05,0.45
2012-03-06,0.45
2012-03-07,0.45
2012-03-08,0.45
2012-03-09,0.45
2012-03-12,0.45
2012-03-13,0.45
2012-03-14,0.45
2012-03-15,0.45
2012-03-16,0.45
2012-03-19,0.45
2012-03-20,0.45
2012-03-21,0.45
2012-03-22,0.45
2012-03-23,0.45
2012-03-26,0.45
2012-03-27,0.45
2012-03-28,0.45
2012-03-29,0.45
2012-03-30,
2012-04-02,0.45
2012-04-03,0.45
2012-04-04,0.45
2012-04-05,0.45
