Date,BURL
2016-04-22,57.470001
2016-04-25,56.25
2016-04-26,57.110001000000004
2016-04-27,57.860001000000004
2016-04-28,56.849998
2016-04-29,56.970001
2016-05-02,57.73
2016-05-03,57.299999
2016-05-04,57.669998
2016-05-05,55.619999
2016-05-06,54.52
2016-05-09,56.759997999999996
2016-05-10,56.560001
2016-05-11,53.040001000000004
2016-05-12,53.509997999999996
2016-05-13,52.0
2016-05-16,53.48
2016-05-17,52.720001
2016-05-18,51.689999
2016-05-19,53.32
2016-05-20,54.060001
2016-05-23,54.630001
2016-05-24,55.700001
2016-05-25,55.869999
2016-05-26,60.029999
2016-05-27,60.990002000000004
2016-05-31,60.360001000000004
2016-06-01,61.860001000000004
2016-06-02,62.389998999999996
2016-06-03,62.549999
2016-06-06,62.740002000000004
2016-06-07,63.68
2016-06-08,64.400002
2016-06-09,64.389999
2016-06-10,63.889998999999996
2016-06-13,63.389998999999996
2016-06-14,63.16
2016-06-15,63.450001
2016-06-16,63.459998999999996
2016-06-17,63.16
2016-06-20,63.540001000000004
2016-06-21,64.120003
2016-06-22,63.389998999999996
2016-06-23,62.849998
2016-06-24,63.529999
2016-06-27,62.25
2016-06-28,63.290001000000004
2016-06-29,65.510002
2016-06-30,66.709999
2016-07-01,67.050003
2016-07-05,66.879997
2016-07-06,67.050003
2016-07-07,67.040001
2016-07-08,67.709999
2016-07-11,67.41999799999999
2016-07-12,67.129997
2016-07-13,66.760002
2016-07-14,67.370003
2016-07-15,67.790001
2016-07-18,73.58000200000001
2016-07-19,74.57
2016-07-20,74.269997
2016-07-21,73.730003
2016-07-22,74.620003
2016-07-25,74.300003
2016-07-26,75.349998
2016-07-27,76.0
2016-07-28,76.699997
2016-07-29,76.510002
2016-08-01,76.339996
2016-08-02,73.910004
2016-08-03,74.91999799999999
2016-08-04,75.230003
2016-08-05,76.239998
2016-08-08,75.860001
2016-08-09,75.300003
2016-08-10,76.370003
2016-08-11,76.790001
2016-08-12,76.690002
2016-08-15,76.779999
2016-08-16,75.559998
2016-08-17,76.690002
2016-08-18,78.040001
2016-08-19,79.32
2016-08-22,79.07
2016-08-23,79.559998
2016-08-24,78.5
2016-08-25,80.949997
2016-08-26,81.459999
2016-08-29,81.010002
2016-08-30,79.660004
2016-08-31,81.220001
2016-09-01,82.589996
2016-09-02,83.989998
2016-09-06,83.730003
2016-09-07,83.83000200000001
2016-09-08,83.33000200000001
2016-09-09,81.889999
2016-09-12,83.480003
2016-09-13,82.279999
2016-09-14,82.150002
2016-09-15,83.730003
2016-09-16,83.849998
2016-09-19,83.540001
2016-09-20,83.040001
2016-09-21,83.660004
2016-09-22,82.91999799999999
2016-09-23,83.050003
2016-09-26,82.779999
2016-09-27,83.57
2016-09-28,82.360001
2016-09-29,81.620003
2016-09-30,81.019997
2016-10-03,79.400002
2016-10-04,79.089996
2016-10-05,79.610001
2016-10-06,79.980003
2016-10-07,81.389999
2016-10-10,79.309998
2016-10-11,78.08000200000001
2016-10-12,78.209999
2016-10-13,77.099998
2016-10-14,76.690002
2016-10-17,77.220001
2016-10-18,76.260002
2016-10-19,76.510002
2016-10-20,76.230003
2016-10-21,75.629997
2016-10-24,75.139999
2016-10-25,74.83000200000001
2016-10-26,74.379997
2016-10-27,73.459999
2016-10-28,74.300003
2016-10-31,74.940002
2016-11-01,74.019997
2016-11-02,72.610001
2016-11-03,69.550003
2016-11-04,69.239998
2016-11-07,72.43
2016-11-08,72.769997
2016-11-09,72.43
2016-11-10,72.040001
2016-11-11,72.849998
2016-11-14,75.440002
2016-11-15,74.93
2016-11-16,77.199997
2016-11-17,77.510002
2016-11-18,77.940002
2016-11-21,74.18
2016-11-22,86.040001
2016-11-23,89.68
2016-11-25,88.889999
2016-11-28,87.379997
2016-11-29,88.91999799999999
2016-11-30,87.91999799999999
2016-12-01,88.760002
2016-12-02,88.760002
2016-12-05,89.309998
2016-12-06,88.949997
2016-12-07,88.0
2016-12-08,88.470001
2016-12-09,87.760002
2016-12-12,87.599998
2016-12-13,87.209999
2016-12-14,87.230003
2016-12-15,87.870003
2016-12-16,87.059998
2016-12-19,87.050003
2016-12-20,88.120003
2016-12-21,87.620003
2016-12-22,85.790001
2016-12-23,86.620003
2016-12-27,86.050003
2016-12-28,85.32
2016-12-29,85.349998
2016-12-30,84.75
2017-01-03,84.779999
2017-01-04,86.879997
2017-01-05,87.129997
2017-01-06,85.349998
2017-01-09,85.489998
2017-01-10,87.389999
2017-01-11,85.540001
2017-01-12,85.309998
2017-01-13,84.75
2017-01-17,83.870003
2017-01-18,84.32
2017-01-19,83.33000200000001
2017-01-20,83.16999799999999
2017-01-23,82.709999
2017-01-24,83.589996
2017-01-25,84.480003
2017-01-26,82.040001
2017-01-27,80.910004
2017-01-30,81.639999
2017-01-31,83.699997
2017-02-01,82.410004
2017-02-02,82.489998
2017-02-03,82.910004
2017-02-06,83.209999
2017-02-07,82.68
2017-02-08,84.82
2017-02-09,86.510002
2017-02-10,86.610001
2017-02-13,86.019997
2017-02-14,86.910004
2017-02-15,86.879997
2017-02-16,85.459999
2017-02-17,85.91999799999999
2017-02-21,85.41999799999999
2017-02-22,86.949997
2017-02-23,85.389999
2017-02-24,87.589996
2017-02-27,89.129997
2017-02-28,89.010002
2017-03-01,88.68
2017-03-02,94.589996
2017-03-03,96.07
2017-03-06,94.260002
2017-03-07,94.239998
2017-03-08,93.870003
2017-03-09,93.059998
