Date,DSSI
2020-03-04,10.33
2020-03-05,9.61
2020-03-06,10.09
2020-03-09,10.36
2020-03-10,11.61
2020-03-11,10.83
2020-03-12,10.34
2020-03-13,12.34
2020-03-16,10.18
2020-03-17,10.41
2020-03-18,9.11
2020-03-19,9.27
2020-03-20,9.6
2020-03-23,9.79
2020-03-24,10.53
2020-03-25,10.15
2020-03-26,11.06
2020-03-27,11.4
2020-03-30,12.0
2020-03-31,11.81
2020-04-01,11.41
2020-04-02,9.83
2020-04-03,9.15
2020-04-06,9.65
2020-04-07,9.21
2020-04-08,9.46
2020-04-09,10.39
2020-04-13,10.27
2020-04-14,10.58
2020-04-15,10.38
2020-04-16,10.8
2020-04-17,11.25
2020-04-20,13.02
2020-04-21,13.0
2020-04-22,13.77
2020-04-23,13.87
2020-04-24,13.93
2020-04-27,14.55
2020-04-28,14.42
2020-04-29,13.14
2020-04-30,12.41
2020-05-01,12.22
2020-05-04,13.73
2020-05-05,12.03
2020-05-06,10.88
2020-05-07,11.57
2020-05-08,11.38
