Date,THS
2006-11-17,30.17
2006-11-20,30.639999
2006-11-21,31.6
2006-11-22,31.65
2006-11-24,31.629998999999998
2006-11-27,31.190001000000002
2006-11-28,31.6
2006-11-29,31.610001
2006-11-30,32.099998
2006-12-01,31.76
2006-12-04,32.73
2006-12-05,32.830002
2006-12-06,32.91
2006-12-07,32.830002
2006-12-08,32.84
2006-12-11,32.360001000000004
2006-12-12,32.490002000000004
2006-12-13,32.619999
2006-12-14,32.919998
2006-12-15,32.380001
2006-12-18,31.65
2006-12-19,31.5
2006-12-20,31.35
2006-12-21,31.25
2006-12-22,30.700001
2006-12-26,31.629998999999998
2006-12-27,31.700001
2006-12-28,31.860001
2006-12-29,31.200001
2007-01-03,31.379998999999998
2007-01-04,31.98
2007-01-05,30.6
2007-01-08,30.68
2007-01-09,30.75
2007-01-10,30.809998999999998
2007-01-11,31.469998999999998
2007-01-12,31.629998999999998
2007-01-16,30.530001000000002
2007-01-17,30.09
2007-01-18,30.030001000000002
2007-01-19,30.27
2007-01-22,30.01
2007-01-23,30.07
2007-01-24,30.15
2007-01-25,29.75
2007-01-26,29.17
2007-01-29,28.83
2007-01-30,29.700001
2007-01-31,29.809998999999998
2007-02-01,30.07
2007-02-02,29.68
2007-02-05,29.09
2007-02-06,29.74
2007-02-07,30.26
2007-02-08,30.48
2007-02-09,30.34
2007-02-12,30.98
2007-02-13,31.459999
2007-02-14,30.549999
2007-02-15,30.09
2007-02-16,29.99
2007-02-20,30.6
2007-02-21,30.620001000000002
2007-02-22,30.200001
2007-02-23,30.0
2007-02-26,29.92
2007-02-27,29.0
2007-02-28,28.85
2007-03-01,29.0
2007-03-02,27.99
2007-03-05,27.559998999999998
2007-03-06,28.23
2007-03-07,28.17
2007-03-08,28.34
2007-03-09,28.690001000000002
2007-03-12,29.18
2007-03-13,28.32
2007-03-14,28.469998999999998
2007-03-15,29.08
2007-03-16,28.700001
2007-03-19,28.719998999999998
2007-03-20,28.540001
2007-03-21,29.870001000000002
2007-03-22,29.35
2007-03-23,29.809998999999998
2007-03-26,29.84
2007-03-27,30.33
2007-03-28,30.809998999999998
2007-03-29,30.65
2007-03-30,30.469998999999998
2007-04-02,30.23
2007-04-03,30.309998999999998
2007-04-04,29.809998999999998
2007-04-05,29.889999
2007-04-09,30.08
2007-04-10,30.5
2007-04-11,30.190001000000002
2007-04-12,30.559998999999998
2007-04-13,30.450001
2007-04-16,30.91
2007-04-17,30.9
2007-04-18,30.93
2007-04-19,30.26
2007-04-20,30.84
2007-04-23,31.389999
2007-04-24,32.099998
2007-04-25,32.139998999999996
2007-04-26,31.58
2007-04-27,30.870001000000002
2007-04-30,30.139999
2007-05-01,30.690001000000002
2007-05-02,31.33
2007-05-03,31.799999
2007-05-04,31.84
2007-05-07,31.860001
2007-05-08,31.959999
2007-05-09,29.110001
2007-05-10,29.1
2007-05-11,29.26
2007-05-14,28.0
2007-05-15,27.559998999999998
2007-05-16,27.809998999999998
2007-05-17,27.57
2007-05-18,28.02
2007-05-21,28.35
2007-05-22,28.1
2007-05-23,27.9
2007-05-24,27.43
2007-05-25,27.860001
2007-05-29,28.4
2007-05-30,28.32
2007-05-31,28.040001
2007-06-01,28.5
2007-06-04,28.719998999999998
2007-06-05,28.58
2007-06-06,28.629998999999998
2007-06-07,28.639999
2007-06-08,29.0
2007-06-11,28.92
2007-06-12,27.809998999999998
2007-06-13,27.879998999999998
2007-06-14,28.0
2007-06-15,28.540001
2007-06-18,28.219998999999998
2007-06-19,28.139999
2007-06-20,27.26
2007-06-21,27.540001
2007-06-22,27.42
2007-06-25,25.9
2007-06-26,26.02
2007-06-27,26.48
2007-06-28,26.610001
2007-06-29,26.610001
2007-07-02,26.83
2007-07-03,26.68
2007-07-05,26.209999
2007-07-06,26.01
2007-07-09,26.5
2007-07-10,25.75
2007-07-11,26.0
2007-07-12,26.360001
2007-07-13,26.200001
2007-07-16,25.75
2007-07-17,25.57
2007-07-18,25.469998999999998
2007-07-19,25.299999
2007-07-20,24.129998999999998
2007-07-23,24.77
2007-07-24,24.379998999999998
2007-07-25,24.76
2007-07-26,23.91
2007-07-27,22.9
2007-07-30,22.82
2007-07-31,22.41
2007-08-01,22.84
2007-08-02,22.639999
2007-08-03,23.9
2007-08-06,24.75
2007-08-07,23.84
2007-08-08,23.540001
2007-08-09,22.0
2007-08-10,23.629998999999998
2007-08-13,24.26
2007-08-14,24.66
2007-08-15,25.559998999999998
2007-08-16,26.1
2007-08-17,26.07
2007-08-20,25.0
2007-08-21,24.959999
2007-08-22,26.370001000000002
2007-08-23,26.799999
2007-08-24,27.6
2007-08-27,28.049999
2007-08-28,26.83
2007-08-29,27.129998999999998
2007-08-30,26.85
2007-08-31,26.92
2007-09-04,27.049999
2007-09-05,26.309998999999998
2007-09-06,26.129998999999998
2007-09-07,25.459999
2007-09-10,26.059998999999998
2007-09-11,26.299999
2007-09-12,26.299999
2007-09-13,26.24
2007-09-14,26.190001000000002
2007-09-17,26.07
2007-09-18,27.389999
2007-09-19,28.09
2007-09-20,27.309998999999998
2007-09-21,27.110001
2007-09-24,26.540001
2007-09-25,26.59
2007-09-26,27.32
2007-09-27,28.0
2007-09-28,27.049999
2007-10-01,28.16
2007-10-02,28.280001000000002
2007-10-03,27.34
2007-10-04,27.85
2007-10-05,28.870001000000002
2007-10-08,28.41
2007-10-09,28.440001000000002
2007-10-10,28.360001
2007-10-11,27.790001
2007-10-12,27.99
2007-10-15,27.57
2007-10-16,27.42
2007-10-17,27.110001
2007-10-18,27.120001000000002
2007-10-19,26.35
2007-10-22,27.18
2007-10-23,27.110001
2007-10-24,26.41
2007-10-25,26.49
2007-10-26,27.59
2007-10-29,27.33
2007-10-30,27.280001000000002
2007-10-31,27.9
2007-11-01,25.809998999999998
2007-11-02,26.08
2007-11-05,26.129998999999998
2007-11-06,25.98
2007-11-07,25.27
2007-11-08,25.459999
2007-11-09,23.85
2007-11-12,24.26
2007-11-13,25.43
2007-11-14,23.790001
2007-11-15,24.26
2007-11-16,23.43
2007-11-19,22.34
2007-11-20,21.870001000000002
2007-11-21,21.379998999999998
2007-11-23,22.450001
2007-11-26,21.559998999999998
2007-11-27,21.59
2007-11-28,22.290001
2007-11-29,23.33
2007-11-30,23.57
2007-12-03,23.530001000000002
2007-12-04,23.57
2007-12-05,24.58
2007-12-06,24.719998999999998
2007-12-07,24.82
2007-12-10,24.68
2007-12-11,23.790001
2007-12-12,23.690001000000002
2007-12-13,23.74
2007-12-14,23.540001
2007-12-17,23.35
2007-12-18,23.84
2007-12-19,23.440001000000002
2007-12-20,23.719998999999998
2007-12-21,24.209999
2007-12-24,24.559998999999998
2007-12-26,23.940001000000002
2007-12-27,22.85
2007-12-28,23.469998999999998
2007-12-31,22.99
2008-01-02,22.860001
2008-01-03,22.01
2008-01-04,21.32
2008-01-07,21.190001000000002
2008-01-08,20.59
2008-01-09,21.379998999999998
2008-01-10,21.02
2008-01-11,20.280001000000002
2008-01-14,20.049999
2008-01-15,19.469998999999998
2008-01-16,19.92
2008-01-17,20.610001
2008-01-18,20.0
2008-01-22,20.6
2008-01-23,20.940001000000002
2008-01-24,21.389999
2008-01-25,21.209999
2008-01-28,21.190001000000002
2008-01-29,21.120001000000002
2008-01-30,20.940001000000002
2008-01-31,20.870001000000002
2008-02-01,21.5
2008-02-04,21.93
2008-02-05,21.870001000000002
2008-02-06,22.35
2008-02-07,22.540001
2008-02-08,22.34
2008-02-11,22.219998999999998
2008-02-12,22.35
2008-02-13,23.200001
2008-02-14,23.049999
2008-02-15,23.35
2008-02-19,23.41
2008-02-20,23.639999
2008-02-21,22.75
2008-02-22,23.290001
2008-02-25,23.57
2008-02-26,23.309998999999998
2008-02-27,23.35
2008-02-28,22.59
2008-02-29,22.17
2008-03-03,22.01
2008-03-04,22.43
2008-03-05,22.5
2008-03-06,22.110001
2008-03-07,22.139999
2008-03-10,22.35
2008-03-11,23.0
2008-03-12,22.77
2008-03-13,22.860001
2008-03-14,22.459999
2008-03-17,22.35
2008-03-18,22.9
2008-03-19,23.0
