,AAPL,ADBE,ALRM,AMT,AMTD,ANSS,ARO,BAC,BAM,BDX,BRK,BYI,CFX,CSGP,CSX,DG,DHIL,DHR,DISCA,DLTR,DTV,EQIX,ESGR,FDS,FOCS,FTV,GSHD,HIG,JEF,KKR,KMX,LAMR,LKQ,LPLA,LYV,MA,MBRG,MCO,MKL,MNRO,MSCI,MWE,NDN,NLY,NS,OLLI,ORLY,OXPS,PENN,PRMW,ROP,ROST,RVR,SBAC,SHLDQ,TECH,TJX,TRH,TROW,UI,V,VRSK,WMS
2014 Q1,1.57,,,10.57,3.44,,,,,,,,11.8,,,,,,4.41,4.99,,1.26,2.18,,,,,,1.79,,,,,2.89,4.43,9.49,,8.85,7.28,,,1.48,,,,,3.91,,,,,3.74,,2.85,,,,,,,3.95,1.54,
2013 Q4,1.89,,,9.85,3.59,,,,,,,,9.98,,,,,,,6.12,1.28,1.46,2.57,,,,,,2.1,,,,,2.99,3.34,12.29,,10.13,8.2,,,1.73,,,,,3.92,,,,,5.04,,,,,,,,,4.15,1.95,
2013 Q3,1.85,,,8.96,3.54,,,,,,,,9.45,,,,,,1.34,5.92,4.34,,2.91,,,,,,2.33,,,,,2.78,2.58,11.41,,10.47,7.72,,,,,,1.75,,4.48,,,,,4.77,,,,,,,,,4.1,2.22,
2013 Q2,1.64,,,6.33,3.48,,,,,,,,9.21,,,,,,,5.58,9.11,,3.0,,,,,2.84,2.38,,,,,2.91,2.28,10.31,,9.6,5.88,,,,,,2.17,,4.18,,,,,4.79,,,,,,,,,4.16,2.16,
2013 Q1,2.18,,,7.36,3.69,,,,,,,,4.26,,,,,,,6.8,5.13,,3.54,,,,,2.0,3.11,,,,,3.1,,10.47,,7.66,7.04,,,,,1.98,3.17,,4.78,,,,,6.65,,,,,,,,,3.58,2.79,
2012 Q4,1.34,,,9.38,3.8,,,,,,,,3.52,,,,,,,6.57,3.58,,4.04,,,,,2.19,3.06,,,1.72,,3.42,,12.0,,7.97,7.25,,,,,2.54,,,5.27,,,,,7.49,,,,,,,,,4.03,2.91,
2012 Q3,1.85,,,9.83,3.84,,,,,,,,,,,,,,,5.76,4.14,,4.04,,,,,2.1,3.05,,,1.82,,3.38,,12.23,,6.3,7.23,,,,,2.04,,,5.47,,,,,9.93,,,1.31,,,,,,3.95,2.91,
2012 Q2,1.65,,,9.84,3.76,,,,,,,,,,,,,,,6.56,4.89,,3.91,,,,,1.64,2.74,,1.68,2.44,,3.4,,11.7,,5.3,7.11,,,,,2.08,,,5.58,,,,,9.81,,,,,3.36,,,,3.71,,
2012 Q1,,,,11.09,4.84,,,,,,,,,,,,,,,7.27,,,5.07,1.34,,,,1.78,1.64,,2.9,3.61,,3.17,,12.09,,4.39,6.35,,,,,1.72,,,5.26,,,,,9.99,,,2.07,,4.02,,,,3.69,,
2011 Q4,,,,13.24,3.36,,,0.71,,0.59,3.7700000000000005,,,,,,0.97,,,9.7,,,7.68,1.81,,,,1.57,,,3.91,5.61,,1.46,,11.37,,,8.93,,,,,,,,7.0,,1.69,,,11.35,,,,,2.73,,,,,,
2011 Q3,,,,13.36,1.69,,,,,0.69,4.32,,,,,,1.06,,,10.15,,,7.62,2.7,,,,1.02,,,4.28,5.72,,1.48,,11.48,,,9.02,,,,,,,,7.26,,1.81,,,9.94,,,,,2.66,,1.03,,,,
2011 Q2,,,,12.91,1.45,,1.38,,,0.8,2.7800000000000002,,,,,,,,,8.86,,,9.09,2.92,,,,,,,4.9,8.07,,,,10.37,,,8.22,,,,,,,,7.41,,2.15,,,9.39,,,,0.77,2.45,,1.13,,,,1.14
2011 Q1,,,,14.53,1.69,,,,,0.8,3.2800000000000002,,,,,,,,,7.97,,,9.25,3.25,,,,,,,3.2,9.38,,,,8.09,,,9.38,,,,,0.73,,,5.85,2.33,2.16,,,9.08,,,,,2.47,,1.18,,,,1.43
2010 Q4,,,,14.51,1.66,,,,,0.92,3.58,,,,,,,,,7.52,,,8.57,3.36,,,,,,,3.42,10.79,,,,6.85,,,9.55,,1.28,,,,,,6.25,1.37,2.23,,,7.79,,,,,2.34,,1.24,,,,1.98
2010 Q3,,,,14.56,1.71,,,,,,4.38,,,,,,,,,7.89,,,7.61,3.53,,,,,,,3.62,10.44,,,,3.56,,,10.51,,1.32,,1.12,,,,6.67,1.63,2.27,,,7.08,,,,,2.76,,1.17,,,,2.02
2010 Q2,,,,14.28,1.84,,,,,,4.8,,,,,,,,,7.63,,,7.9,3.3,,,,,,,2.73,8.38,,,,1.8,,,11.75,,1.23,,,,,,6.75,1.89,2.57,,,6.86,,,,,2.94,2.16,1.1,,,,2.36
2010 Q1,,,,14.18,1.75,,,,,,5.15,,,,,,,,,2.72,,,6.98,5.07,,,,1.96,,,4.03,9.33,,,,,,,12.34,,1.66,,,,,,6.09,2.0,6.47,,,3.61,,,,,3.04,3.4,2.68,,,,2.57
2009 Q4,,,,19.0,1.95,,,,,,5.1,4.41,,,0.29,,,,,,,,8.96,3.87,,,,,,,5.57,10.42,,,,,0.61,,14.52,,1.6,,3.62,,,,4.83,1.3,8.01,,,,0.35,,,,,,3.82,,,,1.36
