,AAPL,ABT,ACN,ADBE,ADP,AME,APH,BCR,BDX,CDW,CHRW,CL,CTSH,DHR,ECL,EFX,EMR,GE,GIS,GOOGL,INTU,JNJ,KO,LNAGF,MA,MDT,MMM,MSFT,NKE,OMC,ORCL,PAYX,PEP,PFE,PG,PX,RTX,SPGI,SYK,SYY,TJX,TROW,UNH,UPS,VAR,VFC,WAT,WFC
2017 Q2,2.65,,3.9,,,,,,6.55,,,,,,4.68,,,,,3.01,,4.66,,,2.65,,5.57,5.2,3.14,3.96,4.39,,5.9,,3.6,4.65,5.4,,4.19,,3.32,,4.92,,,,2.97,
2017 Q1,3.58,,4.23,,3.26,,,,6.46,,,,,,4.64,,,,,2.88,,4.86,,,2.57,,5.37,5.48,,3.73,4.36,,6.0,,3.89,4.36,5.21,,3.66,,3.81,,4.56,,,,2.65,
2016 Q4,3.03,,4.34,,3.44,,,,6.12,,,,,,4.56,,,,,2.83,,4.72,,,2.48,,5.26,5.43,,3.87,3.95,,5.9,,3.82,4.53,5.35,,3.5,,3.81,,4.68,2.84,,,,
2016 Q3,3.02,,4.62,,3.02,,3.09,,6.22,,,,,,4.83,,,,,,,4.94,,,,,5.3,5.14,2.58,3.95,4.12,,6.26,,4.17,4.77,5.06,,2.93,,3.87,,4.18,2.77,,,,
2016 Q2,2.67,,4.49,,2.72,,2.86,,6.14,,,,2.63,,4.93,,,,,,,5.87,,,,,5.52,5.26,,3.96,4.49,,5.84,,4.12,4.64,4.82,,3.15,,4.73,,4.41,2.85,,,,
2016 Q1,3.17,,5.28,,,,3.0,,5.73,,,,3.0,,4.83,,,,,,,5.45,,,,,5.47,5.34,2.67,4.22,4.68,,5.88,,4.17,4.93,4.9,,2.94,,5.0,,4.19,2.91,,,,
2015 Q4,,,5.33,,,,2.83,,6.38,,,3.47,,,5.16,,,,,,,5.22,,,2.63,,5.15,5.91,3.04,3.99,4.35,,5.97,,4.19,4.59,4.9,,,,5.18,,3.86,2.98,,,2.93,
2015 Q3,,,5.76,,,,2.88,,5.74,,,3.72,2.69,,5.17,,,,,,,4.69,,,,3.67,5.07,4.93,3.13,3.64,4.5,,5.9,,3.71,4.78,4.75,,,,5.46,,2.88,3.19,,,,
2015 Q2,,,5.8,,,,2.95,,5.99,,,3.45,,,4.79,,3.02,,,,,3.43,,,,5.17,4.96,4.42,,3.45,4.52,,5.25,,3.1,5.04,5.32,,,,5.4,,2.73,2.82,2.65,,,
2015 Q1,,,5.37,,,,2.87,,5.8,,,3.49,,,4.63,3.45,2.95,,,,,,,,,5.2,5.06,3.89,,3.7,4.36,,5.14,,2.84,4.86,5.37,,,,5.47,,,2.7,2.83,,3.13,
2014 Q4,,,5.15,,,,2.63,,6.67,,,3.77,,,4.26,3.93,2.94,,,,,,,,,4.85,5.08,4.47,,3.7,4.58,,5.63,,,5.25,5.31,,,,5.39,2.68,,4.27,2.62,,2.86,
2014 Q3,,,4.93,,4.62,,,,5.73,,,3.99,,,3.83,3.81,3.14,,,,,,3.39,,,4.37,5.34,4.69,,3.45,4.1,,5.83,,2.77,5.22,4.4,,,,4.89,,,3.97,,,2.64,
2014 Q2,,,4.8,,4.32,,,,5.84,,,4.62,,,4.14,3.63,3.26,,,,,,3.3,,,4.41,5.29,4.14,,3.5,4.25,,5.73,,3.52,5.27,4.71,,,,4.03,,,4.06,,,2.73,
2014 Q1,,,4.71,,4.19,,,,5.49,,,4.87,,,3.99,3.38,3.26,,,,,,2.99,,,3.98,4.98,4.04,3.06,3.55,4.27,,5.33,,3.59,4.91,4.74,,,,3.49,,,3.83,,,,
2013 Q4,,,4.74,,4.27,,,,4.38,,,4.57,3.82,,,3.35,3.34,,,,,,3.12,,,3.62,5.02,3.6,3.17,4.05,4.38,,5.16,,,4.01,4.99,,,,3.57,3.62,,4.04,,,,
2013 Q3,,,3.95,,4.21,,,,3.94,,,4.57,3.41,,,,3.39,,,,,,,,,3.43,5.72,3.52,3.64,4.29,4.18,,4.78,,3.78,3.64,5.2,,,,3.48,3.41,,3.73,,,3.48,
2013 Q2,,3.2,3.46,,4.22,,,,3.32,,,4.13,,,,2.92,3.47,,,,,,,,,3.5,5.52,3.85,3.36,4.48,4.58,,5.18,,4.06,3.68,5.19,,,,,3.66,,3.44,,,3.46,
2013 Q1,,3.23,3.64,,4.06,,3.13,,3.2,,,4.33,2.96,,,,3.55,,,,,,,,,,5.35,3.83,3.18,4.19,4.8,,5.64,,5.18,3.03,5.19,,,,,3.74,,3.4,,,3.24,
2012 Q4,,4.48,3.4,2.94,3.83,,3.08,,,,,4.01,3.33,,,,3.68,,,,,,,,,,5.05,3.87,2.95,3.85,5.43,,5.28,,5.07,3.2,4.71,,,,,3.58,,3.13,,,3.5,
2012 Q3,,4.59,3.5,3.5,3.59,,2.87,,3.6,,,4.03,3.8,,,2.9,3.28,,,,,,,,,,4.92,4.77,,3.89,5.02,,5.34,,5.45,2.97,4.4,,,,,3.76,,,,,3.27,
2012 Q2,,4.53,,3.39,3.5,,3.26,,3.55,,2.97,4.04,3.92,,,3.32,3.39,,,,,,,,,,5.14,4.96,,3.7,4.79,,5.45,,4.99,3.49,4.68,,3.37,,,3.79,,,,,,
2012 Q1,,3.84,,3.78,3.16,,4.15,,3.33,,,3.44,4.14,,,3.44,4.82,,,,,,,,,,4.68,4.83,,4.86,4.35,,4.9,,4.94,3.71,4.73,,3.16,,,4.75,,,,,2.97,
2011 Q4,,4.12,,3.4,3.63,,3.96,,3.5,,2.92,3.55,3.78,,,3.43,4.7,,,,,,,,,,4.62,4.25,,5.07,3.69,,5.35,,5.36,4.3,4.55,,3.09,,,5.0,,,,,,
2011 Q3,,4.48,,4.26,3.38,,3.67,,4.18,,3.05,3.4,3.93,,,3.36,4.44,,,,,,,,,,4.32,4.34,,4.46,4.03,,5.32,,5.4,4.26,4.67,,3.33,,,4.46,,,,,,
2011 Q2,,4.54,,4.79,3.0,,2.87,,3.95,,,2.9,3.14,,,3.28,4.7,,,,,,,,,4.19,4.93,4.56,,4.92,3.76,,4.94,,4.3,4.05,5.08,,4.36,,,4.63,,,,,,
2011 Q1,,4.25,,4.95,3.11,,,2.88,3.14,,,2.85,3.34,,,3.91,4.01,,,,,,,,,4.56,5.18,4.74,,5.08,4.06,,4.82,,4.17,3.67,5.18,,4.55,,,4.77,,,,,,
2010 Q4,,4.37,,4.67,3.14,,,2.98,,,,3.18,3.36,,,4.01,4.25,,,,,,2.99,,,4.82,4.78,4.93,,4.63,4.26,,4.75,,4.35,3.46,4.74,,4.45,,,4.93,,,,,,
2010 Q3,,5.14,,4.2,3.35,,,3.11,,,,3.57,3.48,,,3.42,4.61,,,,,,3.12,,,4.45,4.66,4.85,,4.54,4.82,,3.89,,3.78,4.18,4.22,,4.5,,,4.37,,,,,,
2010 Q2,,5.28,,3.83,3.68,,,3.23,,,,4.19,3.26,,,3.17,4.46,,,,,3.49,,,,4.3,4.25,4.29,,4.0,4.34,,4.09,,4.33,4.55,4.4,,3.36,,,4.15,,,,,,
2010 Q1,,5.18,,,3.86,,,3.68,,,,4.21,3.39,,,3.59,4.96,,,,,3.71,3.27,,,4.02,4.29,4.62,,4.16,4.27,,3.82,,3.96,4.61,4.5,,3.45,,,3.18,,,,,,
2009 Q4,,4.36,,,3.55,,3.5,3.66,,,,3.58,3.71,,,3.59,3.55,,,,,4.25,,,,4.55,4.93,5.15,,3.7,4.06,,4.07,,3.64,,3.82,,3.14,3.02,,,,,,,3.28,
2009 Q3,,4.08,,,3.73,3.1,3.52,,,,,3.79,3.89,,,3.2,3.81,,,,,4.59,3.67,,,4.35,5.02,5.0,,3.99,3.53,,4.23,,3.72,,3.5,,3.24,,,,,,,,3.64,
2009 Q2,,4.12,,3.27,3.83,,3.37,,,,,4.01,3.96,3.46,,3.27,3.52,,,,,4.88,3.74,,,4.7,4.66,5.81,,3.89,,,4.52,,3.74,,,,4.81,3.16,,,,,,,4.38,
2009 Q1,,4.6,,2.96,4.19,,3.7,,,,,3.05,3.86,4.33,,3.53,4.47,,,,,5.15,3.77,,,4.38,4.25,5.31,,3.47,,,4.67,,4.44,,,,4.55,3.54,,,,,,,3.94,
2008 Q4,,5.45,,,4.13,,,,,,,3.12,2.8,4.54,,3.37,5.04,,,,,5.43,3.42,,,4.11,4.33,5.22,,3.51,,,4.97,,5.13,,2.9,,4.54,3.13,,,,,,,3.44,4.06
2008 Q3,,5.17,,2.26,3.6,,,,,,,2.75,,4.47,2.51,3.51,4.51,4.94,,,,5.05,,,,5.11,4.57,4.94,,4.04,,,5.19,,5.09,,,,4.9,3.38,,,,,,,3.76,5.36
2008 Q2,,5.42,,2.56,3.31,,,,,,,2.87,,3.87,,3.9,4.76,4.43,,,,5.34,,,,5.05,4.77,4.43,,4.93,,,4.32,,5.06,,,,5.63,2.85,,2.7,,,,,3.91,3.46
2008 Q1,,5.2,,,3.09,,,,,,,3.85,,3.51,2.51,3.69,5.34,5.65,,,,4.96,,,,4.34,5.0,4.21,,4.47,,,4.52,,5.89,,,,5.37,3.0,,3.35,,,,,2.88,3.42
2007 Q4,,4.92,,,3.99,,,,,,,4.65,,3.67,3.65,3.53,5.72,5.14,,,,4.63,,,,4.09,4.83,4.79,,4.36,,,4.31,,5.74,,,3.24,5.79,2.93,,4.07,,,,,,3.21
2007 Q3,,4.58,,,4.31,,,,,3.22,,4.14,,,,3.76,5.57,5.42,,,,4.32,,,,4.33,5.25,3.89,,4.7,,3.21,4.05,,5.14,,,3.76,5.21,3.15,,3.83,,,,,,3.92
2007 Q2,,4.77,,,4.5,,,,,4.14,,4.02,,,2.98,3.95,5.27,5.04,,,,4.25,,,,4.19,4.88,3.99,,4.67,,,3.91,,4.8,,,5.04,5.05,3.0,,3.69,,,,,,3.72
