,AA,AAPL,ACN,ADT,AGO,AHONY,AIG,ALKS,ALL,AMZN,ANTM,APA,APD,APO,ARMK,ATVI,BA,BABA,BAC,BBY,BHC,BHI,BKNG,BNKJF,BX,C,CB,CCI,CCK,CFG,CHL,CHT,CINF,CMCSA,CME,COF,COP,CSC,CTSH,CVA,CVX,CYH,DELL,DISH,DLPH,DNA,DOX,DPS,DTV,DVN,EPD,ESNT,ESRX,ETR,FB,FCX,FISV,FITB,FMCC,FTE,GE,GILD,GLW,GNW,GOLF,GOOG,GOOGL,GPS,GS,GSK,HAL,HFC,HIG,HPQ,HSBC,HTZ,HUN,IFF,IMS,ING,INTC,IPXHF,ITC,JBLU,JNJ,JPM,KDDIF,KHC,LLY,LOPE,LTM,LVLT,LVS,MDLZ,MDT,MET,MHK,MJN,MON,MOT,MRO,MSFT,MTU,NCLH,NLSN,NMIH,NOMD,NORD,OAK,OGZPY,ORLY,PAHC,PCU,PMT,PRGO,PSTG,RAD,RHHVF,RIG,RPCGY,RSG,SBUX,SCHW,SD,SFTBF,SGEN,SHLDQ,SPLS,STJ,SWCEY,T,TEVA,TGT,TM,TMO,TOKSF,TOT,TPH,TRH,TUP,UBS,USB,USFD,VAL,VAR,VIVEF,VRSN,WB,WBA,WFR,WFT,WH,WMT,WYE,X,XOM,YHOO,YUM,ZAYO,ZTS
2017 Q2,,2.77,,,2.74,,,,,,,,,,2.89,,,,,,,,,,,3.55,,,,,2.22,,,,,,,,,,,,,,,,,,,,3.35,,,,3.97,,,,,,3.2,4.61,,,,3.55,,,,,,,,,,,,3.34,,,,,,,,4.43,,,,2.38,,,,,3.74,,,,,,,,,,,,2.16,,2.38,,,,,2.55,,,,,,,,,,,,,,,,,,,,,4.69,,,2.32,,,,,,,,,,,,,,,4.35,,,,,,,
2017 Q1,,2.89,,,2.55,,,,,,,,,3.04,2.72,3.6,,,,,,,,,,3.32,,,,,,,,,,,,,,,,,,,,,,,,,3.28,,,,4.18,,,,,,,3.79,,,1.9,3.39,,,,,,,,,,,,3.44,,,,,,,,4.45,,,,3.72,,,,,3.55,,,,,,,,,,,,,,2.42,,,,,2.59,,,,,,,,,,,,,,,,,,,,,4.32,,,2.02,,,,,,,,,,,,,,,4.33,,,,,,,
2016 Q4,,2.38,,,2.65,,,,,,,,,2.47,2.69,2.87,,,,,,,,,,2.82,,,,3.39,,,,,,,,,2.2,,,,,,,,,,,,3.28,,,,3.46,,,,,,,,,,2.59,3.22,,,,,,,,,,,,3.12,,,,,,,,4.99,,,,3.1,,,,2.43,3.21,,,,,,,,,,,,,,,,,,,2.44,,,,,,,,,,,,,,,,,,,,,4.55,,,,,,,,,,,,,,,,,,4.24,,,,,,,
2016 Q3,,2.29,,,,,,,,,,,,2.26,2.73,3.41,,,,,,,,,,,,,,2.58,,,,,,,,,,,,,,,,,,,,,3.02,,,,3.8,,,,,,,,,,,3.2,,,,2.22,,,,,,,,3.73,,,,,3.57,,,4.36,,,,2.38,,,,,3.51,,,,,,,,,,,,,,2.27,,,2.27,,2.29,,,,,,,,,,,,,,,,,,,,,5.06,,,2.22,,,,,,,,,,,,,,,4.36,,,,,,,
2016 Q2,,,,,,,,,,,,,,,2.46,3.13,,,,,,,,,,,,,,2.37,,,,,,,,,,,2.13,,,,,,,,,,3.27,,,,3.47,,,,,,,,,,,2.92,,,,2.29,,,,2.64,,,,3.37,,,,,4.26,,,4.17,,,,2.41,,,,2.8,3.62,,,,,,,,,,,,,,2.46,,,,,2.44,,,,,,,,,,,,,,,,,,,,,4.82,,,2.3,,,,,,,,,,,,,,,4.53,,,,,,,
2016 Q1,,2.17,,,,,,,,,,,,,,2.56,,,,,,,,,,,,,,2.54,,,,,,,,,,2.27,2.31,,,,,,,,,,,,,,3.32,,,,,,,2.27,,,,2.73,,,,2.28,,,,2.49,,,,2.44,,,,,4.6,,,3.82,,,,2.76,,,,2.37,3.0,,,,,,,,,,,,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,4.43,,,2.2,,,,,,,,,,,,,,,4.07,,,,,,,
2015 Q4,,,,,,,,,,,,,,,,2.81,,,,,,,,,,2.28,,,,3.05,,,,,,,,,,,,,,,,,,,,,,,3.5,,2.92,,,,,,,2.4,,,,2.67,,,,2.18,,,,,,,,2.46,,,,,3.97,,,4.08,,,,2.21,,,,2.54,2.95,,,,,,,,,,,,,,2.41,,,2.18,,,,,,,,,,,,,,2.21,,,,,,,,,4.25,,,2.27,,,,,,,,,,,,,,,3.49,,,,,,,
2015 Q3,,,,,,,,,,,,,,,2.59,2.57,,,,,,,,,,2.28,,,,2.9,,,,,,,,,,2.46,,,,,,,,,,,,,3.39,,2.62,,,,,,,2.43,,,,3.4,,,,,,,,,,,,,,,,,2.54,,,3.93,,3.12,,,,,,3.54,2.68,,,,,,,,,,,,,,2.62,,,2.39,,,,,,,,,,,,,,,,,,,,,2.4,,4.34,,,2.45,,,,,,,,2.26,,,,,,,,,,,,,,
2015 Q2,,,,,,,,,,,,,,,2.42,,,,,,,,,,,2.27,,,,2.97,,,,,,,,,,2.68,,,,,,,,,,,,2.55,3.33,,,,,,,,,2.93,,,,2.42,,,,,,,,,,,,,,,,,2.19,,,3.91,,3.37,,,,,,3.11,,,,2.26,,,,,,,,,,,2.51,,,2.91,,,,,,,,,,,,,,,,,,,,,2.76,,4.39,,,2.56,,,,,,,,,,,,,2.18,,,,,,,,2.5,
2015 Q1,,,,,,,,,,2.22,,,,,2.49,,,,,,,,,,,,,,,2.64,2.09,,,,,,,,,,,,,,,,,,,,,2.25,3.28,,,,,,,,,3.64,,,,2.03,,,,,,,,,,,,,2.66,,,,2.06,,,3.52,,,,,,,,2.75,,,,2.54,,,,,,,,,,,,,,2.67,,,,,,,,,,,,,1.99,,,,,,,,2.8,,4.58,,,2.25,,,,,,,,,,,,,,,,,,,,,2.74,2.01
2014 Q4,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,2.22,,,,,,,,,,2.05,,,,,,,,,,,1.98,4.2,,,,,,,,,3.57,,,,1.99,,,,,,,,,,,,,2.57,,,,2.04,,,3.72,,,,,,,,2.37,,,,2.59,,,,,,,,,,1.92,,,,3.04,,,2.16,,,,,,,,,,,,,,,,,,2.65,,4.36,,,2.28,,,,,,,,,,,,,,,,,,,,,2.19,2.98
2014 Q3,,,,,,,,,,,,,,,2.04,,,1.9,,,,,,,,,,,,,2.1,,,,,,,,,,2.1,,,,,,,,,,,,3.38,,,,,,,,,4.33,,,,2.11,,,,,,,,,,,,,2.53,,,1.98,,,,3.45,,,,,,,,2.16,,,,2.69,,,,,,,,,,,,,,2.36,,,1.87,,,,,,,1.84,,,,,,,,,,,2.59,,3.54,,2.01,,,,,,,,,,,,,,1.98,,,,,,,,,2.46
2014 Q2,,,,,,,,,,,,,,,,,,,,,,,,,2.22,,,,,,2.1,,,,,,,,,,2.24,,,,,,,,,,,,3.24,,,,,,,,,5.1,,,,,,,,2.09,,,,,,,,,2.43,,,2.2,,,,3.22,,,,,,,,2.31,,,,2.55,,,,,,2.08,,,,,,,,2.25,,,2.28,,,,,,,,,,2.36,,,,,,,,2.33,,3.35,,2.18,,,,,,,,,,,,,,2.14,,,,,,,,,2.1
2014 Q1,,,,,,,,,,,,,,,2.14,,,,,,,,,,2.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.89,,,,,,,,,4.4,,,,,3.18,,,,,,,,,,,,,,,2.41,,,,2.76,,,,,2.23,1.99,,2.08,,2.18,,2.22,,,,,,2.07,,,,,,,,,,,,,,2.1,,,,2.02,,,,,,,,,,,2.13,,3.33,,3.19,,,,,,,,,,,,2.55,,,,,,,,,,,2.35
2013 Q4,,4.4,,1.93,,,,,,,,,,,2.0,,,,,,,,,,2.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,,,,,,,,,4.66,,,,,3.96,,,,,2.21,,,,,,,,,,2.38,,,,2.35,,,,,,2.72,,2.0,,2.97,,,,,,,,,,,,,,,,,,,,,,3.16,,,,,,,2.05,,,,,,,,,,4.07,,2.98,,,,,,,,,,2.02,,2.64,,,,,,,,,,,2.66
2013 Q3,,3.72,,2.07,,,,,,,,,,,,,,,,,,,,1.99,2.17,,,,,,2.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.16,,,,,3.65,,,,,,2.11,,,,,,,,,2.33,,,,2.22,,,,,,,,,,2.85,,,,,,,,,,2.05,,,,,,,,,,,,2.92,,,2.0,2.31,,,1.99,,,,,,,,,,3.59,,1.99,,,,,,,,,,2.03,,2.64,,,,,,,,,,,
2013 Q2,,3.97,,,,2.11,,,,,,,,,,,,,,,,,,,2.15,,,,,,,,,,,,,,,,,,,,2.18,,,,,,,,,,,,,,,,,4.54,,,,,4.35,,,,,,2.83,,,,,,,,,2.14,,,,2.6,,,,,,,,,,3.3,,,,,,,,,2.89,2.25,,,,,,,,,,,,2.79,,,,2.49,,,2.41,,,,,,,,,,3.76,,2.46,,,2.16,,,,,,,,,2.25,,,,,,,3.57,,,,
2013 Q1,,4.5,,2.29,,2.34,,,,,,,,,,,,,,,2.35,,,,,,,,,,,,,,,,,,,,,2.2,,,2.68,,,,,,,,,,,,,,,,,4.78,,,,,3.75,,,,,,2.71,,,,,,,,,3.06,,,,2.42,,,,,,,,2.15,,,,,,,,,,,3.17,,,,,,,,,,,,,2.65,,,,2.6,,,2.63,,,,,,,,,,4.12,,,,,,,,,,,,2.46,,2.46,,,,,,,2.2,,,,
2012 Q4,,3.89,,2.81,,2.52,,,,,,,,,,,,,,,,,,,,,2.57,,,,,,,,,,3.05,,,,,2.68,,,2.21,,,,,,,,,,,,,,,,,4.72,,,,,5.0,,,,,,2.92,,,,,,,,,3.13,,,,3.07,,,,,2.18,2.19,,,,3.16,,,,,,,,,2.94,,,,,,,,,,,,,2.21,,,,,,,,,,,,,,,,,3.92,,,,,,,,,,,,2.32,,,,,,,,,,,2.28,,
2012 Q3,,4.7,2.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.92,,,,,3.15,,,,,2.89,,,,,,,,,,,,,,,4.79,,,,,4.78,3.11,,,,,2.63,,,,,,,,,3.26,,,,3.41,2.4,,,,,,,,,3.31,,,,,,2.33,,,2.55,,,,,,,,,,,,,,,,,,2.64,,2.2,,,,2.82,,,,,,4.4,,2.67,,,,,,,,,,,,,,,,,,,,,,,
2012 Q2,,3.56,,,,,,,,,,,,,,,,,,2.31,,,,,,,,,,,,,,,,,,,,,,3.26,,,,,2.63,,,,,,,,,,,,,,,4.46,,,,,3.72,2.26,,,2.41,,2.79,,,,,,,,,3.71,,,,,2.82,,,,,2.6,,,,3.39,,,,,,,,,,,,,,,,,,,,,,,,,,,3.32,,3.36,,,3.23,,,,,,,3.7,2.51,,,,,,,,,2.18,,,,,,,,,,,,3.13,,,
2012 Q1,,2.84,,,,,,,,,,,,,,,,,,,,,,,,2.31,,,,,,,,,,,,,,,,,,,,,2.46,,,,,,,,,,,,,,,4.55,,2.7,,,4.52,3.07,,,,,3.37,,,,,,,,,4.31,,,,,,,,,,2.66,,,,3.16,,,,,,,,,,,,,,,,,,,,,,,,,,,3.81,2.51,2.23,,,3.94,,,,,,,4.1,3.11,,,,,,,,,2.83,,,,,,,,,,3.6,,3.17,,,
2011 Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.35,,,,3.07,,,,,,,,,,,,,,,5.2,,,,,5.04,2.85,,,,,2.74,4.12,,,,,,,,4.4,,,,,3.05,,,,2.7,,,,,2.78,,,,,,,,,,,,,,,,,,,,,,,,,,,3.46,2.85,,,,3.75,,,,,,,4.03,3.02,,,,,,,,,3.22,,,,,,,,,,3.84,2.99,3.55,,,
2011 Q3,,,,,,,,,,,,,,,,,,,2.43,,,,,,,,,,,,,,,,,,,,,,,,3.87,,,,2.62,,,,,,,,,,,,,,4.01,5.53,,,,,4.99,2.58,2.86,,,,2.44,,,,,,,,,5.05,,,,,3.05,,,,,,,,,,,,,,,4.22,,,,,,,,,,,,,,,,,4.08,,,,,,,,,3.0,,,,,,,3.79,3.09,,,,,,2.66,,,,,,,,,,,,,2.87,4.4,2.6,,,
2011 Q2,,,,,,,,,,,,,,,,,,,2.72,,,,,,,,,,,,,,,,,,,,,,,,4.42,,,,,,,,,,,,,,,,,,2.63,4.46,,,,,4.28,,3.05,,,,3.02,,,,,,,,,4.27,,,,2.88,2.38,,,,,,,,,,,,,,,3.33,3.3,,,,,,,2.45,,,,,,,,2.43,3.48,,,,,,,,,,,,,,,,3.09,2.55,,,,,,,,,2.28,,,,,,,,,,2.57,3.98,,,,
2011 Q1,,,,,,,,,,,,,,,,,,,,,,3.15,,,,,,,,,,,,,,,,,,,,,3.7,,,,,,,,,,,,,,3.61,,,,2.95,4.4,,2.18,,,4.42,,,,,,,,,,,,,3.36,,4.61,,,,,,,2.41,,,,,,,,,,,,,2.83,2.51,,,,,,,2.7,,,,,,,,,4.04,,,,,2.67,,,,,,,,,,,2.57,2.6,,,,,,,,,2.12,,,,,,,,,,2.2,3.44,,,,
2010 Q4,,,,,,,,,,,,,,,,,,,,,,3.06,,,,,,,,,,,,,,,,,,,,,3.71,,,,,,,,,,,,,,3.61,,,,4.06,4.03,,,,,3.52,,,,,,,,,,,,,2.77,,3.82,,,,3.09,,,2.57,,,,,,,,,,3.1,,2.58,,3.74,,,,,,,2.28,,,,,,,,,3.96,,,,,,,,,,,,,,,,2.25,2.49,,,,,,3.12,,,2.36,,,,,,,,,,3.05,,,,,
2010 Q3,,,,,,,,,,,,,,,,,,,2.57,,,,,,,,,,,,,,,2.96,,,,2.33,,,,,3.91,,,,,,,,,,,,,,3.67,,,,3.33,4.37,,,,,3.44,,,,,,,,,,,,,3.52,,3.13,,,,2.77,,,2.96,,,,,,,,,,2.36,,2.24,,,,,,,,,,,,,,,,,,4.04,,,,,,,,,,,,,,,,,2.24,,,2.49,,,2.45,,2.65,2.27,,,,,,,,,,,,,,,
2010 Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,2.78,,,3.02,,,,2.43,,,,,3.86,,,,,,,,,,,,,,3.3,,,,2.64,4.46,,,,,2.56,,,,,,,,,,,,,2.72,,,,,,2.46,,,3.68,,,,,,,,,,2.41,,,,,,,,,,,,,,,,,,,,3.09,,,,,,,,,,,,,,,3.13,2.33,2.36,,,2.49,,,2.4,,2.47,,,,,,,,,,,,,,,,
2010 Q1,,,,,,,,,,,,,,,,,2.49,,,,,,,,,,3.33,,,,2.5,,,3.79,,,3.35,,,,,,3.75,,,,,,2.67,,,,,2.93,,,3.43,,,,,3.19,,,,,3.05,,,,,,,,,,,,,,,,,,,3.3,,,3.72,,,,,,,,,,,,2.92,,,,,,,,,,,,,,,,,2.35,2.6,,,,,,,,,,,,,,,,3.27,,,,2.56,,,3.18,,,,,,,,,,,,,,3.35,,,,
2009 Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,3.25,2.78,,,2.88,,,3.34,,,3.95,,,,,,3.66,2.45,,,2.58,,2.56,,,,,3.48,,,3.2,,,,,,,,,,,,,,,,,,,,,,,2.33,,,,,,,,,2.72,,,,,,,,,,3.13,,3.92,3.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.48,,,,,3.06,,,,2.58,,,2.38,,,,,,,,,,,,,,,,,,
2009 Q3,,,,,,,,,,,,,,,,,2.47,,,,,,2.62,,,,4.56,2.51,,,,,,3.0,,,3.48,,,,,,3.26,2.81,,,2.74,,2.45,,,,,3.82,,,,,,,,3.63,,,,,,,,,,,3.23,,,,,,,,,,,,,,,,2.84,,,,,,,,,,,,3.77,4.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.66,,,,,2.63,,,,2.8,,,2.61,,,,,,,,,,,,,,,,,,
2009 Q2,,2.48,,,,,,,,,,,,,,,,,,,,,,,,,3.53,,,,,,,3.48,,,2.63,,,,,,3.6,2.91,,,2.69,2.44,2.7,,,,,3.52,,,,,,,,3.13,,,,,2.46,,,,,,,,,,,,,,,,,,,,,,3.88,,,,,,,,,,,,3.1,4.62,2.53,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,,,,,3.02,,,,2.97,,,2.63,,,,,,,,,,,,,,,,,,
2009 Q1,,3.48,,,,,,,,,,,,,,,,,,,,,,,,,4.22,,,,,,,4.1,,,2.41,,,,,,3.21,2.57,,,2.99,2.51,3.21,,,,,4.48,,,,,,,,3.99,2.36,,,,,,,,,,,,,,,,,,,,,,,,,,4.82,,,,,,,,,,,,3.96,4.91,,,,,,,,,,,,,,,,,2.62,,,,2.47,,,,,,,,2.81,,,,2.39,,,,,,,2.87,,,,,,,,,,,,,,,,,,
2008 Q4,,2.23,,,,,,,3.74,,,,,,,,,,,,,,2.98,,,,3.05,2.53,,,,,3.04,4.06,,,4.01,,,,,,2.74,,,2.33,,,4.02,,,,,4.32,,,,2.16,,,,4.76,,,,,,,,,,,,,,,,,,,2.64,,,,,,,,5.25,,,,,,,,,,,,4.08,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.38,4.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008 Q3,,,,,,,,,3.42,,,,,,,,,,,,,,,,,,3.31,2.34,,,,,2.15,4.24,,,3.93,,,,,,3.28,,,,,,3.84,,,,,3.0,,,,,,2.37,,3.29,2.28,,,,,,,,,,,,,,,,,,2.93,,,,,,,,3.72,,,,,,,,,,,,3.19,3.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.97,,,3.47,,,,,,,,,,,2.19,,,,,,,,,,,4.71,,,,
2008 Q2,,,,,,,,,2.77,,,,,,,,,,,,,,,,,,,2.57,,,,,,3.31,2.68,,4.93,,,,,,3.57,,,3.39,,,3.12,,,,,3.34,,,,,,,,3.14,2.76,,,,,,,,,,,,,,,,,,2.76,,,,,,,,3.21,,,,,,,,,,,,,3.08,,,,,,,,2.87,,,,,,,,,,,,,,,,,,,,,3.55,2.4,,3.14,,,,,,,,,,,2.78,,,,,,,,,,,4.39,,,,
2008 Q1,,,,,,,,,3.04,,,3.46,2.94,,,,,,,,,,,,,,,,,,,3.54,,3.49,,,4.14,,,,,,2.74,,,3.78,,,3.79,,,,,3.15,,,,,,,2.8,3.18,3.0,,,,,,,,,,,,,,,,,,2.83,,,,,,,,3.21,,,,,,,,,,,,,2.57,,,,,,,,2.63,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,2.6,,,2.62,,,,,,,,,,,,,,,
2007 Q4,,,,,,,,,2.89,,4.19,3.51,2.76,,,,,,,,,,,,,,,,,,,2.51,,3.32,,,3.23,,,,,,,,,2.73,,,3.09,,,,,3.01,,,,,,,,,2.61,,,,2.6,,,,,,,,,,,,,,3.12,,,,,,,,,,,,3.0,,,,,,,2.91,,2.82,,,,,,,,2.55,,,,,,,,,,,,,,,,,,,,,3.04,,,,,,,,,,2.85,,,,2.55,,,,,,,,,,,,,,,
2007 Q3,,,,,,,2.73,,2.78,,3.88,3.03,2.81,,,,,,,,,,,,,3.39,,2.53,,,,,,,3.18,,2.58,,,,,,,,,2.51,,,3.34,,,,,2.81,,3.28,,,3.33,,2.81,,,,,,3.08,,,,,,,,,2.98,,,,,3.11,,,,,,,,,,,,4.0,,,,,,,3.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007 Q2,,,,,,,2.48,,,,3.41,3.0,2.53,,,,,,,,,,,,,2.41,,2.46,,,,2.52,,3.82,2.94,,2.91,,,,,,,,,,,,,,,,,3.04,,3.26,,,2.79,,2.84,,,,,,3.1,,,,,,,,,3.8,,,,,,,,,,,,,,,,,2.88,,,,,,,,,,,,,,,,,,,,,,,,2.51,,,,,,,,,,2.36,,,,,,,,,,,,,,,,,,,,,,,,,,,2.91,,,,,,
2007 Q1,3.6,,,,,,2.83,,,,2.86,,,,,,,,,,,,,,,2.86,,2.59,,,,2.34,,3.18,,,,,,,,,,,,,,,,,,,,3.18,,,,,3.25,,3.12,,,,,,,,,,,,,,,3.85,,,,,,,,,2.94,,,,,,,,2.55,,,,,,,2.7,,3.15,,,,,,,,,,,2.39,,,,,,,,,,,,,,2.97,,,,,2.38,,,,,,,,,,,,,,,,2.88,,2.58,,,,,,,,,,
2006 Q4,3.07,,,,,,2.96,,,,3.28,2.34,,,,,,,,,,,,,,3.02,,,,,,,,2.38,,,2.47,,,,2.69,,3.03,,,,,,,,,,,,,,,,2.29,,2.85,,,,,,,,,,,,,,3.09,3.34,,,,,,,,2.65,,,,,,,,,2.56,,,,,,,,,3.17,,,,,,,,,,,2.32,,,,,,,,,,,,,,,,,,,,2.58,,2.6,,,,,,,,,,,,,,,,,,,,,3.4,,,,
