,AAL,AAPL,ABT,ACT,ADBE,AET,AGN,AIG,ALLY,AMGN,AMTD,AMZN,ANTM,APC,AVGO,AXP,AXTA,BABA,BAC,BAX,BBBY,BEAV,BID,BKI,BLK,BSX,BUD,BURL,BXLT,C,CB,CCE,CCK,CELG,CF,CHTR,CI,CNC,COG,CPB,CRM,CTXS,DAL,DD,DG,DHR,DIS,DOV,DOW,DVN,EA,EBAY,ELN,EMC,EQT,FB,FDX,FIS,FIVE,FMC,FOXA,FPAC,GD,GOOGL,HTZ,HUM,IAA,IAC,ICE,IP,IQV,JPM,KHC,LBTYA,LBTYK,LEN,LNG,LOW,MAS,MHK,MON,MPC,MRK,MS,MSFT,NFLX,NWSA,NXPI,PH,PSX,PVTB,PYPL,QCOM,RAX,ROP,ROST,RTX,SEE,SHPG,SHW,SJM,SPGI,ST,STJ,STZ,SUNE,TAP,TDG,TIBX,TIF,TMO,TMUS,TWC,TWX,V,VMC,VZ,WCC,WMB,WP,WYNN,YHOO,YPF,YUM,ZAYO
2017 Q2,,,,,,,,,,,,,2.08,,,,,5.62,3.23,22.0,,,3.17,,5.8,,,,,,,,,,,,,,,,,,,,,2.47,,,8.94,,,,,,,4.68,,,,,,,2.11,4.74,,1.6,,,,,,,,,,,,,,1.87,,,,,,,,2.62,,,,,,,,,,,,2.33,,1.94,,,4.29,,,,,,,2.82,,3.34,,1.8,,,,,,,,,
2017 Q1,,,,,,,,,,,,,,,,,,,3.14,23.51,,,2.99,,,,,,,,,,,,,2.58,,,,,2.44,,,,,2.61,,,9.83,,,,,,,4.2,,,,,,,2.31,3.8,,1.88,,,,,,3.25,,,,,,,,2.15,,,,,,,,,,,,,1.98,,,,,,,2.75,,1.93,,,4.79,,,,,,,3.18,,3.37,,,,,,,,,,,1.95
2016 Q4,,2.1,,,,,,,,,,,,,,,,,3.8,22.59,,,2.61,,,,,,,,,,,,,2.4,,,,,,,,,,2.48,,,9.55,,,,,,,3.95,,,,,,,2.2,3.31,,4.81,,,,,,4.45,,,,,,,,2.35,,,,,,,,,,,1.6,,,,,,,,,2.64,,1.69,,,4.51,,1.62,,,,,,,2.84,,,,,,,,,,,2.26
2016 Q3,,2.46,,,,,7.58,,,,,,,,,,,2.39,,21.48,,,2.2,,,,1.83,,,,1.97,,,,,2.35,,,,,,,,,,3.07,,,9.01,,,,,,,6.08,,,,,,,1.82,3.84,,2.15,,,,,,,,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,2.1,,2.2,,1.8,3.18,,,2.84,,,,,,,,,,,,,,,,,
2016 Q2,,,,,,,10.91,,,,,,,,,,,,,22.62,,,1.76,,,,2.41,,,,2.96,,,,,3.19,,,,,,,,,,3.75,,,9.58,,,,,,,4.13,,,,,,,,2.71,,,,,,,,,,,,,,2.29,,2.74,1.99,,,,,,,,,,,,,,,,,1.99,1.69,1.98,,1.65,,,3.19,,,2.87,,,,,,,,,,,,,,,,2.0,
2016 Q1,,,,,,,12.56,,,4.21,,,,,1.88,,,,,20.73,,,,,,,2.04,,2.27,,2.68,,,,,,,,,,,,,,,3.29,,,11.91,,,,,1.75,,,,,,,,,,5.0,,,,,,,,,,,,,,2.13,,3.58,,,,,,,,,,,,,,,2.31,,,2.25,,,,,,,2.5,,1.94,2.06,,,,,2.3,,,,,,,,,,,4.22,
2015 Q4,,,,,,,17.12,,,14.9,,,,,2.21,,0.65,,,20.85,,,1.74,,,,1.78,,,,1.78,,,,,,,,,,,,,,,2.12,,,13.19,,,1.12,,,,,,,,,,,,,,,,,,,,,,,2.07,,,,,4.08,,,,0.97,,,,,,,,,,,2.79,,,2.38,,,2.07,,,,2.31,,1.91,,,,,,2.64,,,,,,,,,,,,
2015 Q3,,,,,,,9.67,,,13.21,,,,,2.0,,,,,17.15,,,2.06,,,,,,,,,,,,,,,,,,,,,,,1.86,,,9.66,,,2.13,,,,,,,,,,,,,,,,1.58,,,,,5.65,,1.99,,,,,3.79,,,,,,,,1.65,,,,,,,2.43,,,2.39,,,,,,,2.12,,1.73,,,,,2.51,2.26,,,,,,,,,,,8.99,
2015 Q2,,,,,,,9.87,2.13,2.21,13.62,,,,,,,,,,3.06,,,2.97,,,,2.08,,,,,,,,,,,,,,,,,,,,,,11.6,2.2,,4.75,,,,,,,,,,,,,,,,2.16,,,,,,,2.5,,,,,4.52,,,,,,,,,,62.58,,,,,2.55,,,2.46,,,,,,,2.17,3.66,,,,,,2.48,,,,,,,,,,,,3.18,
2015 Q1,,,,10.63,,,,1.92,5.45,15.97,,,,,,,,,,,,,2.81,,,,2.44,,,,,,,,,,,,,,,,2.36,,3.01,,,,10.55,,,5.19,,,,,,,,,,,,,,,,1.61,,,,,,,2.89,,,,2.67,3.39,,,,,,,,,,63.14,,,,,2.75,,,,,,,,2.3,,2.32,2.4,,,,,,,,,,,,,,,,,,2.6,
2014 Q4,1.84,,,8.11,,,,1.79,6.47,15.53,,,,,,,,9.5,,,,,2.62,,,,2.31,,,2.47,,,,,,,,,,,,,,,2.58,,,,9.17,,,5.13,,1.9,,,,,,,,,,,,,,,,,,,,,2.56,,,,2.3,,,,,,,,,,,63.27,,,,,1.86,,,,,,,,1.92,,1.79,2.01,,,,,,,,,,,,,,,,,,,
2014 Q3,,,,8.33,,,,,11.65,2.23,,,,2.44,,,,7.68,,,2.37,,2.85,,,,2.66,,,,,2.26,,,2.55,,,,,,,,,,2.93,,,,13.85,,,3.06,,,,,,,,,,,,,,,,,,,,,,,2.61,,,,2.33,,,,,,,,,,1.77,,,,,,2.28,,,,2.33,,,,2.67,,2.2,,,,,,,,,,,,,,,,,,,,
2014 Q2,,,,6.92,,,,4.06,13.51,,,,,2.58,,,,,,,,,3.46,,,,2.5,,,,,1.99,,,2.7,,,,,,,,,,2.85,,,,14.05,,,,,,,,,,,,,,,,2.0,,,,,,,,,,2.78,,2.0,,2.34,,,,,,,,,,,,,,,3.03,2.36,,,,,,,,,,2.41,,,,,,,3.34,,,,,,,2.71,,,,2.53,,
2014 Q1,,,,8.09,,,,4.72,,,,,,2.27,,,,,,,,,4.55,,,,2.24,,,,,,,,3.96,,,,2.4,,,2.3,,,2.62,,,,5.52,,,,,,,,4.17,,,,,,,3.68,2.51,,,,,,,,,,3.46,,2.61,,,,,,,,,,,,,,,,,,2.41,,,,,,,,,,2.61,,,,,,,4.93,,,,,2.62,,3.19,,,,,,
2013 Q4,,,2.36,,,,,7.26,,,,,,3.17,,,,,,,,2.23,6.41,,,,,,,,,2.59,2.54,,,,,,2.21,,,,,,2.57,,,,6.51,,,,,,,,6.82,,,,,,,3.4,3.26,,,,,3.72,,,,3.04,,,2.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.67,,,,,,,4.87,,,,,,,3.11,,,6.14,,,
2013 Q3,,,,,,,,11.9,,,,,,3.41,,,,,,,,2.53,7.4,,,,,,,,,3.15,,,4.49,,,,,,,,,,2.76,,,,,,,,3.81,,2.17,,5.59,,,,2.26,,,2.36,,,,,,4.66,,,,5.34,3.23,,,,,,,1.97,,,,,,,,,,,,,,,,,,,,,,,3.86,,,,2.77,,3.5,,,,,,,,,,,12.99,,,
2013 Q2,,,,,,,,10.15,,,,,,1.85,,,,,,,,2.61,2.15,,,,,,,,,,,,3.29,,,,2.22,,,,,,2.52,,2.58,,,,,,2.73,,,,,,,,,,,,,,,,,4.53,,,,5.01,3.08,,,,,,,2.02,,,,,2.96,,,,,,,,,,,,,,,,,,1.78,,,,2.43,2.73,4.8,,,,,,,1.7,,,,35.38,,,
