,ABKFQ,ABT,ADP,AFL,AIG,AMAT,AMGN,ANTM,AXP,BAC,BAX,BDX,BP,BRK,BWP,C,CAH,CB,CBI,CHK,CL,CSCO,CTAS,DD,DHR,DIS,DOW,DTV,EDS,EMC,ETN,FFH,GCI,GD,GE,GM,GRA,GS,HAE,HPE,HPQ,IBM,INTC,ITW,JNJ,JPM,KBR,KMX,L,LAB,LLY,MDLZ,MDT,MKL,MMC,MMM,OC,ORLY,PG,RDS,RSG,SPGI,SWK,SYY,T,TGNA,TRB,TUP,UNH,USEC,USG,VIAB,VMW,WBA,WFC,WU
2017 Q2,,,,,,,,,4.51,5.2,,2.57,3.87,2.96,4.2,,,3.61,,,,3.89,,,,,2.97,,,,3.46,,,,3.81,3.65,,,,,2.66,3.6,,,3.85,,,,3.93,,,,,,3.83,,,,,,,,,,,,,3.59,2.65,,,,,,3.75,
2017 Q1,,,,,,,,,4.42,5.27,,,4.02,,4.46,,,3.53,,,,4.38,,,,,3.12,,,,3.44,,,,4.38,,,,,3.56,2.84,4.26,,,3.78,,,,4.1,,,,,,3.78,,,,,,,,3.66,,2.83,3.43,,3.34,,,,,,,3.93,
2016 Q4,,,,,,,,,4.24,5.07,,,3.75,,4.34,,,3.51,,,,4.02,,,,,,,,,3.19,,2.89,4.06,4.77,,,,,3.57,,4.16,3.8,,3.59,,,,4.21,,,,,,3.55,,,,,,,,3.25,,4.96,,,,,,,,,,4.0,2.96
2016 Q3,,,,,,,,,3.74,4.2,,,3.6,,4.37,,,3.41,,,,4.3,,,,,,,,,3.19,,,3.71,4.55,,,,,3.57,,4.06,4.03,,3.75,,,,3.77,,,,,,3.6,,,,,,,,3.55,,4.82,,,3.65,,,,,3.48,,3.27,
2016 Q2,,,,,,,,,3.53,3.54,,,3.61,,4.41,,,3.52,2.98,,,3.87,,,,,,,,4.0,2.88,,,3.31,4.81,,,,,,,3.86,3.48,,3.83,,,,3.74,,,,,,3.64,,,,,,,,3.19,,5.1,,,3.12,,,,,,,3.48,
2016 Q1,,,,,,,,,3.61,3.26,,3.2,,,4.52,,,,,,,3.89,,,,,,,,3.97,3.05,,3.18,3.16,4.92,,,,,2.8,,3.9,3.48,,3.46,,,,3.53,,,,,,3.28,,,,,,,,3.81,,4.68,,,2.74,,,,,,,3.6,
2015 Q4,,,,,,,,,,3.43,,3.32,,,3.02,,,4.82,,,,3.79,,,,,2.72,,,3.91,,,3.5,3.38,4.92,,,,,,,3.62,3.79,,3.36,,,,3.62,,,,,,3.05,,,,,,3.55,,3.95,3.69,4.2,,,,,,,,,,4.13,
2015 Q3,,,,,,,,,,3.23,,,,,,,,4.54,,,,3.73,,,,,3.04,,,3.75,,,3.22,3.46,4.06,,,,,,3.07,3.88,3.37,,3.1,,,,3.47,,,,,,2.93,,,,,,3.38,,3.65,3.57,4.05,,,,,,,,,,3.97,
2015 Q2,,,,,,,,,,3.22,,,,,3.14,,,3.21,,,,3.56,,,,,3.34,3.09,,3.73,3.12,,,3.24,3.9,,,,,,3.29,3.97,3.1,,2.95,,,,3.37,,,,,,,,,,,,,,3.61,3.01,3.32,3.07,,,,,,,,,3.97,
2015 Q1,,,,,,,,,,,3.27,,,,3.43,,,3.36,,,,3.51,,,,,3.09,,,3.56,3.1,,3.5,3.06,3.59,,,,,,3.36,3.86,3.14,,3.01,,,,3.52,,,,,,,,,,,,,,3.23,3.1,3.01,,,,,,,,,,3.78,3.62
2014 Q4,,,,,,,,,,,3.43,3.45,,,3.72,,,3.38,,,,3.48,,,,,,,,4.07,3.04,,3.65,3.04,3.59,,,,,,4.25,3.79,3.58,,3.07,,,,3.56,,,,,,,,,,,,,,3.19,3.2,3.04,,,,,,,,,,3.74,3.75
2014 Q3,,,,,,,,3.23,,,3.36,,,,3.92,,,3.48,,,,3.16,,,,,3.32,,,4.01,,,3.39,3.4,3.64,,,,,,4.27,3.01,3.44,,3.13,,,,3.53,,,,,,,,,,,,,,2.95,3.95,3.19,,,,,,,,,,4.81,3.36
2014 Q2,,,,,,,,,,,3.28,,,,3.76,,,3.42,,,,3.02,,,,,3.16,,,3.5,3.36,,3.47,3.02,3.62,,,,,,3.93,,3.63,,,,,,3.62,,,,,,3.2,,,,,,3.48,,,3.77,3.1,,,,,,,,,,4.72,3.52
2014 Q1,,,,,,,,,,,3.59,3.02,,,,,,3.55,,,,,,,,,3.63,,,3.07,3.5,,3.28,3.56,3.83,,,,,,4.05,3.17,3.65,,3.45,,,,3.88,,,,,,3.27,,,,,,3.36,,,3.91,3.3,,,,,,,,,,5.31,
2013 Q4,,,,,,,,3.35,,,3.5,,,,,,,3.97,,,,,,,,,3.43,,,,3.67,,3.64,3.89,4.28,,,,,,3.62,,3.8,,3.32,,,,3.89,,,,,,3.32,,,,,,3.38,,,4.04,3.42,,,3.2,3.21,,,,,,5.01,
2013 Q3,,,,,,,,,3.39,,3.37,3.38,,,,,,3.73,,3.25,,3.22,,,,,,,,,3.94,,3.99,4.1,4.15,,,,,,,3.21,3.41,,,,,,3.83,,,,,,4.14,,,,,,3.45,,,3.62,,,,3.81,,,,,,,4.64,3.42
2013 Q2,,,,,,,,,3.32,,3.51,3.3,,,,,,3.5,,,,3.3,3.49,,,,,,,,3.72,,3.6,3.63,3.98,,,,,,,3.27,,,4.09,,,,3.6,,,,,,3.75,,,,,,,,,3.84,,,,3.39,,,,,,3.86,4.58,3.94
2013 Q1,,,,,,,,,3.56,,3.71,3.22,,,,,,3.65,,,,3.34,3.41,,,,,,,,3.49,,3.71,3.29,4.0,,,,,,,3.68,,,3.91,,,,3.6,,,,,,3.59,,,,,,,,,3.99,,,,3.59,,,,,,4.13,4.14,3.49
2012 Q4,,,,,,,,,3.32,,3.73,3.36,,,,,,3.91,,,,3.43,3.46,,,,,,,3.26,3.84,,3.35,,3.98,,,,,,,4.09,,,3.68,,,,3.65,,,,,,3.98,,,,3.09,,,,,3.93,,,,3.87,,,,,,3.51,4.19,3.46
2012 Q3,,,,,,,,,3.14,,3.54,3.24,,,,,,3.79,,,,3.19,3.96,,,,,,,3.36,3.21,,3.16,,4.49,,,,,,,4.24,,,4.07,,,,4.28,,,,,,3.75,3.39,,,,,,,,3.71,,,,,,,,,,3.3,4.05,3.55
2012 Q2,,,,,,,,,3.89,,3.09,3.04,,,,,,4.15,,,,2.84,3.65,,,,,,,3.12,,,3.15,,4.56,,,,,,,3.96,3.45,,3.95,,,,4.19,,,,,,3.52,3.24,,,,,,,,3.5,3.8,,,,,,,,,,3.88,3.24
2012 Q1,,,,,,,,,3.79,,3.41,3.1,,,,,,3.87,,,,3.43,3.63,,,,,,,3.57,,,3.22,,4.31,,,,,,,4.14,3.57,,3.78,,,,4.01,,,,,,3.52,3.17,,,,,,,,3.44,3.27,,,,,,,,,,3.88,3.33
2011 Q4,,3.67,3.92,,,,,,3.31,,3.02,3.2,,,,,,4.15,,,,3.14,4.15,,,,,,,,,,,,4.12,,,,,,,3.91,3.3,,4.03,,,,4.06,,,4.15,,,3.63,3.11,,,3.02,,,,,,3.39,,,,,,,,,,3.36,3.7
2011 Q3,,3.66,3.75,,,,,3.59,3.45,,3.76,3.44,,,,,,3.94,,,,3.45,3.67,,,,,,,,,,,,3.23,,,,,,,4.08,3.18,,4.28,,,,4.08,,,4.08,,,3.34,,,,,,,,,,3.5,,,,3.77,,,,,,3.22,3.39
2011 Q2,,,3.4,,,,,3.53,3.23,,3.24,3.28,,,,,,3.34,,,3.49,,3.5,,,,,,,3.14,,,,,3.25,,,,,,,3.25,,,3.64,,,,4.04,,,3.48,,,4.06,3.21,,,,,,3.27,,,3.84,,,,3.42,,,,,,,3.61
2011 Q1,,,3.29,,,,,3.72,,,,,,,,,,3.25,,,3.2,,3.85,,,,,,,3.66,,,,,3.42,,,,,,,3.5,3.08,,3.21,,,,4.1,,,3.75,,,3.85,3.14,,,,,,3.7,,,3.72,,,,3.72,,,,,,3.41,3.71
2010 Q4,,,3.13,,,3.34,,3.19,,,,3.37,,,,,,3.33,,,,,3.75,,,,,,,4.0,,,,,3.29,,,,,,,3.91,3.38,,3.54,,,,4.41,,,3.98,,,4.17,,,,,,,3.61,,,3.76,,,,3.92,,,,,,3.52,4.11
2010 Q3,,3.31,,,,,,3.32,,,,3.08,,,,,,3.32,,,,3.42,3.86,,,,,,,3.7,,,,,3.05,,,,,,,3.73,3.23,,3.7,,,,4.48,,,4.06,,,3.84,3.21,,,,,,3.42,,,3.82,,,,3.98,,,,,,,4.08
2010 Q2,,3.21,,,,3.22,,3.1,,,,,,,,,,3.15,,,,3.6,3.63,,,,,,,3.61,,,,,,,,,,,,4.25,3.53,,3.81,,,,4.26,,,3.99,,,3.88,3.16,,,4.12,,,3.14,,,3.49,,,,3.48,,,,,,3.28,3.72
2010 Q1,,3.2,,,,3.21,,3.62,,,,3.14,,,,,,,,,,3.9,3.77,,,,,,,3.15,,,,,3.28,,,,,,,3.91,3.58,,3.73,,,,4.23,,,3.82,,,3.73,,,,3.86,,,3.53,,,3.31,,,,3.55,,,,,,3.53,3.76
2009 Q4,,3.5,,,,3.53,,4.21,,,,3.35,,,,,,,,,,3.82,3.73,,,4.76,,,,4.1,,,,,,,,,,,,4.26,3.5,,3.93,,,,4.98,,,3.66,,,3.59,3.13,,,3.94,,,3.54,,,3.83,,,,4.14,,,,,,,3.5
2009 Q3,,3.01,3.77,,,3.19,,3.22,,,,,,,,,,,,,,3.53,4.08,,,3.81,,,,3.76,,,,,,,,,,,,3.65,3.16,3.94,3.49,,,,4.41,,,3.32,,,3.78,4.32,,,3.54,,,,,,3.47,,,,3.2,,,,,,,3.3
2009 Q2,,3.19,3.79,,,,,3.85,,,,,,,,,,,,,,3.61,3.42,,,3.61,,,,3.8,,,,,,,,,,,,3.56,3.73,3.84,3.63,,,,3.93,,,3.57,,,3.43,3.92,,,3.48,,,3.33,,,3.55,,,,3.55,3.33,,,,,,
2009 Q1,,3.61,4.2,,,,,3.77,,,,,,,,,,,,,,4.78,4.81,,,3.7,,,,4.43,,,,,,,,,,,,3.68,4.26,3.54,3.75,,,,,,,3.51,,,3.85,4.13,,3.71,3.58,,,3.79,,,4.02,,,,3.32,3.35,,,,,,
2008 Q4,,3.31,4.25,,,,,3.93,,,,,,,,,,,,,,3.81,4.06,,,4.39,,,,3.71,,,,,,,,,,,,3.81,,3.3,4.33,,,,,3.47,,3.76,,,4.62,3.91,,4.07,3.85,,,3.15,,,3.08,,,,3.96,3.53,,,,,,
2008 Q3,,3.14,3.78,,,,,3.05,,2.69,,,,,,,,,,,,3.69,3.51,,,4.15,,,,2.96,,,,,,,,,,,,3.7,,2.92,3.91,,,,2.75,2.71,,3.8,,,4.22,3.25,,3.37,3.6,,,3.01,,,,,,,,2.97,,,,,,
2008 Q2,,,3.09,,,2.7,,,,,,,,,,,,,,,,3.17,2.7,,,3.52,,,4.44,3.04,,,,,3.09,,2.91,,,,,3.55,,2.61,4.15,,,,2.72,2.92,,3.47,,,3.11,2.76,,,3.43,,,3.18,,,,,,,,2.78,,,,,,
2008 Q1,,,3.23,,,2.85,,,,,,,,3.84,,,,,,,,3.39,3.0,,,3.65,,,3.09,3.06,,,,2.82,4.42,,2.92,,,,,3.55,,,4.32,,,2.96,,,,3.9,,2.81,2.95,,,3.09,4.08,,,3.02,,,,,,,,,,,,,,
2007 Q4,,,2.42,3.0,2.67,,,3.77,,,,,,6.93,,,,,,,,2.72,2.82,,,2.68,,,2.75,3.51,,,,,4.32,,4.62,,,,,,,,4.03,,,,,,2.68,,,,3.11,,,2.93,3.05,,,2.56,,,,,,,3.93,,3.19,,,,,
2007 Q3,4.21,,,2.63,2.97,3.92,2.84,,,,,,,,,2.76,3.04,,,,,,,,2.81,,,,,3.79,,,,2.77,,,4.55,,3.48,,,,3.44,3.76,3.81,,,,,,2.75,,,4.25,2.88,,,2.9,2.81,,,,,,,,,,,,,,,,,
2007 Q2,4.49,3.61,,,,4.49,2.41,,,,,,,,,,4.78,,,,,,,,2.23,,,,,5.27,,4.57,,,,,3.61,2.27,3.36,,,,3.26,2.97,,3.08,,,,,2.35,,4.84,5.73,3.03,,2.26,2.76,,,,,,,,,,,,,,,,,,
2007 Q1,4.46,4.05,2.2,,,4.15,3.57,,,,,,,,,,4.94,,,,,,,,,,,,,4.04,,6.17,,2.18,,,3.9,,2.99,,,,2.63,2.84,,3.08,,,,,2.26,,4.59,5.74,2.88,,,2.5,,,,,,,,,2.82,,,,,,,,,
2006 Q4,4.49,3.45,,,,4.53,4.54,,,,,,,,,,4.54,,,,,,,,,,,,,3.76,,5.85,,2.2,,,2.85,2.68,2.81,,,,3.03,2.9,,3.13,,,,,3.73,,4.88,5.55,2.94,,,2.36,,,,,,,,,2.68,,,,,,,,,
