,AABA,ABG,AET,AGN,AIG,AIZ,AKBA,BEN,BKS,BMC,BMY.R,BNED,CARS,CCO,CELG,CLNS,CNL,COV,CST,CWH,CWH-OLD,DELL-OL,DTV,EGL,ENT,ESRX,FB,GCVRZ,GOOGL,GPI,GTIV,INXN,JCP,KERX,KMI,LAD,LAMR,MANT,MGI,MSFT,MTW,NAVI,NRF,NSAM,NXY,OI,OPB,ORLY,OXSQ,OZM,PACD,PCG,QCP,RYAM,RYN,SCU,SHPG,SLGN,SLM,SPH,SYT,TEVA,TMDX,TWC,TWX,UHAL,VEON,WAIR,WBT,WEN,WFC,WLTW,WU
2017 Q2,8.48,,,,,,,14.15,1.06,,,3.71,2.65,0.65,,5.28,,,,,,,,,0.99,,,,,,,,,1.64,,,,,,,,,,,,,,,,2.26,,,3.64,,,,,,,0.37,,,,,12.17,5.74,2.18,,4.47,,7.36,6.84,16.36
2017 Q1,,,,,,,,12.83,3.69,,,3.22,,0.78,,5.4,,,,,,,,,0.72,,,,,,,,,1.35,,,,,,12.57,,,,,,,,,,1.93,,,3.61,,,,,,,,,,,,11.42,3.94,2.94,,5.67,,7.13,5.94,16.85
2016 Q4,,,,,,,,11.54,4.26,,,3.69,,0.62,,,,,,,,,,,1.19,,,,,,,,,1.23,,,,,2.22,11.36,,,,5.97,,,,,,2.3,,,2.54,,,,,,,,0.91,,,,10.81,1.4,2.65,,7.99,,6.76,5.31,17.23
2016 Q3,,,,,,,,14.03,5.84,,,4.17,,0.97,,,,,,,,,,,2.06,,,,,,,,,1.51,,,,,1.81,14.24,,,2.14,7.0,,,1.85,,,3.67,,,,,,,,,,,,,,,,,3.24,,9.06,,6.09,,22.33
2016 Q2,,,,,,,,13.85,6.18,,,4.65,,1.09,,,,,,,,,,,1.73,,,,,,,,,1.98,,,,,1.84,13.31,,,1.96,5.82,,,1.86,,0.02,3.05,,,,,,,,,,,,,,,,,3.8,,10.36,,6.85,,21.65
2016 Q1,,,,,,,,14.66,6.08,,,4.06,,0.74,,,,,,,,,,,2.01,,,,,,,3.84,,1.26,,,,,1.48,12.99,,,2.03,4.24,,,2.56,,0.01,,,,,,,,,,,,,,,6.39,,,3.78,,7.84,,6.33,,19.69
2015 Q4,,,,,,,,10.62,3.53,,,4.47,,1.03,,,6.74,,,,,,,,2.7,,,,,,,3.87,,1.52,,,,,1.76,15.11,6.06,,,,,,3.23,,,,,,,,,,,,,,,,,6.71,,,3.26,,,,8.23,,21.16
2015 Q3,,,,,,,,,6.0,,,6.5,,1.71,,,4.57,,,,,,,,4.11,,,,,,,4.55,,1.26,,,,,2.94,15.78,5.38,,,,,,5.62,,,,,,,,,,,,,,,,,,,,3.0,,,,10.18,,28.4
2015 Q2,,,,,,,,,9.02,,,,,2.31,,,,,,,,,10.8,,4.42,,,,,,,4.41,,,,,,,3.2,14.93,,,,,,,5.58,,,,,,,,,,,,,,,,,,,,1.69,,,3.25,10.58,,29.82
2015 Q1,,,,,,,,,7.27,,,,,2.52,,,,,2.59,,,,8.86,,4.95,,,,,,,4.92,,,,,,,2.81,15.06,,,,,,,5.21,,,,,,,,,,,,,,,,,,,,1.15,,,,11.21,,33.44
2014 Q4,,,,,13.93,,,,4.95,,,,,1.84,,,,15.63,6.02,,,,3.14,,3.53,,,,,,,3.33,0.5,,,,,,1.09,11.98,,,,,,,3.34,,,,,,,2.81,,,,,,,,,,,,,,,,,7.87,,20.05
2014 Q3,,,,,15.34,,,,4.8,,,,,1.34,,,,13.41,7.95,,,,,,3.32,,,,,,,1.34,0.89,,,,,,,13.66,,,,,,,4.08,,,,,,,4.87,,,,,,,,,,,,,,,,,8.5,,20.5
2014 Q2,,,,,18.34,,,,6.64,,,,,1.94,,,,,7.33,,,,,,3.81,,,,,,1.04,,0.96,,,,,,,10.1,,6.49,,,,,4.4,,,,,,,,2.32,,,,,,,,,,,,,,,,10.31,,26.31
2014 Q1,,,,,18.84,,,,3.51,,,,,2.43,,,,,7.44,,,,,,3.76,,,,,,,,1.03,,,,,,,11.13,,,,,,,,,,,,,,,,,,,15.93,,,,,,,,,2.46,,,10.94,,22.55
2013 Q4,,,,,19.13,,,,,,,,,2.69,,,,,8.7,,,,,0.27,3.52,,,0.31,,,,,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,21.1,,,,,,,,,9.98,,,9.93,,23.65
2013 Q3,,,,,18.11,,,,,,,,,2.16,,,,,7.01,,,,,6.29,,,,4.94,,,,,,,,,,1.94,,,,,,,,,,,,,,,,,,,,,19.86,,,,,,,,,14.26,,,,,25.42
2013 Q2,,,,,12.29,4.43,,,,3.22,,,,1.45,,,,,3.57,,,11.58,,4.39,,,,3.44,,,,,,,,,,2.68,,,,,,,,,,,,,,,,,,,,,20.2,,,5.82,,,,,,9.71,,,,,17.22
2013 Q1,,,,,,6.57,,,,,,,,2.44,,,,,,,,,,6.22,,,,5.44,,,,,,,,,6.01,4.36,,,,,,,,,,,,,,,,,,,,,29.96,,,9.88,,,,,,7.19,,,,,21.92
2012 Q4,,,,,,,,,,,,,,2.16,,,,,,,3.07,,,4.69,,,,4.87,4.91,,,,,,,,19.52,1.82,,,,,,,17.64,,,,,,,,,,,,,2.88,23.59,,,8.76,,,,,,6.08,,,,,
