,AAN,ACIW,AGCO,AGP,ALGT,AM-OLD,AMBA,APOL,ARRS,ARW,ATGE,ATW,AVT,BHI,BIG,BJS,BW,BWXT,CAKE,CC-OLD,CFFN,CHB,CHRS,CISN,CNC,COG,CRI,CUB,CXG,DAN,DPTHL,FHB,FI,FII,FL,FLE,GNTX,GPK,HMHC,HMN,HP,IDCC,ISBC,MATX,MCY,MKSI,MTN,NBL,NFX,NOV,OSK,PDE,PTEN,R,RCII,RDC,ROSE,ROST,RS,RSH,SAIC,SAVE,SIG,SM,TEN,THO,THS,TRN,TWI,VAL,VECO,VG,VMI,VNOM,VSTO,WDC,XEC,ZLC
2012 Q3,,,,,,,,,,8.58,2.7,1.68,8.14,2.33,,,,,,,,,,,,,,,,,,,,1.45,2.91,,,,,,,4.12,,,,,,,4.09,,4.17,,1.61,,,10.55,8.86,,1.73,,,,3.41,2.22,,,,6.78,,9.51,,,,,,9.37,1.31,
2012 Q2,,,,3.08,,,,,,8.72,2.65,2.0,9.01,2.21,,,,,,,,,,,,,,,,,,,,1.86,3.28,,,,,,,3.4,,,,,,,3.99,,3.32,,,,,10.64,7.07,,1.74,,,,3.82,2.1,,,,5.9,,9.71,2.0,,,,,7.7,,
2012 Q1,,,,2.83,,,,,,10.03,,2.14,9.56,2.03,,,,,,,,,,,,,,,,,,,,1.71,3.94,,,,,,,2.04,,,,,,,2.52,,3.31,,,,,9.75,8.47,,1.75,,,,3.69,2.73,,,,7.0,,9.85,1.5,,,,,9.4,1.58,
2011 Q4,,,,3.4,,,,,,9.67,,2.9,8.84,2.41,,,,,,,,,,,,,,,,,,,,,5.01,,,,,,1.21,1.85,,,,,,,2.82,,3.14,,1.7,,,9.25,7.81,,1.55,,,,4.35,2.89,,,,7.84,,10.33,,,,,,7.23,1.65,
2011 Q3,,,,2.42,,,,,0.87,8.68,,3.37,8.96,2.77,,,,,,,,,,,,,,,,,,,,1.67,5.97,,,,,,,,,,,,,,3.52,,2.74,,2.85,,,11.13,8.2,,1.31,,,,4.05,3.06,,,,6.75,,10.76,,,,,,6.92,1.79,
2011 Q2,,,,,,,,,0.74,9.83,,3.28,8.3,3.86,,,,,,,,,,,,0.67,,,,,,,,,5.35,,,,,,,0.4,,,,,,,3.46,,1.77,,4.37,,,10.84,9.95,,1.45,,,,4.25,2.81,,,,8.34,,10.75,,,,,,7.42,2.19,
2011 Q1,,,,,,,,,0.76,9.38,,3.21,8.41,3.88,,,,,,,,,,,,0.51,,,,,,,,,4.41,,,,,,,,,,,,,,3.63,,,2.13,4.98,,,11.69,9.59,,1.59,,,,3.93,2.66,,,,8.35,,11.08,,,,,,7.18,2.65,
2010 Q4,,,,,,,,,0.72,8.27,,2.79,9.24,4.4,,,,,,,,,0.39,,,0.39,,,,,,,,,4.73,,,,,,,,,,,,,,3.91,,,4.69,4.6,,,10.48,9.84,,1.52,,,,4.4,2.4,,,,6.87,,11.02,,,,,,7.03,2.31,
2010 Q3,,,,,,,,,,7.48,,2.64,8.76,4.72,,,,,,,,,0.45,,,0.36,,,,,,,,,4.5,,,,,,,,,,4.0,,,,3.8,,,4.85,4.45,,,10.57,8.3,,2.04,,,,4.9,1.86,,,,6.67,,10.71,,,,,,6.83,2.11,
2010 Q2,,,,,,,,,,7.43,,2.62,9.29,5.46,,,,,,,,,0.57,,,0.44,,,,,,,,,4.64,,,,,,,,,,4.81,,,,3.84,,,4.37,3.98,,,9.07,8.31,,2.11,,,,5.04,2.37,,,,6.3,,11.16,,,,,,5.36,2.7,
2010 Q1,,,,,,,,,,8.03,,2.85,9.27,,,5.63,,,,,,,4.43,,,0.42,,,,,,,,,4.44,,,,,,,,,,4.07,,,,3.28,,,4.73,3.47,,,9.65,9.67,,2.3,,,,5.0,1.65,,,,5.69,,10.21,,,,,,3.25,1.8,
2009 Q4,,,,,,,,,,7.94,,2.87,9.05,,,4.76,,,,,,,5.46,,,,,,0.52,,,,,,3.19,,,,,,,,,,3.55,,,,4.14,,,4.87,5.11,,,7.29,10.67,,2.43,,,,5.75,2.07,,,,4.83,,8.85,,,,,,3.76,2.16,
2009 Q3,,,,,,,,,,7.87,,2.9,9.45,,,5.1,,,,,,,4.47,,,,,,0.62,,,,,,3.51,,,,,,,,,,3.36,,,,4.15,,,4.76,6.58,,,7.62,8.08,,2.87,,,,6.36,2.01,,,,4.89,,9.66,,,,,,3.19,1.81,
2009 Q2,,,,,,,,,,8.18,,2.41,9.51,,,4.22,,,,,,,4.0,,,,,,1.06,,,,,,3.63,,,,,,,,,,3.66,,,,5.95,,,4.63,7.76,,,7.54,5.68,,3.06,,,,6.03,2.2,,,,4.57,,9.35,,,,,,3.76,2.19,
2009 Q1,,,,,,,,,,9.68,,2.12,10.45,,,4.07,,,,,,,1.99,,,,,,,,,,,,5.37,,,,,,,,,,4.29,,,,5.46,,,4.38,7.14,,,6.16,4.17,,2.77,1.81,,,4.37,1.84,,,,4.05,,10.74,,,,,,3.63,1.87,
2008 Q4,,,,,,1.82,,,,8.63,,1.53,9.8,,,4.3,,,,,,,3.12,,,,,,1.31,,,,,,4.3,,,,,,,,,,5.99,,,,4.28,,,3.51,8.26,,,7.38,5.38,,1.89,2.27,,,2.99,,,,,6.29,,10.42,,,,,,1.94,,
2008 Q3,,,,,,2.57,,,,5.91,,1.68,9.28,,,,,,,,,2.95,4.38,,,,,,,,0.74,,,,5.89,0.56,,,,0.97,,,,,5.0,,,,,,,,9.03,,,8.36,9.78,,,2.31,,,4.01,,,,,7.2,,14.81,,,,,,0.74,,3.16
2008 Q2,,,,,,1.59,,,,5.31,,2.2,7.89,,,,,,,1.29,,2.39,3.16,,,,,,,,,,,,3.48,1.11,,,,0.81,,,,,3.28,,,,,,,,12.48,,,9.83,11.65,,,1.26,,,2.61,,,,,7.45,,15.93,,,,,,0.93,,3.82
2008 Q1,,,,,,2.34,,,,5.69,,1.59,9.25,,,,,,,1.73,,4.0,3.25,,,,,,,,,,,,3.22,1.91,,,,,,,,,3.03,,,,,,,,9.32,,2.15,8.77,7.86,4.0,,1.63,,,3.17,,,,,5.84,,13.09,,,,,,,,3.91
2007 Q4,,,,,,2.56,,,,6.64,,1.73,9.88,,,,,,,1.83,,3.76,3.64,,,,,,,,,,,,3.73,2.48,,,,,,,,,3.41,,,,,,,,6.95,,1.7,8.4,7.92,3.41,,1.69,,,3.55,,,,,6.08,,12.46,,,,,,,,3.17
2007 Q3,,,,,,3.11,,,,6.7,,,10.51,,,,,,,2.56,,4.09,4.43,,,,,,,,1.37,,,,3.61,3.31,,,,,,,,,3.45,,,,,,,,7.5,,1.99,7.26,6.83,3.19,,1.93,,,,,,2.74,,7.67,,10.94,,,,,,,,3.43
2007 Q2,,,,,,2.89,,,,5.26,,,9.07,,,,,,,,,3.17,4.4,,,,,,,,2.83,,,,4.23,3.04,,,,,,,,,3.05,,,,,5.56,,,7.55,,2.49,7.06,6.96,3.32,,2.68,,,,,,2.39,,7.72,,10.32,,,,,,,,3.06
2007 Q1,,,,,,2.4,,,,5.22,,,13.25,,,,,,,,,2.87,5.32,,,,,,,,2.86,,,,4.62,2.69,,,,,,,,,2.97,,,,,4.63,,,6.54,,2.69,5.66,6.72,3.75,,2.86,,,,,,2.11,,7.67,,9.31,,,,,,,,3.43
2006 Q4,,,,,,2.63,,,,4.66,,,10.79,,3.59,,,,,,,3.26,5.93,,,,,,,,3.05,,,,4.05,2.87,,,,,,,,,1.91,,,,,3.89,,,6.76,,3.02,5.73,6.51,4.1,,,,,,,,2.51,,6.87,,9.14,,,,,,,,3.92
