,A,ABEV,ABV-OLD,ACN,ADI,ADSK,AGN,ALTR,AMT,AMZN,AON,AVGO,AVP,AXP,AZO,BAP,BAX,BBD,BCO,BDX,BIDU,BITA,BKNG,BTI,CACC,CAG,CBRE,CL,CLB,CME,CMPR,COV,ECL,EFX,FIS,GOOG,GOOGL,GWW,HOG,HRB,ICE,KMB,KO,LKQ,MSM,NXPI,OPEN,ORCL,PFE,PM,SERV,SIRO-OLD,SLH,SNN,SPGI,SSNC,ST,TMO,TNET,TRV,UL,V,VRSN,WAT,WLTW,ZTS
2013 Q1,,,2.74,,9.88,,,5.07,,,,,,,,,,2.71,2.34,,4.99,,6.62,,1.18,,,7.05,3.27,,,,6.53,,0.2,,10.37,,,,,,9.25,5.0,,,2.13,10.83,,3.43,,,3.23,,,,,,,,,,,3.17,,
2012 Q4,,,3.24,,9.82,,,3.11,,5.89,,,,,,,,2.98,2.32,,4.96,,6.28,,1.17,,,7.41,1.59,,,,3.97,,,,10.98,,,,,,9.84,3.51,,,1.97,10.27,,3.67,,,3.54,,,,,,,,,,,3.5,,
2012 Q3,,,3.4,,10.55,,,3.56,,4.88,,,,,,,,3.19,,,3.71,,5.66,,1.13,,,8.76,,,,,4.14,,,,13.45,,,,,,11.9,,,,,11.18,,7.24,,,3.36,,,,,,,,,,,3.88,,
2012 Q2,,,3.7,,11.04,,,3.85,,4.78,,,,,,,,3.21,,,,,6.62,0.15,1.22,,,9.26,,,,,4.75,,,,11.28,,,,,,13.32,,,,,11.51,,7.66,,,3.47,,,,,,,,0.16,,,4.02,,
2012 Q1,,,4.25,,12.55,,,2.39,,4.5,,,,,,,,4.01,,,,,5.89,0.15,0.25,,,9.23,,,,,,,,,13.22,,,,,,13.39,,,,,11.97,,10.59,,,4.04,,,,,,,,0.17,,,3.4,,
2011 Q4,,,3.87,,11.58,,,2.32,,,,,,,,,,3.98,,,,,4.01,0.24,,,,9.1,,,,,,,,,13.89,,,,,,13.2,,,,1.1,10.98,,9.79,,,4.1,,,,,,,,0.28,,,2.82,8.74,
2011 Q3,,,3.75,,11.7,,,2.23,,,,,,,,,,4.02,,,,,,0.26,,,,10.1,,,,,,,,,12.75,,,,,,14.55,,,,,14.06,,8.86,,,5.3,,,,,,,,0.32,,,3.28,8.82,
2011 Q2,,,4.05,,14.07,,,,,,,,,,,,,12.77,,,,,,0.27,,,,9.55,,,,,,,,,12.13,,,,,,14.1,,,,,15.67,,4.95,,,6.06,,,,,,,,0.32,,,,6.05,
2011 Q1,,,3.26,,11.6,,,,,,,,,,,5.07,,12.36,,,,,,0.26,,,,6.29,,,,,,,,,12.09,,,,,,13.46,,,,,12.9,,7.82,,,4.74,,,,,,,,0.45,,,,9.72,
2010 Q4,,,3.29,,10.21,,,,,,,,,,,5.3,,11.17,,2.43,,,,0.27,,,,5.72,,,,4.37,,,,,9.36,,,,,,12.33,,,,,11.11,,6.47,,,4.69,,,,,,,,0.5,,,,12.76,
2010 Q3,,,2.29,,4.96,,,,,,,,8.36,,8.67,4.42,,9.73,,7.93,,,,0.26,,,,4.74,,,,7.23,,,,,7.17,,,,,,8.18,,,,,8.24,,5.37,,,3.5,,,,,,,,0.47,,,,8.46,
2010 Q2,,,,,,,,,,,,,4.74,,9.1,4.42,,8.53,,8.99,,,,0.31,,,,11.92,,,,9.61,,,,,,,,,,3.43,7.31,,,,,8.17,,5.46,,,3.57,0.36,,,,,,,0.57,3.32,,,10.21,
2010 Q1,,,,,,,,,,,,,5.8,,7.78,,5.42,6.41,,10.0,,,,0.81,,3.64,,11.07,,,,11.52,,,,,,,,,,3.39,,,,,,9.38,,5.94,,,2.09,0.41,,,,,,,0.66,4.07,,,11.58,
2009 Q4,,,,10.44,,,,,,,,,2.6,,,,,6.38,,11.34,,,,1.55,,6.26,,6.23,,,,12.64,,,,,,,,,,3.96,,,,,,6.1,7.62,4.57,,,,1.12,,,,,,2.06,1.46,4.53,,,11.14,
