日期,新屋開工
1992-05-01,110.0
1992-04-01,130.0
1992-03-01,125.0
1992-02-01,118.0
1992-01-01,108.0
1991-12-01,110.0
1991-11-01,108.0
1991-10-01,102.0
1991-09-01,105.0
1991-08-01,106.0
1991-07-01,104.0
1991-06-01,100.0
1991-05-01,100.0
1991-04-01,92.0
1991-03-01,97.0
1991-02-01,80.0
1991-01-01,97.0
1990-12-01,115.0
1990-11-01,101.0
1990-10-01,111.0
1990-09-01,112.0
1990-08-01,117.0
1990-07-01,118.0
1990-06-01,121.0
1990-05-01,125.0
1990-04-01,129.0
1990-03-01,144.0
1990-02-01,155.0
1990-01-01,125.0
1989-12-01,135.0
1989-11-01,141.0
1989-10-01,128.0
1989-09-01,133.0
1989-08-01,143.0
1989-07-01,140.0
1989-06-01,133.0
1989-05-01,134.0
1989-04-01,142.0
1989-03-01,143.0
1989-02-01,162.0
1989-01-01,156.0
1988-12-01,157.0
1988-11-01,152.0
1988-10-01,149.0
1988-09-01,149.0
1988-08-01,147.0
1988-07-01,148.0
1988-06-01,142.0
1988-05-01,157.0
1988-04-01,153.0
1988-03-01,147.0
1988-02-01,127.0
1988-01-01,140.0
1987-12-01,166.0
1987-11-01,152.0
1987-10-01,170.0
1987-09-01,161.0
1987-08-01,158.0
1987-07-01,159.0
1987-06-01,163.0
1987-05-01,161.0
1987-04-01,173.0
1987-03-01,178.0
1987-02-01,177.0
1987-01-01,183.0
1986-12-01,162.0
1986-11-01,168.0
1986-10-01,169.0
1986-09-01,181.0
1986-08-01,178.0
1986-07-01,185.0
1986-06-01,185.0
1986-05-01,193.0
1986-04-01,188.0
1986-03-01,185.0
1986-02-01,197.0
1986-01-01,194.0
1985-12-01,170.0
1985-11-01,183.0
1985-10-01,168.0
1985-09-01,174.0
1985-08-01,168.0
1985-07-01,168.0
1985-06-01,168.0
1985-05-01,182.0
1985-04-01,180.0
1985-03-01,163.0
1985-02-01,171.0
1985-01-01,161.0
1984-12-01,169.0
1984-11-01,159.0
1984-10-01,170.0
1984-09-01,159.0
1984-08-01,173.0
1984-07-01,184.0
1984-06-01,177.0
1984-05-01,185.0
1984-04-01,166.0
1984-03-01,226.0
1984-02-01,190.0
1984-01-01,169.0
1983-12-01,179.0
1983-11-01,172.0
1983-10-01,171.0
1983-09-01,191.0
1983-08-01,179.0
1983-07-01,173.0
1983-06-01,178.0
1983-05-01,147.0
1983-04-01,161.0
1983-03-01,170.0
1983-02-01,159.0
1983-01-01,130.0
1982-12-01,137.0
1982-11-01,117.0
1982-10-01,114.0
1982-09-01,105.0
1982-08-01,117.0
1982-07-01,90.0
1982-06-01,103.0
1982-05-01,92.0
1982-04-01,93.0
1982-03-01,87.0
1982-02-01,84.0
1982-01-01,91.0
1981-12-01,84.0
1981-11-01,87.0
1981-10-01,91.0
1981-09-01,94.0
1981-08-01,104.0
1981-07-01,105.0
1981-06-01,114.0
1981-05-01,136.0
1981-04-01,131.0
1981-03-01,125.0
1981-02-01,155.0
1981-01-01,148.0
1980-12-01,151.0
1980-11-01,152.0
1980-10-01,147.0
1980-09-01,144.0
1980-08-01,127.0
1980-07-01,120.0
1980-06-01,93.0
1980-05-01,105.0
1980-04-01,105.0
1980-03-01,135.0
1980-02-01,134.0
1980-01-01,150.0
1979-12-01,152.0
1979-11-01,168.0
1979-10-01,183.0
1979-09-01,178.0
1979-08-01,176.0
1979-07-01,191.0
1979-06-01,188.0
1979-05-01,175.0
1979-04-01,185.0
1979-03-01,152.0
1979-02-01,163.0
1979-01-01,204.0
1978-12-01,209.0
1978-11-01,198.0
1978-10-01,197.0
1978-09-01,200.0
1978-08-01,209.0
1978-07-01,207.0
1978-06-01,208.0
1978-05-01,220.0
1978-04-01,203.0
1978-03-01,174.0
1978-02-01,172.0
1978-01-01,214.0
1977-12-01,204.0
1977-11-01,204.0
1977-10-01,195.0
1977-09-01,202.0
1977-08-01,206.0
1977-07-01,189.0
1977-06-01,197.0
1977-05-01,189.0
1977-04-01,206.0
1977-03-01,194.0
1977-02-01,153.0
1977-01-01,180.0
1976-12-01,164.0
1976-11-01,163.0
1976-10-01,172.0
1976-09-01,155.0
1976-08-01,140.0
1976-07-01,150.0
1976-06-01,146.0
1976-05-01,140.0
1976-04-01,142.0
1976-03-01,154.0
1976-02-01,137.0
1976-01-01,132.0
1975-12-01,136.0
1975-11-01,134.0
1975-10-01,126.0
1975-09-01,126.0
1975-08-01,123.0
1975-07-01,109.0
1975-06-01,112.0
1975-05-01,101.0
1975-04-01,99.0
1975-03-01,90.0
1975-02-01,103.0
1975-01-01,98.0
1974-12-01,103.0
1974-11-01,107.0
1974-10-01,115.0
1974-09-01,114.0
1974-08-01,132.0
1974-07-01,151.0
1974-06-01,143.0
1974-05-01,161.0
1974-04-01,156.0
1974-03-01,175.0
1974-02-01,145.0
1974-01-01,153.0
1973-12-01,172.0
1973-11-01,168.0
1973-10-01,187.0
1973-09-01,205.0
1973-08-01,212.0
1973-07-01,207.0
1973-06-01,227.0
1973-05-01,208.0
1973-04-01,237.0
1973-03-01,229.0
1973-02-01,248.0
1973-01-01,237.0
1972-12-01,242.0
1972-11-01,249.0
1972-10-01,248.0
1972-09-01,238.0
1972-08-01,225.0
1972-07-01,225.0
1972-06-01,222.0
1972-05-01,225.0
1972-04-01,233.0
1972-03-01,239.0
1972-02-01,249.0
1972-01-01,230.0
1971-12-01,218.0
1971-11-01,213.0
1971-10-01,204.0
1971-09-01,216.0
1971-08-01,208.0
1971-07-01,203.0
1971-06-01,205.0
1971-05-01,199.0
1971-04-01,191.0
1971-03-01,174.0
1971-02-01,183.0
1971-01-01,189.0
1970-12-01,165.0
1970-11-01,158.0
1970-10-01,153.0
1970-09-01,140.0
1970-08-01,152.0
1970-07-01,139.0
1970-06-01,129.0
1970-05-01,126.0
1970-04-01,132.0
1970-03-01,131.0
1970-02-01,109.0
1970-01-01,133.0
