,Date,Close,retrun
133,1939-01-01,12.3,0.46819
134,1939-02-01,12.7,-0.82559
135,1939-03-01,10.98,-0.05330
136,1939-04-01,10.93,1.04199
137,1939-05-01,11.6,-0.54662
138,1939-06-01,10.86,2.44794
139,1939-07-01,12.04,-0.58905
140,1939-08-01,11.18,4.02510
141,1939-09-01,12.79,0.03818
142,1939-10-01,12.83,-0.45349
143,1939-11-01,12.2,0.28795
144,1939-12-01,12.46,-0.33069
145,1940-01-01,12.05,0.08264
146,1940-02-01,12.13,0.05060
147,1940-03-01,12.18,0.00990
148,1940-04-01,12.19,-0.96260
149,1940-05-01,9.27,1.42443
150,1940-06-01,9.98,0.44350
151,1940-07-01,10.29,0.27435
152,1940-08-01,10.5,0.19899
153,1940-09-01,10.66,0.58998
154,1940-10-01,11.08,-0.43190
155,1940-11-01,10.57,0.01141
156,1940-12-01,10.58,-0.44725
157,1941-01-01,10.07,-0.16481
158,1941-02-01,9.92,0.04947
159,1941-03-01,9.96,-0.55508
160,1941-04-01,9.31,0.09405
161,1941-05-01,9.38,0.79805
162,1941-06-01,9.85,0.89737
163,1941-07-01,10.39,-0.11990
164,1941-08-01,10.28,-0.08949
165,1941-09-01,10.2,-0.57393
166,1941-10-01,9.5,-0.38729
167,1941-11-01,9.12,-0.43986
168,1941-12-01,8.69,0.24475
169,1942-01-01,8.85,-0.30080
170,1942-02-01,8.59,-0.56781
171,1942-03-01,8.01,-0.41500
172,1942-04-01,7.66,1.10449
173,1942-05-01,8.15,0.24465
174,1942-06-01,8.3,0.44793
175,1942-07-01,8.56,0.08743
176,1942-08-01,8.62,0.37161
177,1942-09-01,8.85,0.95880
178,1942-10-01,9.36,-0.08614
179,1942-11-01,9.29,0.83040
180,1942-12-01,9.77,1.21652
181,1943-01-01,10.44,0.81165
182,1943-02-01,10.97,0.91436
183,1943-03-01,11.58,0.01041
184,1943-04-01,11.59,0.59530
185,1943-05-01,12.05,0.34326
186,1943-06-01,12.35,-0.39100
