,AA,ABBV,ADI,ADM,AIG,AXP,BAC,BBT,BK,BMY,C,CB,CBS,CCL,CMCSA,CMCSK-OLD,COF,COP,COV,CSCO,CVS,CVX,DD-OLD,DELL-OL,DG,DIS,DVN,EBAY,EMR,ETN,FDC,FDX,GE,GENZ,GILD,GLW,GOOG,GPS,GS,HOLX,HPQ,HRS,INTC,JCI,JNJ,JPM,MCD,MEDI,MER,MET,MMM,MS,MSFT,MWW,NVLS-OLD,OXY,PEP,PFE,PG,QCOM,RTX,SBL,SCHW,SLB,SPGI,SPLS,STJ,STT,TDW,TEL,TEVA,TMO,TWX,TYC,VIAB,VIAC,VLO,VOD,VSH,WBA,WFC,WMT,WU,WYE,ZBH
2013 Q3,,,,,,3.27,,3.11,,,,,,,,,,,,3.54,,3.02,,,,,3.4,,3.35,,,,,,,3.11,,,,,,,,,3.29,3.96,,,,3.87,,3.18,3.38,,,3.85,,,3.17,,,,,3.76,,,,3.39,,3.31,2.9,,,,,,,,,,3.9,,,,3.38
2013 Q2,,,,,,3.37,,3.22,,,,,,,,,,,,3.94,,3.18,,,,,,,3.41,,,,,,,3.56,,,,,,,,,3.51,4.31,,,,4.58,,3.34,3.8,,,3.27,,,3.4,,,,3.42,3.52,,,,4.26,3.71,3.48,,,,,,,,,,,4.47,,,,3.19
2013 Q1,,,,3.21,,3.21,,,,,,,,,,,,,,3.39,,3.38,,,,,3.63,,3.3,,,,,,,3.53,,,,,,,,,3.53,4.11,,,,4.13,,3.18,3.33,,,,,,3.6,,,,3.74,3.5,,,,4.1,3.66,3.39,,,,,,,,,,,4.24,,,,3.39
2012 Q4,,,,,,,,,,,,,,,,,,3.31,,3.53,,3.4,,,,,3.7,,3.46,,,,,,,3.56,,,,,,,,,3.35,4.29,,,,4.11,,3.32,3.23,,,,,,3.51,,,,3.42,3.24,,,,4.17,3.75,3.32,3.28,,,,,,,,,,4.34,,,,3.51
2012 Q3,,,,,,,,3.09,,,,,,,,,,3.14,,3.46,3.01,3.32,,,,,3.97,,,,,,,,,3.45,,,,,,3.19,,,3.27,4.23,,,,3.9,,,3.19,,,,,,3.42,,,,,,,,3.42,3.92,3.77,,3.33,,,,,,,3.05,,,4.09,,,,3.46
2012 Q2,,,,,,2.81,,3.2,,,,,,,,,,2.84,,3.17,,3.29,,2.81,,,3.35,,,,,,,,,3.19,,,,,,3.21,,,,3.8,,,,3.57,,,3.37,,,,,,,,,,,,,2.98,3.58,4.0,3.45,,2.93,,,,,,,2.99,,,4.33,,,,3.42
2012 Q1,,,,,,,,2.91,,,,,,,,,,3.46,,3.39,,2.99,,3.33,,,3.67,,,,,,,,,3.23,,,,,,3.24,,,,4.15,,,,3.86,,,3.33,,,,,,2.67,,,,,,,3.31,3.47,3.89,3.59,,,,,,,,,,,2.8,4.19,,2.82,,3.51
2011 Q4,,,2.92,,,,,,,,,,,,,,,3.73,,3.34,,3.37,,3.52,,,3.6,3.52,,,,,,,,3.3,,,,,,3.32,,,,3.72,,,,3.51,,,3.35,,,,,,,,,,,,,3.26,3.28,3.82,3.57,,,,,,,,,,,3.07,3.92,,3.3,,3.45
2011 Q3,,,2.95,,,,,,,,,,,,,,,4.09,,3.57,,3.43,,3.81,,,3.29,3.62,,,,,,,,3.21,,,,,,3.22,,,,3.45,,,,3.23,,,3.55,,,,,,,,,,,,,3.19,3.02,3.49,3.23,,,,,,,,,,,3.12,4.05,,3.25,,3.5
2011 Q2,3.2,,,,,,,,,,,,,,,,,3.91,,2.86,,3.07,,3.6,,,3.65,3.44,,,,,,,,3.29,,,,,,2.92,,,,3.37,,,,,,,3.05,3.17,,,,,,,,,,,,2.89,3.31,3.66,3.43,,,,,,,,,,,3.08,3.69,,3.26,,3.15
2011 Q1,3.2,,,,,,,,2.96,,,,,,,,,4.1,,2.82,,3.13,,2.98,,,3.89,3.1,,,,,,,,3.16,,,,,,,,,,3.45,,,,,,,,3.09,,,,,,,,,,,2.97,3.2,3.22,3.28,3.52,,,,,,,,,,,3.3,3.31,,3.13,,3.14
2010 Q4,3.02,,2.94,,,,,,3.23,,,,,,,,,3.78,,3.08,,2.92,,3.01,,,3.77,3.15,,,,,,,,3.29,,,,,,,,,,3.44,,,,,,,,3.48,,,,,,,,,,,3.1,3.06,,3.53,3.34,,,,,,,,3.01,,,3.63,3.1,,3.33,,
2010 Q3,,,,,,,2.88,,3.13,,,,,,,,,4.01,,3.02,,3.0,,3.29,,,3.48,3.69,,,,,,3.09,,3.48,,,,,,,,,,3.37,,,,,,2.82,2.85,2.89,,,,,,,,,,,3.48,3.15,,3.21,3.11,,,,,,,,,,,3.64,,,3.78,,
2010 Q2,,,2.94,,,,3.41,,3.2,3.32,,,,,,,,3.71,,3.31,,,,3.3,,,3.54,3.21,,,,,,,,3.21,,,,,,,,,,3.51,,,,,,,2.9,,,,,,,,,,,,3.21,3.1,,3.03,2.91,,,,,3.42,,,2.94,,,3.14,,,3.45,,
2010 Q1,,,,,,,3.52,,3.6,3.19,,,,3.02,,,,3.18,,3.4,,2.91,,3.38,,,3.34,3.51,,,,,,,,3.22,,,,,,,,,,3.52,,,,,,2.86,3.04,3.29,,,,,,,,,,,3.34,3.21,,,,,,,,3.2,,,,,,3.33,,,3.3,,
2009 Q4,3.18,,2.99,,,,3.0,,3.55,3.05,,,,,,,,3.2,,3.2,,2.98,,3.27,,,3.85,3.23,,,,,,,,3.11,,,,,,,,,,3.31,,,,,,,3.25,3.49,,,,,,,,,,,3.31,3.51,,,,,,,,3.09,,,,,,3.03,,,3.23,,
2009 Q3,,,,,,,3.4,,2.87,,,,,3.08,,,,2.99,,3.38,,2.96,,3.67,,3.13,3.79,3.55,,,,,,,,,,,,,,,,2.85,,3.49,,,,,,3.14,3.2,3.7,3.01,,,,,,,,,,,3.37,,,,,,,,3.52,,,,,,3.55,,,3.16,,
2009 Q2,,,2.99,,,,,,3.03,,,,,2.92,,,,3.26,,3.22,,3.26,,3.86,,3.11,3.59,3.19,,,,,,,,,,,,,,,,3.13,,2.99,,,,,,3.39,3.61,,2.93,,,,,,,,,,3.67,3.26,,,,,,,,3.2,,,,,,3.18,,,3.24,,
2009 Q1,,,,,,,,,3.73,3.18,,,,3.23,,3.51,,3.54,,3.82,,3.86,,3.11,,,3.49,2.83,,,,,,,,,,,,,,,3.1,,,,,,,,,3.24,3.74,,3.94,,,,,,,,,,3.75,3.6,,,,,,,,2.9,,,3.23,,,3.69,,,3.18,,
2008 Q4,,,2.82,,,,3.03,,3.27,,,,,2.9,,3.75,,3.89,,3.53,,4.09,,2.81,,,3.82,,,,,,2.92,,,,,,,,,,,,,,,,,,,,3.73,2.92,,,,,,,,,,,3.19,3.49,,,,,,,3.41,,,,2.95,,,3.06,,2.78,,3.83,
2008 Q3,,,2.92,,,,3.49,,,,,,,,,3.5,,4.17,3.1,3.77,,4.0,,3.21,,,4.19,,,,,,3.62,,,,,,,,,,,,,,,,,,3.4,,4.05,2.85,3.39,,,,,,,,,,2.97,3.22,,,,,,,3.51,3.43,,,,,,,,3.46,,3.09,
2008 Q2,,,3.02,,,,,,,,,,,,,3.2,,4.96,4.06,3.32,,4.71,,3.98,,,4.46,,,,,,3.03,,,,,,,,,,,,,,,,,,,3.43,3.58,3.01,3.33,,,,,,,,,,3.64,3.23,,,,,,,3.52,3.25,,,,,,,,4.15,3.64,3.92,
2008 Q1,,,,,3.65,,,,,,,,,,,3.71,,3.87,3.77,3.27,,4.0,,4.11,,,3.95,,,,,,4.11,,,,,,,,,,,,,,,,3.61,,3.15,4.73,3.5,,3.26,,,,,,,,,,3.18,,,,,,,,3.54,3.58,,,,,,,,3.97,3.59,3.46,
2007 Q4,,,,,4.07,,3.42,,,,3.03,,,,,3.32,,4.13,3.85,,,3.95,,3.28,,,4.07,,,,,,3.69,,,,,,,,,,,,,3.4,,,3.31,,,3.7,3.88,,,,,3.33,,,,,,,,,,,,,3.13,,3.91,3.51,,,,,,,,4.03,3.45,,
2007 Q3,,,,,3.93,,3.69,,,,3.81,,,,,3.44,,4.12,3.93,,,3.84,,,,,,,,,,,3.32,,,,,3.1,,,,,3.26,,,,,,3.45,,,3.51,3.7,,,,,3.31,,,,,,,,,,,,,3.36,,3.63,3.4,,,,,,,,3.73,4.2,3.27,
2007 Q2,,,,,3.74,,3.4,,,,3.45,,,,,3.2,,3.52,,3.7,,3.4,,,3.1,,,,,,3.79,,3.55,,,,,3.25,,,,,3.09,,,,,,,,3.23,,3.4,,,,,3.36,,,,,,,,,,,,,3.61,,3.82,4.37,,,,,,,,3.69,3.64,,
2007 Q1,,,,,3.73,,3.41,,,,3.66,,,,,,,3.42,,,,3.62,,,3.63,,,,,,4.3,,3.98,,,,,3.21,,,,,,,,,,4.89,,,3.36,3.3,3.74,,,,,3.41,,,,,,,,,,,,,3.89,,3.84,3.55,,,,,3.09,,,3.83,,3.4,
2006 Q4,,,,,3.67,,,,3.07,,3.58,,,,,3.37,,,,,,3.46,,,3.94,,,,,,3.73,,3.63,,,,,3.32,,,,,,,,,,3.67,,,,3.28,3.6,,,,,3.08,,,,3.9,,,,,,,,,3.26,,4.07,3.11,,,,,3.54,,,3.62,,3.46,
