,AAPL,AFSI,AGN,AIG,ARII,CHK,CI,CLDR,CNDT,CVI,CVRR,CZR,DELL,DELL-OL,DVMT,EBAY,EGN,ENZN,FANG,FCX,FDML,FRX,GCI,HAIN,HLF,HOLX,HPQ,HRI,HTZ,IEP,LNG,MENT,MTW,NAV,NFLX,NUAN,NWL,OXY,PYPL,RIG,SD,SSE,TEN,TGNA,TLM,TTWO,VLTC,VMW,WBMD,WBT,XRX
2017 Q2,,,,13.75,2.33,,,,1.61,7.92,0.28,,,,,,,,,5.63,,,,,8.34,,,0.87,1.72,39.44,8.14,,0.33,2.24,,,,,2.74,,,,,,,,,,,1.02,3.64
2017 Q1,,,,14.29,2.45,,,,1.67,7.17,0.27,,,,,,,,,6.11,,,,,6.67,,,1.06,2.57,36.12,7.75,,0.3,2.07,,,,,6.81,,,,,,,,,,,1.04,3.65
2016 Q4,,,0.4,13.32,2.4,,,,,8.08,0.27,,,,,,,,,5.38,6.39,,,,4.84,,,0.77,2.82,34.82,6.05,,0.28,2.28,,1.22,,,5.89,,,,,,,,,,,0.91,3.86
2016 Q3,,,0.49,13.68,2.49,,,,,4.95,0.25,,,,,,,,,5.7,6.72,,,,6.14,,,0.73,2.62,32.43,7.19,,0.26,1.88,,1.44,,,7.01,,,,,,,,0.06,,,0.87,5.07
2016 Q2,,,3.88,11.91,2.31,1.54,,,,5.44,0.23,,,,,,,,,5.71,5.68,,,,4.91,,,0.73,2.81,32.91,6.05,,0.28,0.94,,1.67,,,6.1,1.26,,,,,,,,,,0.92,4.64
2016 Q1,,,,11.18,2.25,1.4,,,,8.65,0.34,,,,,,,0.01,,5.01,6.37,,,,4.87,,,,3.12,34.55,5.15,,0.21,0.95,,2.62,,,6.8,0.91,,,,,,,0.09,,,0.73,4.8
2015 Q4,16.36,,,8.89,1.87,1.12,,,,9.52,,,,,,,,,,2.39,3.22,,,,3.1,3.7,,,3.08,24.37,4.14,1.01,0.55,0.49,,4.11,,,5.69,0.9,,,,1.11,,,,,,,3.12
2015 Q3,20.88,,,,1.54,1.92,,,,10.48,0.41,,,,,,,,,3.48,3.4,,0.4,,3.32,3.95,,,3.12,27.54,4.95,1.42,0.57,0.74,,3.57,,,5.15,1.0,,,,1.72,,,,,,,
2015 Q2,21.21,,,,1.85,2.62,,,,8.59,0.35,,,,,8.93,,,,,5.04,,0.34,,3.0,4.17,,,3.02,31.21,0.24,1.37,0.66,1.18,,3.41,,,,1.11,,,,1.54,,,0.09,,,,
2015 Q1,20.48,,,,1.84,3.23,,,,9.45,0.39,,,,,8.33,,0.02,,,5.76,,1.73,,2.27,3.52,,,3.51,30.44,,1.21,0.71,1.5,1.84,2.72,,,,0.98,,0.06,,,,,,,,,
2014 Q4,18.26,,,,1.92,4.08,,,,8.64,0.32,,,,,8.14,,,,,6.11,,1.5,,2.01,2.86,,,4.06,31.55,,1.11,0.31,1.71,1.51,2.72,,,,1.23,,0.08,,,1.87,,,,,,
2014 Q3,15.8,,,,2.61,4.54,,,,9.47,0.42,,,,,7.72,,0.02,,,5.35,,1.32,,2.21,2.47,,,2.93,33.74,,0.98,,1.4,1.89,2.79,,,,2.04,,0.34,,,1.96,,,,,,
2014 Q2,12.72,,,,2.09,5.36,,,,8.9,0.39,,,,,4.0,,0.02,,,6.36,,0.22,,2.85,17.82,,,,27.39,,0.9,,1.39,2.02,2.96,,,,2.51,,,,,2.09,,0.0,,,,
2014 Q1,12.29,,,,2.52,5.17,,,,9.14,0.42,,,,,4.66,,0.02,,,6.88,8.59,,,2.96,2.23,,,,32.09,,1.08,,1.37,2.4,3.17,,,,2.7,,,,,2.31,,0.01,,,,
2013 Q4,8.72,,,,1.78,5.92,,,,10.15,0.45,,,,,,,0.02,,,7.83,6.04,,,4.38,2.51,,,,36.6,,1.27,,1.67,3.22,3.03,,,,3.49,,,,,2.91,,0.01,,,,
2013 Q3,7.5,,,,1.89,6.98,,,,11.13,0.61,,,,,,,0.04,,,8.25,5.33,,,4.81,,,,,33.95,,1.53,,1.97,6.95,3.98,,,,3.88,,,,,0.3,0.89,0.01,,,,
2013 Q2,,,,,1.85,5.65,,,,15.69,0.84,,,9.46,,,,0.05,,,3.64,5.84,,2.19,3.56,,,,,33.56,,1.46,,1.53,5.44,2.69,,,,4.79,,,,,,0.84,0.01,,0.91,,
