,ACA,ADBE,ADS,ADSK,AES,AFI,AGU,ALB,ALSN,ARMK,AWI,AXP,BCR,BHC,BHI,BIVV,BKNG,BKR,C,CBRE,CF,COL,CPWR,DAR,DRC,EIX,ES-OLD,ESRX,EVA,EXPD,FDX,FNF,FOX,FOXA,GDI,HAL,HE,ICE,INT,KAR,KKR,LIND,LKQ,MCO,MCRS,MOS,MOT,MS,MSCI,MSFT,MSI,NLOK,NTCT,NYT,PCG,PCP,PPO,PSN,SLE,SLM,SPGI,STRA,STX,TECH,TIBX,TRN,TSG,TW-OLD,UFI,VLO,VRRM,VRSN,WCC,WLTW,XPO,XRAY
2017 Q2,,,13.48,,,0.74,,,,,3.78,,,2.78,15.29,3.85,,,,11.18,,,,,,,,,,,,,13.28,,,,,,,,0.83,,,,,,,7.12,,9.86,,,0.54,,,,,,,,,,4.78,,,3.9,,,,,,,,8.59,,
2017 Q1,,,12.25,,,0.71,,,,,3.55,,,1.66,15.73,3.86,,,,12.2,,,,,,,,,,,,,14.19,,,,,,,,,,,,,,,6.41,,12.69,,,0.73,,,,,,,,,,3.67,,,3.46,,,,,,,,8.88,,
2016 Q4,,,9.85,,,0.75,,,2.91,,3.16,,,1.79,14.62,,,,,10.83,,,,,,,,,,,,,11.93,,,,,,,,,,,,,,,9.33,,19.71,,,0.43,,,,,,,,,,2.99,,,3.55,,,,,,,,8.14,,
2016 Q3,,,9.33,,,0.76,,,4.77,,3.31,,,3.2,13.13,,,,,8.43,,,,,,,,,,,,,10.84,,,,,,,,,,,,,,,11.69,,19.36,,,,,,,,,,,,,3.2,,,2.61,,,,,,,,9.37,,
2016 Q2,,,5.85,,,0.71,,,4.9,,3.27,,,2.74,15.93,,,,,7.92,,,,,,,,,,,,,11.7,,,,,,,,,,,,,,,8.96,0.91,26.3,,,,,,,,,,,,,0.66,,,1.01,,,,,,,,9.15,,
2016 Q1,,0.01,1.19,,,,2.79,,5.15,,4.44,,,3.94,10.17,,,,,9.47,,,,,,,,,,,,,13.32,,,,,,,,,,,,,,,,3.0,31.21,6.21,,,,,,,,,,,,,,,,,,,,,,,9.1,,
2015 Q4,,9.11,,,,,6.19,,3.43,,2.91,,,10.55,7.43,,,,,7.5,,,,,,,,,,,,,8.92,,,3.89,,,,,,,,,,,,,3.16,21.75,8.33,,,,,,,,,,,,,,,,,0.64,,,,,,6.19,,
2015 Q3,,6.7,,,,,5.21,,2.97,,2.55,4.87,,15.55,7.03,,,,,5.83,,,,,,,,,,,,,7.45,,,7.64,,,,,,,,,,,,,3.22,19.37,6.99,,,,,,,,,,,,,,,,,0.23,,,,,,4.39,,
2015 Q2,,6.7,,,,,5.58,,2.95,,2.58,4.54,,17.54,7.55,,,,,6.1,,,,,,,,,,,,,7.56,,,8.51,,,,,,,,,,,,,3.02,17.5,5.31,,,,,,,,,,,,,,,,,,,,,,,4.55,,
2015 Q1,,6.54,,,,,4.59,,3.38,,2.92,,,21.28,8.17,,,,,6.7,,,,,,,,,,,,,5.7,,,8.19,,,,,,,,,,,,,3.15,16.91,6.48,,,,,0.66,,,,,,,,,,,,,,,,,0.41,4.91,,
2014 Q4,,7.29,,,,,4.86,,4.06,,2.95,,,17.38,5.27,,,,,6.72,,2.36,,,,,,,,,,,7.0,,,5.15,,,,,,,,,,,,,2.77,21.61,7.39,,,,,,,,,,,,,,,,,,,,,,,5.17,,
2014 Q3,,11.07,,,,,3.11,,3.44,,3.45,,,16.64,,,,,,6.41,,5.81,,,,,,,,,,,5.63,1.06,,,,,,,,,,,,,,,2.93,23.07,12.26,,,,,,,,,,,,,,,,,,,,,,,5.11,,
2014 Q2,,13.14,,,,,,,4.14,,1.15,,,17.64,,,,,,7.62,,6.94,,,2.05,,,,,0.3,,,0.67,,,,,,,0.19,,,,,,,,,3.17,22.88,14.22,,,,,,,,,,,,,,,,,,,,,,,5.9,,
2014 Q1,,12.56,,,,,,,4.07,,,,,18.84,,,,,,6.66,,7.89,,,2.21,,,,,0.65,,,,,,,,,,0.18,,,,,0.91,,,,2.64,22.06,14.03,1.14,,,,,,,,,,,,,,,,,,,,,,6.14,,
2013 Q4,,12.53,,,,,,,4.12,,,,,18.37,,,,,,7.0,,8.02,,,0.32,,,,,,,,,,,,,,,0.2,,,,,3.18,,,,2.7,20.69,16.14,,,,,,,,,,,,,,,,,,,,,,,6.75,,
2013 Q3,,14.67,,,,,,,1.05,,,,,17.82,,,,,,6.71,2.69,8.03,,,,,,,,,,,,,,,,,,0.2,,,,,3.02,0.22,,,2.69,20.1,15.49,,,,,,,,,,,,,,,,,,,0.2,,,,7.12,,
2013 Q2,,14.65,,,,,,,,,,,0.85,16.73,,,,,,7.68,1.76,7.28,,,,,,,,,,,,,0.5,,,,,0.19,,,,,2.97,,,,2.12,20.48,17.14,,,,,,,,,,,,,0.04,,,,,,,,,,7.63,,
2013 Q1,,15.41,,,,,,0.68,,,,,4.12,14.9,,,,,,9.14,,7.98,,,,,,,,,,,,,2.13,,,,,0.18,,,,,3.05,,,,2.36,10.79,20.94,,,,,,,,,,0.86,,,,0.09,,,,,,,,,7.37,,
2012 Q4,,15.02,,4.64,,,,,,,,,5.33,13.36,,,,,,8.11,,7.81,,,,,,,,,,,,,2.19,5.66,,0.32,,0.21,,,,9.63,,,,,2.43,,20.49,,,,,,,,,,,,,,,,,,,,,,,4.82,,
2012 Q3,,14.38,,2.82,,,,,,,,,6.76,13.73,,,,,,8.24,,8.0,,,,,0.1,,,,,,,,2.14,6.2,,,,0.22,,,,10.83,,,,,,,20.68,,,,,,,,,,,,,,,,,,,,,,,5.9,,
2012 Q2,,14.91,,1.24,,,,,,,,,9.28,11.57,,,,,,7.36,,7.45,0.02,,,,0.06,,,,,4.42,,,1.94,5.85,,,0.09,0.2,,,,9.15,,,,,,,20.51,,,,,,,,,,,,,,,,,,,,,,,5.95,,
2012 Q1,,14.54,,,,,,,,,,,8.98,12.55,,,,,,6.61,,7.84,,,,,0.19,,,,,4.35,,,0.86,1.18,,,,0.2,,,,10.81,,,,,,,22.81,,,,,,0.16,,,,,,,,,,,,,,,3.79,,5.13,,
2011 Q4,,11.99,,,,,,,,,,,8.65,12.14,,,,,,5.57,,8.91,,,,,0.13,,,,,3.45,,,,,,,,0.21,,,,9.62,,,19.14,,,,,,,0.56,,,,,6.65,,,,,,,,,,,,,7.24,,5.73,,
