,AA,ABH,ABT,AGX,ALR,ALTR,AZN,BB,BCE,BNI,BNS,BRK.A,BRK.B,BRO,BWINB-OLD,BYI,C,CBI,CBST,CRAY,CRESY,CRR,CSX,CTB,CTL,CTRX,DELL-OL,DRC,DSSI,DXM,EROS,FIT,FLR,FTR,GCI,GE,GM,GSK,HP,IBM,IBN,ICO,IDIX,INTC,IPI,JEC,JEF,JNJ,KG,KLIC,KW,LMNS,LRN,LVLT,LXK,MCFT,MDLZ,MDR,MGA,MHK,MMI,MON,MU,MYRG,NEU,NTES,NVDQ,NWPX,NXY,NYCB,NYT,ONCE,ORH,ORI,OSTK,PFE,PGH,PGR,PKX,PPO,RAIL,RE,RFP,RPXC,RYAAY,RYAM,SBNY,SD,SLCA,SLH,SPMD,SSW,STEI,TRQ,TSM,UPL,USB,USG,VRUS,WFC,WMT,XCO,ZNT
2017 Q2,,,,,,,,41.29,,,,0.16,0.21,,,,,,,,,,0.07,,,,,,,,,,,,,,,,1.68,9.02,,,,,3.32,,0.69,1.77,,,20.73,,,,,,,,,,,0.07,,,,0.08,,,,,,,,,,0.62,,,1.06,,,,11.77,,,,,,,,,,,0.27,,,1.88,3.93,,0.27,,0.82,
2017 Q1,,,,,,,,29.2,,,,0.12,0.19,,,,,,,,,,0.06,,,,,,,,,,,,,,,,1.88,19.15,,,,,2.3,,0.63,1.52,,,22.03,,,,,,,,,,,0.06,,,,0.07,,,,,,,,,,0.58,,,1.0,,,,13.32,,,,,,,,,,,0.28,,,1.7,3.93,,0.27,,1.38,
2016 Q4,,,,,,,,27.52,,,,0.13,0.22,,0.81,,,,,,,,,,,,,,,,,,,,,,,,2.32,19.35,,,,,,,0.6,1.49,,,21.57,,,,,,,,,,,0.06,,,,0.06,,,,,,,,,4.77,0.58,,,0.86,,,,13.99,,,,,,,,,,,0.32,,,1.79,0.87,,0.31,,2.06,
2016 Q3,,,,,,,,33.58,,,,0.12,0.25,,2.24,,,,,,,,,,,,,,,,,,,,,,,,2.12,19.51,,,,,,,0.51,0.88,,,18.19,,,,0.06,,,,,,,,,,,,,,,,,,,,4.39,0.64,,,0.88,,,,13.0,,,0.08,,,,,,,,0.31,,,0.09,0.08,,0.28,,2.46,
2016 Q2,,,,,,,,30.36,,,,0.13,0.27,,2.32,,,,,,,,,,,,,,,,,,,,,,,,2.28,20.05,,,,,,,0.5,0.97,,,16.46,,,,0.06,,,,,,,,,,,,,,,,,,,,4.97,0.72,,,0.83,,,,15.67,,,0.09,,,,,,,,0.38,,,0.09,0.09,,0.32,,3.22,
2016 Q1,,,,,,,,33.65,1.09,,,0.11,0.25,,2.12,,,,,,,,,,,,,,,,0.12,,,,,,,,1.83,18.33,0.95,,,,,,0.43,0.8,,,17.42,,,,,,,,,,,,,,,,,,,,,,,,4.07,0.55,,,0.81,,,,14.19,,,,,,,,,,,0.26,,,0.08,,,0.3,,2.24,
2015 Q4,,,,,,,,35.17,0.84,,,0.1,0.22,,1.88,,,,,,,,,,,,,,,,0.15,,,,,,,,1.52,15.22,,,,,,,,0.69,,,17.5,,,,,,,,,,,,,,,,,,,,,,,,3.17,0.55,,,0.55,,,,17.8,,,,,0.91,,0.1,,,,0.24,,,0.08,,,0.31,,2.57,
2015 Q3,,,,,,0.09,,26.45,1.01,,,0.11,0.26,,1.95,,0.09,,,,,,,,,,,,,,,,,,,,,,,18.27,,,,,,,,0.71,,,18.36,0.13,,,,,,,,,,,,,,,,,,,0.08,,,,5.05,0.68,,,0.62,,,,22.29,,,,,1.43,,,,,,,,,0.09,,,0.33,,1.22,
2015 Q2,,,,,,,,27.97,0.84,,,0.09,0.21,,1.64,,0.08,,,,,,,,,0.07,,,,,,,,,,,,,,16.26,,,,,,,,0.59,,,16.15,0.08,,,,,,,,,,,,,,,,,,,0.07,,,,5.26,0.58,,,,0.15,,,23.94,,,,,3.26,,,,,,,,,,0.07,,0.29,,1.52,
2015 Q1,,,,,,,,29.33,0.8,,,0.09,0.22,,1.59,,0.07,,,,,,,,,,,0.09,,,,,,,,,,,,15.41,,,,,,,,0.59,,,0.74,,,,,,,,,,,,,,,,,,,0.05,0.07,,,,5.43,0.58,,,,,,,35.26,,,,,6.38,,,,,,,,,0.07,0.06,,0.27,,2.26,
2014 Q4,,,,,,,,33.16,0.8,,,0.09,0.24,,1.62,,0.07,,0.13,,0.47,,,,,,,,,0.09,,,,,,,,,,14.16,,,,,,,,0.56,,,0.66,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.47,,,,,,,33.08,,,,,5.96,,,,,,,,,0.07,0.08,,0.25,,2.46,
2014 Q3,,,,,,,,31.68,0.78,,,0.08,0.23,,1.64,0.12,0.07,,,,0.54,,,,,,,,,0.1,,,,,,,,,,13.84,,,,,,,,0.6,,,0.65,,,,,,,,,,,,,,,,,,,,,,,,3.67,0.47,,,,,,,31.03,,,,,9.49,,,,,,,,,0.09,0.08,,0.25,,3.99,
2014 Q2,,,,,,,,32.99,0.84,,,0.08,0.21,,1.72,,0.07,,,,0.65,,,,,,,,,0.12,,,,,,,,,,,,,0.08,,,,,0.61,,,0.74,,,,,,,,,,,,,,,,,,,,0.07,,,,3.46,0.48,,,,,,,33.64,,,,,16.03,,,,,,,,,0.09,0.09,,0.25,,7.13,
2014 Q1,,,,,,,,26.68,0.82,,,0.08,0.22,,1.81,,0.07,,,,0.47,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,0.59,,,0.64,,,,,,,,,,,,,,,,,,,,0.08,,,,4.44,0.53,,,,,,,41.27,,,,,14.12,,,,,,,,0.06,0.09,0.1,,0.24,,6.95,
2013 Q4,,,,,,,,29.81,0.9,,,0.08,0.19,,2.04,,0.08,,,,0.56,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,0.6,,,0.69,,0.06,,,,,,,,,,,,,,,,,,0.09,,,,7.58,0.56,,,,,,,35.95,,,,,15.21,,,,,,,,,0.09,0.09,,0.24,,4.44,
2013 Q3,,,,,,,,27.54,0.77,,,0.07,0.16,,1.57,,,,,,0.42,,,0.14,,,0.48,,,0.09,,,,,,,,,,,,,,,,,,17.09,,,0.5,,0.07,,,,,,,,,,,,,,,,,,,,,,6.33,0.45,,,,,,,25.73,,,,,12.75,,,,,,,,,0.07,0.08,,0.19,,4.88,
2013 Q2,,,,,,,,22.71,0.46,,,,0.1,,0.98,,0.04,,,,0.23,,,,,,5.01,,,0.12,,,,,,,,,,,,,,,,,,21.3,,,0.28,,,10.68,,,,,,,,,,,,,,,,,,,,,3.76,0.28,,,,,,,15.98,,0.41,,,6.47,,,,,,,,,4.41,,,2.29,0.69,3.46,
2013 Q1,,,,,,,,29.04,0.49,,,,0.08,,0.89,,,,,,0.26,,,,,,4.98,,,,,,,,,,,,,,,,,,,,,18.78,,,0.24,,,10.17,,,,,,,,,,,,,0.9,,,,,,,,1.62,0.26,,,,,,,15.55,,0.31,,,6.62,,,0.05,,,,,,3.83,,,1.9,0.64,2.99,
2012 Q4,,,,,,,,25.54,0.48,,,,,,0.96,,,,,,0.25,,,,,,3.78,,,,,,,2.85,,,,,,,,,,,,,,17.29,,,0.23,,,12.4,,,,,,,,,,,,,0.72,,0.09,,,,,,2.01,0.24,,,,,,,13.61,,0.27,,,8.55,,,,,,,,,4.12,,,2.48,0.62,3.0,
2012 Q3,,,,,,,,20.89,0.63,,,,,,1.24,,,,,,0.32,,,,,,4.73,,,,,,,4.88,,,,,,,,,,,,,,21.93,,,0.3,,,15.89,,,,,,,,,,,,,1.12,,0.08,,,,,,1.87,0.31,,,,,,,13.18,,0.33,,,1.62,,,,,,,,,5.71,,,3.25,0.87,0.28,
2012 Q2,,,,,,,,10.97,0.61,,,,,,1.24,,,,,,0.29,,,,,,6.23,,,,,,,3.94,,,,,,,,,,,,,,22.26,,,0.31,,,15.85,,,,,,,,,,,,,0.73,,,,,,,,1.3,0.3,,,,,,,11.84,,0.32,,,1.61,,,,,,,,,7.92,7.18,,5.48,0.85,0.28,
2012 Q1,,11.89,,,,,,18.72,0.51,,,,,,1.03,,,,,,0.49,,,,,,7.07,,,,,,,3.68,,,,,,,,,,,,,,18.63,,,0.26,,,15.79,,,,,,,,,,,,,0.6,,,,,,,,0.84,0.25,,,,,,,,,0.33,,,1.62,,,,,,,,,6.69,5.55,,4.79,0.64,0.21,
2011 Q4,,14.61,,,,,,10.64,0.64,,,,,,1.21,,,,,,0.58,,,,,,7.68,,,,,,,5.49,,,,,,,,,,,,,,22.37,,,0.24,,,12.59,,,,,,,,,,,,,,,,,,,,,1.52,0.29,,,,,,,,,0.31,,,2.03,,,,,,,,,6.91,3.97,0.11,7.14,0.75,0.39,
2011 Q3,,13.45,,,,,,12.29,0.52,,,,,,1.06,,,,,,0.49,,,,,,16.45,,,,,,,5.83,,,,,,,,,,,,,,16.92,,,0.22,,,14.81,,,,,,,0.07,,,,,,,,,,,,,,1.61,0.21,,,,,,,,,0.26,,,1.24,,,,,,,,,5.36,2.35,,5.58,0.58,0.36,
2011 Q2,,13.06,,,,,,8.88,0.39,,,,,,0.82,,,,,,0.53,,,,,,13.93,,,,,,,5.52,,,,,,,,,,0.44,,,,12.68,,,,,,12.38,,,6.96,,,,,,,,,,,,,,,,,,1.9,0.18,,,,,,,,,0.21,,,8.35,,,,,,,,,4.18,3.58,,4.66,0.43,0.43,
2011 Q1,,16.38,,,,,,4.18,0.35,,,,,,0.81,,,,,,0.58,,,,,,11.8,,,,,,,5.47,,,,,,,,9.14,,,,,,11.01,,,,,,7.29,,,6.03,,,,,,,,,,,,,,,,,,1.9,,,,,,,,,,0.19,,,9.77,,,,,0.31,,,,4.21,4.06,,5.13,0.41,0.49,
2010 Q4,,12.35,,,,,,4.74,0.38,,,,,,0.9,,,,,,0.79,,,,,,12.11,,,,,,,7.14,,,,,,,,6.89,,,,,,16.78,,,,,,5.37,,,6.67,,,,,,,,,,,,,,,,,,2.2,,,,,,,,,,0.24,,,6.13,,,,,1.08,,,,4.73,4.51,,5.51,0.47,0.5,
2010 Q3,,,,,,,,5.08,0.45,,,,,,1.22,,,,,,1.66,,,,,,14.72,,,,,,,7.57,,,,,,,,11.94,,,,,,21.23,,,,,,6.52,,,8.25,,,,,,,,,,,,,,,,,,2.65,0.21,,,,,,,,,0.3,,,1.11,,,0.19,,1.09,,,,4.79,4.46,,5.68,0.59,,
2010 Q2,,,,,,,,,0.36,,,,,,0.87,,,,,,1.08,,,,,,11.72,,,,,,,5.63,,,,,,,,7.39,,0.47,,,,17.33,,,,,,6.35,,,12.11,,,,,,,,,,,,,,,,,,2.6,,,,,,,0.2,,,0.22,,,0.98,,,0.28,,0.94,,,,10.77,3.76,,15.33,0.45,,
2010 Q1,,,,,,,,,0.24,,,,,,0.72,,1.5,,,,0.89,,,,,,10.7,,,,,,,4.27,,9.75,,,,,,6.36,,,,,,13.84,,,,,,6.91,,,9.27,,,,,,,,,,,,,,,,,,1.7,,,,,,,,,,,,,1.55,,,0.46,,0.79,,,,9.01,3.86,,13.49,0.38,,3.68
2009 Q4,,,,,,,,,0.2,,,,,,0.65,,,,,,0.81,,,,,,13.56,,,,,,,3.95,,10.95,,,,,,4.73,,,,,0.26,12.05,,,,,,5.72,,,7.36,,6.6,,,,,,,,,,,,,,,,1.25,,,,,,,,,,,,,1.67,,,,,0.57,,,,9.7,2.79,,14.69,0.32,,1.77
2009 Q3,,,,,,,,,,2.51,,,,,0.34,,,,,,0.38,,,,,,7.99,,,,,,,1.77,0.29,6.58,,,,,,2.22,,1.69,,,,6.32,,,,,,2.9,,,3.94,,3.39,,,,,,,,,,,,,,41.47,,0.75,,,,,,,,,,,,,,,,,,0.32,,,,5.23,1.9,,8.49,,,0.46
2009 Q2,1.8,,,,,,,,1.26,2.95,,,,,,,,,,,,,,,,,9.15,,,,,,,2.13,,4.11,,,,,,2.0,,2.21,,,0.4,7.49,1.53,,,,,3.98,,,4.84,,4.38,,,,,,,,,,,,,,32.49,,0.78,,,,,,,,,,,,,,,,,,0.38,,,,5.46,1.41,,9.32,,,
2009 Q1,1.53,,,,,,,,1.46,2.91,,,,,0.42,,,,,,,,,,,,5.22,,,,,,,2.59,,2.39,,,,,,1.36,,2.43,,,,8.38,1.36,,,,,2.97,,,5.13,,3.35,,,,,,,,,,,,,,37.24,,0.72,5.15,,,,,,,,,,,,,,,,,,,,,5.36,1.29,,6.6,,,
2008 Q4,1.98,,,,,,,,,1.92,,,,,0.34,,,,,,,,,,,,5.26,,,,,,,3.16,1.26,3.79,,,,,,1.34,,4.55,,,,8.92,1.91,,,,,1.86,,,5.7,,3.08,,,,,,,,,,,,,,42.59,,0.71,6.16,,0.83,,,,,,,,,,,,,,,,,,,,1.1,,2.01,,,
2008 Q3,,,0.07,,,,,,,,,,,,0.62,,,,,,0.44,,,,,,7.19,,,,,,,5.68,,,,0.02,,,,3.45,,,,,,10.91,2.56,,,,,8.35,,,,,,0.01,,,,,,,,,,,,,48.45,0.01,1.79,8.7,,,,,,,,,0.09,,,0.14,,,,,0.85,,,,,,,,0.36,,0.22
2008 Q2,,,0.07,,,,0.02,,,,,,,0.01,0.48,,,,,,0.2,,,,,,6.98,,,,,,,5.95,,,,0.02,,,,7.75,,,,,,10.76,2.99,,,,,9.71,,,,,,,,,,,0.01,,,,,,,,42.47,0.01,2.48,8.78,,,,,,,,,0.06,,,,,,,,0.84,,,,,,,,0.36,,
