,ABG,ACM,ADNT,ADT,AGCO,ALK,ARRS,ASH,ATI,AVT,AXE,AXL,AXLL,AYI,BDC,BGC,BHI,BW,BWXT,CAG,CAH,CAM,CBT,CCK,COMM,CPRI,CR,CSC,CSX,CTB,CW,CYT,DAN,DBD,DRC,DXC,EMN,ENR,FLEX,FLS,FMC,FTI,GDI,GEO,GPI,GPK,GRA,GT,HAR,HII,HPE,HPQ,HSC,HUN,IGT,IM,IP,IPGP,ITT,JOY,KEX,KFY,KLXI,KMT,KS,LEA,LEN,LSKD,MGA,MHK,MOS,MRC,MTW,MU,MWA,NAV,NCR,NOMD,NOV,NSC,NWSA,ODP,OI,OIS,OSK,PAY,RHI,RL,ROC,RRD,SCS,SEE,SJM,SPLS,SPR,SPXC,TAM,TECD,TEN,TEX,TGI,TIF,TKR,TSLA,TTM,TW-OLD,UNF,VC,VEC,WCC,WFT,WRK,XLS,ZTO
2015 Q3,,,,,,,,,,,1.15,1.18,,,,,,,,,,,,,,,1.05,,1.16,,,,,,,,,,0.42,,17.24,,,,,,,15.77,,0.91,,,,,,10.78,,,,,,,,,,1.32,,,1.11,,,,,,,,,,,1.18,,,21.14,,1.15,,,,,,,,,,,,,,,,15.03,,,,0.19,,,,,9.23,,,,
2015 Q2,,1.06,,,,0.0,,,,,1.14,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.07,,,,,,,15.47,,,,,,,,8.71,,,,,,,,,,0.98,,,0.98,,,,,,,,,,,,,,20.21,,,,,,,,,,,,,,,,,1.46,19.34,,,,,,,,,10.69,,,,
2015 Q1,,1.03,,,,1.41,,,,,0.85,1.22,,,,1.24,,,,,,,,,,,,,,,,0.97,,,,,,,,,16.37,,,,,,,7.74,,,,,1.22,,,4.06,,,,,,,,,,1.08,,,1.05,,,,,,,,,,,,,,22.02,10.47,,,,,,,,,,,,,,,,1.94,21.12,,0.97,,,,,,,5.24,,,,
2014 Q4,,,,,,1.21,,,,,,1.56,,,,1.69,17.91,,,,,1.1,,,,,,,,,,1.24,,,,,,,,,5.07,,,,,,,2.01,17.66,,,,1.06,,,,,,,,,,,0.89,,0.74,,,,,,,,,,,,,,,,,20.86,9.53,,,,,,,,,,,,,,,,1.5,15.98,,,,,,,,,,,,,
2014 Q3,,,,,,,,,,,,1.29,,,,1.74,14.43,,,,,13.28,,,,,,,,,,1.19,,,,,,,,,,,,,,,,1.86,14.37,,,,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.12,9.7,,,,,,1.1,,,,,,,1.19,,,2.07,16.28,,,,,,,,0.07,,,,1.11,
2014 Q2,,,,,,,,,,,,1.42,,,,1.58,13.33,,0.84,,,12.57,,,,,,,,,,1.3,,,,,,,,,,,,,,,,1.83,15.85,,,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.21,8.89,,,,,,0.77,,,,,,,1.09,,,0.95,15.92,,,,,,,,,,,,1.19,
2014 Q1,,,,,,,,,,,,0.7,,,,0.96,19.69,,,,,11.57,,,,,,,,,,1.21,,,,,,,,,,,,,,,,1.4,18.54,,,,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.32,16.37,,,,,,,,,,,,,0.83,,,,9.44,,,,,,,,,,,,,
2013 Q4,,,,,1.38,,,5.76,,,,,0.75,,,,20.5,,,,,12.31,,,,,,,,1.88,0.76,0.94,,,,,,,,,,,,,,,,1.71,16.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.02,,,,0.85,,18.6,15.2,,,,,,,,,,,,,0.87,,,,1.21,,,,,,,,,,,,,
2013 Q3,,,,,1.73,,,12.48,,,,,0.7,,,,19.59,,,,,1.42,,,,,,,,,1.43,,,,,,,,,,,,,,,,,1.75,14.36,,,,,,,,,,,,,,,,,,,,,,0.93,0.7,,,,,,,,,0.84,,17.97,18.4,,,,,6.83,,,,,,,,,,,,0.85,,,,,,,,,,,,,
2013 Q2,,,,,1.58,,,12.45,,,,,,,,,18.48,,,,1.02,,,1.11,,,,,,,1.51,,0.72,,1.44,,,,,,,,,,,,,1.45,10.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.04,13.81,,,,,13.12,,,,,,,,,,,1.42,,,,,,,,,,,,,,
2013 Q1,,,,,1.49,,,17.0,,,,,,,,,8.32,,,,1.76,,,1.59,,,,,,,1.0,,,,,,,11.98,,,,,,,,,,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.81,,,,21.34,14.01,,,,,15.53,,,,,,,,,,,,,,,,,0.52,,,,,2.27,,,
2012 Q4,,,,,,,,15.79,,,,,,,,,,,,,,,,1.84,,,1.16,,,,1.27,,,,,,,14.43,,,,,,,,,,,2.04,,,,,,,,,,,,,,,12.76,,,,,,,,,,,,,,,,,,,19.4,7.44,,,,,19.74,,,,,,,,,,,,,,,,,1.33,,,,,2.81,,,
2012 Q3,,,,,,,,11.79,,,,,,,,,,,,,,,,2.09,,,1.57,,,,0.58,,,,,,,15.1,,,,,,,,,,,2.33,,,,,,,,,,,15.31,,,,15.78,,,,,,,,,,,,,,,,,,,15.82,1.52,,,,,14.66,,,2.19,,,,,,,,,,,,,,,,,,,1.27,,,
2012 Q2,,1.54,,,,,,14.48,,,,,,,,,,,,,,,,2.26,,,1.55,,,,,,,,,,,14.21,,1.95,,,,,,,,,2.36,,,,,,,,,,,16.06,,,,13.4,,,,,,,,,0.8,,,,,,1.69,,,,14.52,1.69,,,,,11.14,,,2.37,,,,,,,,,,,,,,,,,,,,,,
2012 Q1,,1.11,,,,,,12.88,,,,,,,,,,,,,,,,2.28,,,1.66,,,,,,,,,,,15.03,,10.27,,,,1.1,,,,,2.13,,,,,,,,,,,16.41,,,,12.52,,,,,,,,,,,,,,,,,,,16.6,,,,,,6.08,,,1.92,,,,,,,,,,,,,,,,,,,,,,
