,ABT,BF.A,BF.B,BRK.A,BRK.B,BTI,BUD,CFRHF,CMCSA,CMCSK-OLD,DEO,GHC,GOOG,HAS,HKHHF,HRL,JCDXF,MA,MKL,MLHR,MLM,MO,NSRGY,PDRDF,PG,PM,SBMRY,SNI,UHR-D,UN,V,WFC,XOM
2014 Q3,,2.38,,9.91,3.2,2.58,5.34,5.6,,2.38,2.82,0.44,,,6.56,,,6.93,,,2.4,3.08,10.41,5.54,,8.06,6.07,0.94,,4.98,,7.15,
2014 Q2,,2.43,,8.91,2.85,2.64,5.37,6.82,,2.33,3.0,,,,6.3,,0.5,6.72,,,2.41,2.77,10.55,5.5,,7.97,6.17,0.96,,5.24,,7.12,
2014 Q1,,2.47,,9.26,2.91,2.61,5.13,6.49,,2.25,3.0,,,,6.5,,0.62,7.1,,,2.47,2.59,10.65,5.54,,8.07,5.57,1.01,,5.05,,7.07,
2013 Q4,,2.09,,8.94,2.72,2.53,5.22,6.85,,2.35,3.19,,,,6.38,,0.6,8.19,,,1.91,2.69,10.58,5.34,,8.6,5.62,1.2,,4.71,,6.53,
2013 Q3,,1.98,,8.96,2.73,2.8,5.11,7.24,,2.19,3.23,,,,6.7,,0.58,7.16,,,1.86,2.81,10.49,5.84,,8.84,5.77,1.16,,4.28,,6.1,
2013 Q2,,2.23,,9.62,2.92,2.82,4.83,7.0,,2.17,3.04,0.49,,,6.36,,,6.57,,,2.0,3.08,10.11,5.36,,9.29,5.64,1.09,,4.63,,6.52,
2013 Q1,,2.42,,8.84,2.67,2.91,5.04,6.75,,2.13,3.27,0.57,,,7.18,,,5.98,,,2.04,2.96,10.81,5.77,,9.58,6.09,1.06,,4.3,,5.49,
2012 Q4,,2.35,,8.51,2.57,3.08,4.8,7.51,,2.24,3.41,0.58,,,6.93,,,6.02,,,2.16,3.02,10.68,5.89,,9.2,5.91,1.12,,4.36,,5.48,
2012 Q3,,2.51,,8.72,2.59,3.18,4.82,6.15,,2.32,3.47,0.63,,,6.5,,,5.76,,,2.0,3.35,10.77,5.97,,10.17,5.82,1.28,,4.17,,5.4,
2012 Q2,,2.72,,8.53,2.45,3.53,4.6,5.68,,2.29,3.39,0.71,,,6.17,,,5.57,,,2.01,3.97,10.27,5.93,,11.09,5.61,1.29,,4.02,,5.24,
2012 Q1,,2.37,,8.22,2.26,3.53,4.16,6.34,,2.26,3.23,0.76,,,6.09,,,5.52,,,2.2,3.61,10.74,5.64,,11.52,5.61,1.18,,3.94,,5.31,
2011 Q4,,2.58,,8.35,2.33,3.73,3.67,6.03,,2.14,3.33,0.87,,,5.87,,,5.31,,,2.2,3.93,10.85,5.54,,11.93,5.53,1.24,,4.29,,4.68,
2011 Q3,,2.47,,8.62,2.28,3.74,3.41,5.89,,3.01,3.34,0.86,,,5.95,,,5.04,,,2.09,4.01,11.58,5.0,,10.78,5.72,1.27,,4.4,,4.4,
2011 Q2,,2.31,,8.15,2.18,3.4,3.14,7.35,,3.16,3.2,0.99,,,6.78,,,4.24,,,2.34,3.53,11.66,5.27,,10.25,5.56,1.5,,4.03,,4.28,
2011 Q1,,2.23,,8.94,2.43,3.25,2.96,6.85,,3.31,3.12,1.15,,,6.63,,,3.48,,,2.76,3.62,11.27,5.04,,10.52,5.52,1.74,,3.89,,4.36,
2010 Q4,0.79,4.15,,15.91,4.28,,4.76,,,5.82,1.33,2.26,,1.69,,,,5.1,0.42,0.57,5.28,6.32,,,0.48,17.32,,3.29,,7.07,,7.8,0.54
2010 Q3,0.94,3.93,,17.75,4.74,,3.55,,,5.44,1.38,2.26,,1.8,,0.52,,4.77,,0.56,4.7,6.63,,,0.52,17.71,,3.64,,6.68,,6.54,0.51
2010 Q2,0.95,4.11,,18.99,5.08,,1.41,,,6.59,1.42,3.1,,1.98,,0.55,,3.04,0.6,0.65,6.02,6.12,,,0.63,16.02,,4.13,,6.51,,6.57,
2010 Q1,1.0,4.17,,18.04,4.85,,,,,7.72,1.43,3.65,,1.76,,0.59,,1.14,0.63,0.6,6.25,6.31,,,0.73,16.43,,4.95,,6.08,,8.18,0.58
2009 Q4,0.99,4.19,,16.61,4.34,,,,,7.91,1.68,4.12,,1.7,,0.64,,1.14,0.69,0.62,7.65,6.54,,,0.83,15.58,,5.33,,6.08,,7.49,0.66
2009 Q3,1.45,3.85,,16.54,4.46,,,,,8.22,1.46,4.54,,1.51,,0.61,,0.85,0.72,0.7,8.07,5.9,,,0.81,15.51,,4.87,,5.1,,9.01,0.59
2009 Q2,1.26,3.94,,17.38,4.08,,,,,8.28,1.5,3.57,,1.51,,0.73,,0.74,0.84,0.73,7.97,6.7,,,0.76,16.09,,4.18,,4.89,,8.92,0.79
2009 Q1,0.91,3.95,0.52,19.14,4.52,,,,,8.6,1.36,4.22,,1.88,,0.79,,0.6,1.1,0.59,9.21,7.43,,,,14.36,,4.04,,4.3,,6.03,1.15
2008 Q4,1.07,4.09,1.67,17.26,4.12,,,,,8.72,1.42,3.96,,1.85,,0.65,,0.41,0.99,0.61,9.48,5.78,,,,14.24,,3.36,,4.46,,9.41,1.09
