Date,MPC
2013-04-23,40.775002
2013-04-24,41.310001
2013-04-25,40.810001
2013-04-26,40.674999
2013-04-29,41.205002
2013-04-30,39.18
2013-05-01,36.735001000000004
2013-05-02,37.900002
2013-05-03,39.049999
2013-05-06,40.169998
2013-05-07,40.720001
2013-05-08,39.305
2013-05-09,39.235001000000004
2013-05-10,38.689999
2013-05-13,38.224998
2013-05-14,38.924999
2013-05-15,39.689999
2013-05-16,39.259997999999996
2013-05-17,41.34
2013-05-20,42.299999
2013-05-21,41.439999
2013-05-22,41.224998
2013-05-23,41.18
2013-05-24,41.029999
2013-05-28,41.875
2013-05-29,41.855
2013-05-30,41.77
2013-05-31,41.25
2013-06-03,41.009997999999996
2013-06-04,40.314999
2013-06-05,39.965
2013-06-06,41.375
2013-06-07,41.814999
2013-06-10,41.205002
2013-06-11,39.93
2013-06-12,39.639998999999996
2013-06-13,40.395
2013-06-14,39.805
2013-06-17,39.5
2013-06-18,39.459998999999996
2013-06-19,39.154999
2013-06-20,36.895
2013-06-21,36.404999
2013-06-24,35.189999
2013-06-25,36.040001000000004
2013-06-26,36.215
2013-06-27,35.525002
2013-06-28,35.529999
2013-07-01,35.189999
2013-07-02,34.645
2013-07-03,35.365002000000004
2013-07-05,34.494999
2013-07-08,34.720001
2013-07-09,35.060001
2013-07-10,34.150002
2013-07-11,35.755001
2013-07-12,36.619999
2013-07-15,36.549999
2013-07-16,34.965
2013-07-17,34.875
2013-07-18,34.145
2013-07-19,34.799999
2013-07-22,34.919998
2013-07-23,35.884997999999996
2013-07-24,35.195
2013-07-25,36.025002
2013-07-26,35.955002
2013-07-29,36.115002000000004
2013-07-30,36.505001
2013-07-31,36.665001000000004
2013-08-01,37.544998
2013-08-02,35.965
2013-08-05,35.845001
2013-08-06,35.560001
2013-08-07,35.860001000000004
2013-08-08,36.244999
2013-08-09,36.619999
2013-08-12,36.525002
2013-08-13,37.470001
2013-08-14,36.845001
2013-08-15,35.334998999999996
2013-08-16,35.0
2013-08-19,34.525002
2013-08-20,35.494999
2013-08-21,35.924999
2013-08-22,37.43
2013-08-23,37.529999
2013-08-26,37.404999
2013-08-27,36.549999
2013-08-28,37.02
2013-08-29,36.814999
2013-08-30,36.255001
2013-09-03,36.720001
2013-09-04,36.830002
