Date,QCOM
1993-04-13,1.453125
1993-04-14,1.4375
1993-04-15,1.3671879999999998
1993-04-16,1.3046879999999998
1993-04-19,1.28125
1993-04-20,1.324219
1993-04-21,1.3828129999999998
1993-04-22,1.4375
1993-04-23,1.375
1993-04-26,1.3125
1993-04-27,1.3203129999999998
1993-04-28,1.3984379999999998
1993-04-29,1.386719
1993-04-30,1.421875
1993-05-03,1.40625
1993-05-04,1.34375
1993-05-05,1.355469
1993-05-06,1.3515629999999998
1993-05-07,1.3828129999999998
1993-05-10,1.4140629999999998
1993-05-11,1.484375
1993-05-12,1.484375
1993-05-13,1.4453129999999998
1993-05-14,1.34375
1993-05-17,1.390625
1993-05-18,1.40625
1993-05-19,1.453125
1993-05-20,1.40625
1993-05-21,1.3828129999999998
1993-05-24,1.4140629999999998
1993-05-25,1.4296879999999998
1993-05-26,1.472656
1993-05-27,1.4296879999999998
1993-05-28,1.4140629999999998
1993-06-01,1.363281
1993-06-02,1.421875
1993-06-03,1.46875
1993-06-04,1.480469
1993-06-07,1.457031
1993-06-08,1.453125
1993-06-09,1.4765629999999998
1993-06-10,1.484375
1993-06-11,1.5859379999999998
1993-06-14,1.726563
1993-06-15,1.78125
1993-06-16,1.65625
1993-06-17,1.726563
1993-06-18,1.679688
1993-06-21,1.609375
1993-06-22,1.648438
1993-06-23,1.65625
1993-06-24,1.734375
1993-06-25,1.726563
1993-06-28,1.765625
1993-06-29,1.75
1993-06-30,1.8125
1993-07-01,1.8710939999999998
1993-07-02,1.851563
1993-07-06,1.84375
1993-07-07,1.828125
1993-07-08,1.8789060000000002
1993-07-09,1.898438
1993-07-12,1.867188
1993-07-13,1.867188
1993-07-14,1.859375
1993-07-15,1.875
1993-07-16,1.875
1993-07-19,1.984375
1993-07-20,2.023438
1993-07-21,2.015625
1993-07-22,2.050781
1993-07-23,2.175781
1993-07-26,2.117188
1993-07-27,2.109375
1993-07-28,2.0625
1993-07-29,2.132813
1993-07-30,2.101563
1993-08-02,2.046875
1993-08-03,2.0625
1993-08-04,2.117188
1993-08-05,2.117188
1993-08-06,2.21875
1993-08-09,2.1875
1993-08-10,2.273438
1993-08-11,2.359375
1993-08-12,2.328125
1993-08-13,2.367188
1993-08-16,2.429688
1993-08-17,2.351563
1993-08-18,2.40625
1993-08-19,2.449219
1993-08-20,2.425781
1993-08-23,2.4375
1993-08-24,2.53125
1993-08-25,2.515625
1993-08-26,2.511719
1993-08-27,2.445313
1993-08-30,2.359375
1993-08-31,2.4375
1993-09-01,2.429688
1993-09-02,2.492188
1993-09-03,2.484375
1993-09-07,2.398438
1993-09-08,2.242188
1993-09-09,2.335938
1993-09-10,2.378906
1993-09-13,2.304688
1993-09-14,2.226563
1993-09-15,2.289063
1993-09-16,2.308594
1993-09-17,2.382813
1993-09-20,2.441406
1993-09-21,2.375
1993-09-22,2.457031
1993-09-23,2.507813
1993-09-24,2.570313
1993-09-27,2.535156
1993-09-28,2.625
1993-09-29,2.679688
1993-09-30,2.585938
1993-10-01,2.515625
1993-10-04,2.585938
1993-10-05,2.46875
1993-10-06,2.429688
1993-10-07,2.472656
1993-10-08,2.476563
1993-10-11,2.539063
1993-10-12,2.601563
1993-10-13,2.625
1993-10-14,2.671875
1993-10-15,2.671875
1993-10-18,2.695313
1993-10-19,2.5625
1993-10-20,2.523438
1993-10-21,2.460938
1993-10-22,2.4375
1993-10-25,2.304688
1993-10-26,2.28125
1993-10-27,2.429688
1993-10-28,2.386719
1993-10-29,2.390625
1993-11-01,2.492188
1993-11-02,2.460938
1993-11-03,2.300781
1993-11-04,2.179688
1993-11-05,2.179688
1993-11-08,2.273438
1993-11-09,2.34375
1993-11-10,2.382813
1993-11-11,2.324219
1993-11-12,2.296875
1993-11-15,2.179688
1993-11-16,2.0625
1993-11-17,1.953125
1993-11-18,1.726563
1993-11-19,1.695313
1993-11-22,1.75
1993-11-23,1.804688
1993-11-24,1.828125
1993-11-26,1.75
1993-11-29,1.609375
1993-11-30,1.648438
1993-12-01,1.7695310000000002
1993-12-02,1.828125
1993-12-03,1.851563
1993-12-06,1.820313
1993-12-07,1.765625
1993-12-08,1.726563
1993-12-09,1.65625
1993-12-10,1.65625
1993-12-13,1.7070310000000002
1993-12-14,1.671875
1993-12-15,1.710938
1993-12-16,1.703125
1993-12-17,1.75
1993-12-20,1.8085939999999998
1993-12-21,1.773438
1993-12-22,1.765625
1993-12-23,1.765625
1993-12-27,1.703125
1993-12-28,1.6445310000000002
1993-12-29,1.695313
1993-12-30,1.695313
1993-12-31,1.65625
1994-01-03,1.6601560000000002
1994-01-04,1.6914060000000002
1994-01-05,1.640625
1994-01-06,1.65625
1994-01-07,1.609375
1994-01-10,1.484375
1994-01-11,1.5234379999999998
1994-01-12,1.5078129999999998
1994-01-13,1.640625
1994-01-14,1.6914060000000002
1994-01-17,1.59375
1994-01-18,1.5390629999999998
1994-01-19,1.519531
1994-01-20,1.5390629999999998
1994-01-21,1.511719
1994-01-24,1.5
1994-01-25,1.5234379999999998
1994-01-26,1.5546879999999998
1994-01-27,1.5546879999999998
1994-01-28,1.546875
1994-01-31,1.5703129999999998
1994-02-01,1.546875
1994-02-02,1.5546879999999998
1994-02-03,1.5078129999999998
1994-02-04,1.4296879999999998
1994-02-07,1.449219
1994-02-08,1.46875
1994-02-09,1.453125
1994-02-10,1.421875
1994-02-11,1.4453129999999998
1994-02-14,1.453125
1994-02-15,1.394531
1994-02-16,1.375
1994-02-17,1.3125
1994-02-18,1.328125
1994-02-22,1.296875
1994-02-23,1.328125
1994-02-24,1.3046879999999998
