Date,VRSN
1999-10-25,54.65625
1999-10-26,57.8125
1999-10-27,57.25
1999-10-28,63.75
1999-10-29,61.75
1999-11-01,65.78125
1999-11-02,77.5
1999-11-03,80.46875
1999-11-04,78.65625
1999-11-05,80.765625
1999-11-08,86.5
1999-11-09,78.75
1999-11-10,76.125
1999-11-11,77.5
1999-11-12,84.0
1999-11-15,86.1875
1999-11-16,85.59375
1999-11-17,83.65625
1999-11-18,86.5
1999-11-19,85.03125
1999-11-22,92.375
1999-11-23,93.5
1999-11-24,95.5
1999-11-26,99.0
1999-11-29,98.3125
1999-11-30,92.90625
1999-12-01,91.5
1999-12-02,97.40625
1999-12-03,102.96875
1999-12-06,118.34375
1999-12-07,131.1875
1999-12-08,124.5
1999-12-09,125.875
1999-12-10,124.5
1999-12-13,119.375
1999-12-14,115.5
1999-12-15,112.375
1999-12-16,129.875
1999-12-17,130.9375
1999-12-20,150.125
1999-12-21,185.4375
1999-12-22,175.4375
1999-12-23,174.25
1999-12-27,167.75
1999-12-28,178.3125
1999-12-29,190.5
1999-12-30,182.4375
1999-12-31,190.9375
2000-01-03,190.125
2000-01-04,188.375
2000-01-05,178.0
2000-01-06,155.125
2000-01-07,169.828125
2000-01-10,181.75
2000-01-11,165.8125
2000-01-12,160.421875
2000-01-13,176.0
2000-01-14,183.4375
2000-01-18,196.875
2000-01-19,195.125
2000-01-20,209.0
2000-01-21,207.9375
2000-01-24,195.9375
2000-01-25,196.875
2000-01-26,189.8125
2000-01-27,175.015625
2000-01-28,164.46875
2000-01-31,161.375
2000-02-01,169.4375
2000-02-02,175.0625
2000-02-03,182.5
2000-02-04,188.9375
2000-02-07,182.5625
2000-02-08,189.4375
2000-02-09,194.8125
2000-02-10,219.75
2000-02-11,209.0
2000-02-14,201.5
2000-02-15,218.5
2000-02-16,220.734375
2000-02-17,223.015625
2000-02-18,237.125
2000-02-22,223.625
2000-02-23,242.625
2000-02-24,251.25
2000-02-25,239.875
2000-02-28,246.0625
2000-02-29,253.0
2000-03-01,251.125
2000-03-02,245.6875
2000-03-03,248.5
2000-03-06,247.4375
2000-03-07,200.0
2000-03-08,203.0
2000-03-09,240.75
2000-03-10,239.9375
2000-03-13,227.125
2000-03-14,217.625
2000-03-15,194.75
2000-03-16,200.25
2000-03-17,202.125
2000-03-20,185.1875
2000-03-21,178.078125
2000-03-22,182.0625
2000-03-23,175.5
2000-03-24,190.875
2000-03-27,189.25
2000-03-28,187.5
2000-03-29,169.25
2000-03-30,152.0
2000-03-31,149.5
2000-04-03,116.625
2000-04-04,120.0
2000-04-05,130.375
2000-04-06,155.265625
2000-04-07,176.5
2000-04-10,152.6875
2000-04-11,146.75
2000-04-12,133.125
2000-04-13,114.6875
2000-04-14,97.796875
2000-04-17,110.75
2000-04-18,139.5
2000-04-19,130.921875
2000-04-20,118.5
2000-04-24,99.375
2000-04-25,111.0
2000-04-26,107.03125
2000-04-27,126.296875
2000-04-28,139.375
2000-05-01,136.0
2000-05-02,126.5
2000-05-03,128.484375
2000-05-04,129.8125
2000-05-05,138.5
2000-05-08,132.0625
2000-05-09,129.8125
2000-05-10,121.0
2000-05-11,116.75
2000-05-12,117.25
2000-05-15,129.8125
2000-05-16,139.5625
2000-05-17,133.0625
2000-05-18,130.5
2000-05-19,125.0
2000-05-22,117.875
2000-05-23,108.0
2000-05-24,117.3125
2000-05-25,122.125
2000-05-26,120.859375
2000-05-30,135.0
2000-05-31,135.375
2000-06-01,154.5625
2000-06-02,182.375
2000-06-05,177.6875
2000-06-06,171.046875
2000-06-07,190.8125
2000-06-08,196.375
2000-06-09,196.0
2000-06-12,172.9375
2000-06-13,167.0625
2000-06-14,166.125
2000-06-15,172.4375
2000-06-16,164.5625
2000-06-19,173.5
2000-06-20,175.625
2000-06-21,167.875
2000-06-22,161.0
2000-06-23,149.25
2000-06-26,161.9375
2000-06-27,156.9375
2000-06-28,171.75
2000-06-29,175.5625
2000-06-30,176.5
2000-07-03,183.375
2000-07-05,166.5
2000-07-06,175.5
2000-07-07,172.875
2000-07-10,172.9375
2000-07-11,166.0
2000-07-12,177.6875
2000-07-13,192.875
2000-07-14,192.0
2000-07-17,187.0625
2000-07-18,179.125
2000-07-19,172.0
2000-07-20,186.5
2000-07-21,180.4375
2000-07-24,184.625
2000-07-25,181.875
2000-07-26,179.1875
2000-07-27,175.625
2000-07-28,160.75
2000-07-31,158.6875
2000-08-01,151.25
2000-08-02,143.4375
2000-08-03,162.1875
2000-08-04,162.0625
2000-08-07,154.3125
2000-08-08,148.0
2000-08-09,145.75
2000-08-10,142.5
2000-08-11,140.3125
2000-08-14,147.0
2000-08-15,154.1875
2000-08-16,155.125
2000-08-17,157.25
2000-08-18,159.75
2000-08-21,162.6875
2000-08-22,166.1875
2000-08-23,174.125
2000-08-24,178.4375
2000-08-25,176.375
2000-08-28,181.375
2000-08-29,187.5
2000-08-30,193.75
2000-08-31,198.875
2000-09-01,185.9375
2000-09-05,181.3125
2000-09-06,170.1875
2000-09-07,178.6875
2000-09-08,171.875
2000-09-11,171.75
2000-09-12,166.265625
2000-09-13,173.0
2000-09-14,175.6875
2000-09-15,180.5625
2000-09-18,179.859375
2000-09-19,188.1875
2000-09-20,194.0
2000-09-21,191.1875
2000-09-22,194.875
2000-09-25,192.1875
2000-09-26,186.5625
2000-09-27,194.4375
2000-09-28,208.375
2000-09-29,202.5625
2000-10-02,191.875
