Date,HOG
1987-09-30,0.765625
1987-10-01,0.7695310000000001
1987-10-02,0.7773439999999999
1987-10-05,0.7695310000000001
1987-10-06,0.757813
1987-10-07,0.7460939999999999
1987-10-08,0.726563
1987-10-09,0.7148439999999999
1987-10-12,0.695313
1987-10-13,0.7148439999999999
1987-10-14,0.7070310000000001
1987-10-15,0.6835939999999999
1987-10-16,0.625
1987-10-19,0.445313
1987-10-20,0.460938
1987-10-21,0.578125
1987-10-22,0.507813
1987-10-23,0.488281
1987-10-26,0.4375
1987-10-27,0.457031
1987-10-28,0.390625
1987-10-29,0.417969
1987-10-30,0.472656
1987-11-02,0.472656
1987-11-03,0.515625
1987-11-04,0.46875
1987-11-05,0.472656
1987-11-06,0.464844
1987-11-09,0.421875
1987-11-10,0.394531
1987-11-11,0.378906
1987-11-12,0.402344
1987-11-13,0.398438
1987-11-16,0.390625
1987-11-17,0.378906
1987-11-18,0.390625
1987-11-19,0.394531
1987-11-20,0.378906
1987-11-23,0.378906
1987-11-24,0.382813
1987-11-25,0.375
1987-11-27,0.367188
1987-11-30,0.34375
1987-12-01,0.335938
1987-12-02,0.335938
1987-12-03,0.320313
1987-12-04,0.308594
1987-12-07,0.300781
1987-12-08,0.328125
1987-12-09,0.371094
1987-12-10,0.386719
1987-12-11,0.382813
1987-12-14,0.375
1987-12-15,0.378906
1987-12-16,0.398438
1987-12-17,0.414063
1987-12-18,0.40625
1987-12-21,0.414063
1987-12-22,0.417969
1987-12-23,0.425781
1987-12-24,0.429688
1987-12-28,0.414063
1987-12-29,0.398438
1987-12-30,0.398438
1987-12-31,0.40625
1988-01-04,0.4375
1988-01-05,0.4375
1988-01-06,0.4375
1988-01-07,0.457031
1988-01-08,0.4375
1988-01-11,0.425781
1988-01-12,0.417969
1988-01-13,0.414063
1988-01-14,0.40625
1988-01-15,0.429688
1988-01-18,0.433594
1988-01-19,0.429688
1988-01-20,0.414063
1988-01-21,0.394531
1988-01-22,0.394531
1988-01-25,0.378906
1988-01-26,0.378906
1988-01-27,0.382813
1988-01-28,0.382813
1988-01-29,0.382813
1988-02-01,0.378906
1988-02-02,0.382813
1988-02-03,0.382813
1988-02-04,0.386719
1988-02-05,0.382813
1988-02-08,0.382813
1988-02-09,0.386719
1988-02-10,0.390625
1988-02-11,0.421875
1988-02-12,0.4375
1988-02-16,0.429688
1988-02-17,0.429688
1988-02-18,0.433594
1988-02-19,0.445313
1988-02-22,0.453125
1988-02-23,0.476563
1988-02-24,0.523438
1988-02-25,0.546875
1988-02-26,0.5429689999999999
1988-02-29,0.578125
1988-03-01,0.5898439999999999
1988-03-02,0.601563
1988-03-03,0.601563
1988-03-04,0.59375
1988-03-07,0.59375
1988-03-08,0.6132810000000001
1988-03-09,0.601563
1988-03-10,0.585938
1988-03-11,0.570313
1988-03-14,0.585938
1988-03-15,0.5742189999999999
1988-03-16,0.585938
1988-03-17,0.59375
1988-03-18,0.640625
1988-03-21,0.6757810000000001
1988-03-22,0.7304689999999999
1988-03-23,0.7460939999999999
1988-03-24,0.6835939999999999
1988-03-25,0.65625
1988-03-28,0.648438
1988-03-29,0.6757810000000001
1988-03-30,0.6757810000000001
1988-03-31,0.6835939999999999
1988-04-04,0.6835939999999999
1988-04-05,0.695313
1988-04-06,0.726563
1988-04-07,0.742188
1988-04-08,0.7304689999999999
1988-04-11,0.742188
1988-04-12,0.765625
1988-04-13,0.742188
1988-04-14,0.710938
1988-04-15,0.726563
1988-04-18,0.7304689999999999
1988-04-19,0.742188
1988-04-20,0.6992189999999999
1988-04-21,0.6992189999999999
1988-04-22,0.6992189999999999
1988-04-25,0.71875
1988-04-26,0.734375
1988-04-27,0.734375
1988-04-28,0.75
1988-04-29,0.75
1988-05-02,0.742188
1988-05-03,0.75
1988-05-04,0.742188
1988-05-05,0.7382810000000001
1988-05-06,0.7382810000000001
1988-05-09,0.734375
1988-05-10,0.7148439999999999
1988-05-11,0.6679689999999999
1988-05-12,0.6757810000000001
1988-05-13,0.6875
1988-05-16,0.679688
1988-05-17,0.679688
1988-05-18,0.679688
1988-05-19,0.6835939999999999
1988-05-20,0.679688
1988-05-23,0.6835939999999999
1988-05-24,0.679688
