Date,RE
1997-07-30,37.6875
1997-07-31,38.75
1997-08-01,39.5625
1997-08-04,40.125
1997-08-05,39.4375
1997-08-06,39.6875
1997-08-07,39.125
1997-08-08,38.0625
1997-08-11,37.5
1997-08-12,38.1875
1997-08-13,38.5
1997-08-14,38.375
1997-08-15,38.1875
1997-08-18,37.6875
1997-08-19,37.75
1997-08-20,37.625
1997-08-21,37.5625
1997-08-22,37.1875
1997-08-25,36.8125
1997-08-26,36.3125
1997-08-27,36.625
1997-08-28,36.5
1997-08-29,36.1875
1997-09-02,37.9375
1997-09-03,39.125
1997-09-04,39.0
1997-09-05,38.5
1997-09-08,38.1875
1997-09-09,38.1875
1997-09-10,37.9375
1997-09-11,37.625
1997-09-12,38.0
1997-09-15,37.5625
1997-09-16,37.9375
1997-09-17,38.875
1997-09-18,39.0625
1997-09-19,39.25
1997-09-22,39.0625
1997-09-23,39.125
1997-09-24,39.5
1997-09-25,39.375
1997-09-26,39.0
1997-09-29,39.375
1997-09-30,41.0
1997-10-01,42.25
1997-10-02,41.8125
1997-10-03,42.5
1997-10-06,41.875
1997-10-07,41.5
1997-10-08,40.9375
1997-10-09,41.0625
1997-10-10,42.25
1997-10-13,42.8125
1997-10-14,42.5
1997-10-15,42.375
1997-10-16,40.5
1997-10-17,40.0
1997-10-20,39.625
1997-10-21,39.625
1997-10-22,38.8125
1997-10-23,37.0
1997-10-24,37.3125
1997-10-27,33.0
1997-10-28,36.625
1997-10-29,37.5625
1997-10-30,37.6875
1997-10-31,37.625
1997-11-03,38.0
1997-11-04,39.625
1997-11-05,40.6875
1997-11-06,40.0625
1997-11-07,39.125
1997-11-10,39.375
1997-11-11,39.25
1997-11-12,38.0
1997-11-13,37.875
1997-11-14,39.4375
1997-11-17,39.6875
1997-11-18,39.5625
1997-11-19,39.0
1997-11-20,38.8125
1997-11-21,39.4375
1997-11-24,38.4375
1997-11-25,38.25
1997-11-26,37.6875
1997-11-28,37.9375
1997-12-01,38.5
1997-12-02,39.0
1997-12-03,39.5625
1997-12-04,41.125
1997-12-05,40.5
1997-12-08,40.9375
1997-12-09,40.625
1997-12-10,39.3125
1997-12-11,37.9375
1997-12-12,37.875
1997-12-15,37.5
1997-12-16,37.375
1997-12-17,38.0625
1997-12-18,37.75
1997-12-19,38.0
1997-12-22,39.0
1997-12-23,39.0
1997-12-24,38.25
1997-12-26,37.875
1997-12-29,40.25
1997-12-30,40.75
1997-12-31,41.25
1998-01-02,40.5
1998-01-05,40.625
1998-01-06,40.125
1998-01-07,38.875
1998-01-08,37.125
1998-01-09,36.5625
1998-01-12,37.375
1998-01-13,38.0
1998-01-14,38.0
1998-01-15,38.1875
1998-01-16,37.375
1998-01-20,37.1875
1998-01-21,37.3125
1998-01-22,37.4375
1998-01-23,36.875
1998-01-26,35.5
1998-01-27,36.875
1998-01-28,38.25
1998-01-29,37.375
1998-01-30,37.875
1998-02-02,39.375
1998-02-03,38.4375
1998-02-04,37.9375
1998-02-05,37.5625
1998-02-06,37.375
1998-02-09,37.375
1998-02-10,37.875
1998-02-11,38.0
1998-02-12,38.0
1998-02-13,38.125
1998-02-17,38.0625
1998-02-18,38.25
1998-02-19,38.375
1998-02-20,38.1875
1998-02-23,37.75
1998-02-24,38.375
1998-02-25,37.8125
1998-02-26,37.75
1998-02-27,36.875
1998-03-02,36.9375
1998-03-03,36.9375
1998-03-04,36.75
1998-03-05,37.4375
1998-03-06,37.5625
1998-03-09,37.5
1998-03-10,37.5625
1998-03-11,37.6875
1998-03-12,37.8125
1998-03-13,37.875
1998-03-16,39.1875
1998-03-17,39.625
1998-03-18,40.3125
1998-03-19,40.3125
1998-03-20,40.4375
1998-03-23,40.8125
1998-03-24,40.875
1998-03-25,41.5625
1998-03-26,40.5
1998-03-27,40.25
1998-03-30,39.8125
1998-03-31,41.125
1998-04-01,42.1875
1998-04-02,42.75
1998-04-03,44.0625
1998-04-06,42.4375
1998-04-07,42.625
1998-04-08,43.5625
1998-04-09,44.6875
1998-04-13,44.25
1998-04-14,44.25
1998-04-15,44.625
1998-04-16,44.5
1998-04-17,44.3125
1998-04-20,44.125
1998-04-21,43.625
1998-04-22,43.4375
1998-04-23,43.125
1998-04-24,42.0
1998-04-27,40.75
1998-04-28,41.8125
1998-04-29,40.875
1998-04-30,41.25
1998-05-01,41.625
1998-05-04,40.625
1998-05-05,40.1875
1998-05-06,40.375
1998-05-07,40.1875
1998-05-08,39.3125
1998-05-11,39.4375
1998-05-12,39.25
1998-05-13,39.3125
1998-05-14,40.0
1998-05-15,39.875
1998-05-18,38.3125
1998-05-19,39.5625
1998-05-20,39.1875
1998-05-21,39.375
1998-05-22,39.8125
1998-05-26,38.625
1998-05-27,38.625
1998-05-28,38.9375
1998-05-29,38.875
1998-06-01,38.625
1998-06-02,38.4375
1998-06-03,38.6875
1998-06-04,39.3125
1998-06-05,40.375
1998-06-08,39.6875
1998-06-09,39.0625
1998-06-10,38.6875
1998-06-11,38.0
1998-06-12,37.625
1998-06-15,37.5625
1998-06-16,37.1875
1998-06-17,37.125
1998-06-18,36.5
1998-06-19,36.5
1998-06-22,38.0
1998-06-23,39.0
1998-06-24,37.8125
1998-06-25,38.5
1998-06-26,38.875
1998-06-29,38.75
1998-06-30,38.4375
1998-07-01,39.3125
1998-07-02,39.6875
1998-07-06,39.3125
1998-07-07,39.0
1998-07-08,38.5
1998-07-09,39.0625
1998-07-10,38.9375
1998-07-13,38.625
1998-07-14,37.5
1998-07-15,37.6875
1998-07-16,38.25
1998-07-17,38.1875
1998-07-20,38.4375
1998-07-21,38.0
1998-07-22,38.125
1998-07-23,37.75
1998-07-24,37.5
1998-07-27,37.4375
1998-07-28,37.875
1998-07-29,38.1875
1998-07-30,38.5625
1998-07-31,38.4375
1998-08-03,40.1875
1998-08-04,39.75
1998-08-05,38.625
1998-08-06,40.0
1998-08-07,40.75
1998-08-10,39.875
1998-08-11,38.3125
1998-08-12,40.5625
1998-08-13,39.75
1998-08-14,38.875
1998-08-17,41.5625
1998-08-18,41.75
1998-08-19,43.0
1998-08-20,43.4375
1998-08-21,42.9375
1998-08-24,41.0
1998-08-25,40.875
1998-08-26,39.5
1998-08-27,39.0
1998-08-28,37.5625
1998-08-31,35.0
1998-09-01,37.0
1998-09-02,37.125
1998-09-03,37.0
1998-09-04,36.4375
1998-09-08,38.1875
1998-09-09,38.125
1998-09-10,36.75
1998-09-11,36.875
1998-09-14,37.5625
1998-09-15,38.5
1998-09-16,37.625
1998-09-17,37.1875
1998-09-18,38.5625
1998-09-21,37.625
1998-09-22,37.625
1998-09-23,38.625
1998-09-24,37.4375
1998-09-25,37.6875
1998-09-28,36.9375
1998-09-29,37.0625
1998-09-30,37.25
1998-10-01,34.375
1998-10-02,35.25
1998-10-05,33.75
1998-10-06,32.25
1998-10-07,31.0
1998-10-08,29.4375
1998-10-09,30.5625
1998-10-12,32.125
1998-10-13,31.625
1998-10-14,31.5
1998-10-15,33.0625
1998-10-16,32.4375
1998-10-19,31.8125
1998-10-20,33.625
1998-10-21,34.5625
1998-10-22,34.875
1998-10-23,34.1875
1998-10-26,34.125
1998-10-27,33.0625
1998-10-28,31.5
1998-10-29,33.0
1998-10-30,34.4375
1998-11-02,35.5
1998-11-03,35.5
1998-11-04,36.6875
1998-11-05,35.5
1998-11-06,36.3125
1998-11-09,35.875
1998-11-10,35.0
1998-11-11,34.875
1998-11-12,34.4375
1998-11-13,33.625
1998-11-16,33.0625
1998-11-17,33.75
1998-11-18,35.6875
1998-11-19,37.0
1998-11-20,37.875
1998-11-23,36.75
1998-11-24,37.25
1998-11-25,37.0625
1998-11-27,37.375
1998-11-30,37.5625
1998-12-01,37.75
1998-12-02,37.0625
1998-12-03,35.875
1998-12-04,36.0
1998-12-07,36.8125
1998-12-08,36.6875
1998-12-09,36.0
1998-12-10,34.75
1998-12-11,33.9375
1998-12-14,33.5
1998-12-15,34.5625
1998-12-16,35.25
1998-12-17,34.875
1998-12-18,35.75
1998-12-21,35.375
1998-12-22,34.625
1998-12-23,36.0625
1998-12-24,35.875
1998-12-28,36.5
1998-12-29,36.25
1998-12-30,36.6875
1998-12-31,38.9375
1999-01-04,37.125
1999-01-05,37.375
1999-01-06,37.625
1999-01-07,37.625
1999-01-08,37.625
1999-01-11,38.0625
1999-01-12,38.125
1999-01-13,36.625
1999-01-14,35.75
1999-01-15,35.4375
1999-01-19,35.9375
1999-01-20,35.0625
1999-01-21,34.125
1999-01-22,33.625
1999-01-25,33.75
1999-01-26,33.5
1999-01-27,33.1875
1999-01-28,33.5
1999-01-29,33.625
1999-02-01,33.4375
1999-02-02,33.25
1999-02-03,32.375
1999-02-04,32.375
1999-02-05,32.1875
1999-02-08,32.4375
1999-02-09,31.1875
1999-02-10,30.5625
1999-02-11,31.0
1999-02-12,30.8125
1999-02-16,30.4375
1999-02-17,31.375
1999-02-18,32.0
1999-02-19,31.875
1999-02-22,32.125
1999-02-23,32.3125
1999-02-24,32.625
1999-02-25,33.1875
1999-02-26,33.1875
1999-03-01,33.375
1999-03-02,34.625
1999-03-03,34.1875
1999-03-04,34.0625
1999-03-05,34.9375
1999-03-08,35.375
1999-03-09,34.375
1999-03-10,34.25
1999-03-11,34.125
1999-03-12,34.625
1999-03-15,35.25
1999-03-16,35.5
1999-03-17,35.8125
1999-03-18,34.5
1999-03-19,33.6875
1999-03-22,32.4375
1999-03-23,30.9375
1999-03-24,31.5
1999-03-25,31.125
1999-03-26,30.625
1999-03-29,30.875
1999-03-30,30.875
1999-03-31,31.1875
1999-04-01,30.5
1999-04-05,30.5625
1999-04-06,30.625
1999-04-07,31.5
1999-04-08,31.3125
1999-04-09,31.4375
1999-04-12,31.75
1999-04-13,30.3125
1999-04-14,30.3125
1999-04-15,30.5625
1999-04-16,29.625
1999-04-19,30.625
1999-04-20,31.125
1999-04-21,32.1875
1999-04-22,32.125
1999-04-23,32.1875
1999-04-26,31.9375
1999-04-27,30.8125
1999-04-28,31.25
1999-04-29,30.4375
1999-04-30,30.3125
1999-05-03,31.1875
1999-05-04,30.75
1999-05-05,31.4375
1999-05-06,31.1875
1999-05-07,31.1875
1999-05-10,31.4375
1999-05-11,32.625
1999-05-12,34.1875
1999-05-13,34.125
1999-05-14,33.0
1999-05-17,32.375
1999-05-18,31.875
1999-05-19,33.0
1999-05-20,33.25
1999-05-21,33.625
1999-05-24,32.5
1999-05-25,32.875
1999-05-26,33.0
1999-05-27,32.25
1999-05-28,32.875
1999-06-01,31.8125
1999-06-02,31.625
1999-06-03,32.75
1999-06-04,32.5
1999-06-07,32.3125
1999-06-08,31.78125
1999-06-09,31.8125
1999-06-10,31.875
1999-06-11,31.75
1999-06-14,32.1875
1999-06-15,32.4375
1999-06-16,33.0625
1999-06-17,33.0625
1999-06-18,32.8125
1999-06-21,32.25
1999-06-22,32.4375
1999-06-23,31.4375
1999-06-24,31.0
1999-06-25,31.3125
1999-06-28,30.75
1999-06-29,32.875
1999-06-30,32.625
1999-07-01,33.25
1999-07-02,33.1875
1999-07-06,32.625
1999-07-07,32.625
1999-07-08,33.5
1999-07-09,32.0
1999-07-12,32.4375
1999-07-13,32.75
1999-07-14,32.5
1999-07-15,32.3125
1999-07-16,34.4375
1999-07-19,35.0
1999-07-20,34.6875
1999-07-21,34.875
1999-07-22,33.9375
1999-07-23,32.75
1999-07-26,33.0625
1999-07-27,33.9375
1999-07-28,33.0
1999-07-29,32.25
1999-07-30,31.25
1999-08-02,32.1875
1999-08-03,31.9375
1999-08-04,31.375
1999-08-05,30.5625
1999-08-06,30.5
1999-08-09,30.25
1999-08-10,30.0625
1999-08-11,30.4375
1999-08-12,30.1875
1999-08-13,30.0
1999-08-16,29.8125
1999-08-17,30.0
1999-08-18,29.9375
1999-08-19,29.6875
1999-08-20,29.3125
1999-08-23,29.5625
1999-08-24,29.0
1999-08-25,28.9375
1999-08-26,29.125
1999-08-27,28.5
1999-08-30,27.9375
1999-08-31,27.75
1999-09-01,27.8125
1999-09-02,28.0
1999-09-03,28.5
1999-09-07,28.5625
1999-09-08,28.4375
1999-09-09,28.25
1999-09-10,28.0625
1999-09-13,27.1875
1999-09-14,27.0
1999-09-15,26.9375
1999-09-16,27.125
1999-09-17,26.9375
1999-09-20,26.25
1999-09-21,25.4375
1999-09-22,24.625
1999-09-23,23.375
1999-09-24,23.5625
1999-09-27,23.75
1999-09-28,23.5625
1999-09-29,22.25
1999-09-30,23.8125
1999-10-01,23.25
1999-10-04,23.5
1999-10-05,23.1875
1999-10-06,22.5625
1999-10-07,22.5625
1999-10-08,23.0
1999-10-11,23.1875
1999-10-12,22.9375
1999-10-13,22.25
1999-10-14,21.6875
1999-10-15,21.5
1999-10-18,20.8125
1999-10-19,21.75
1999-10-20,21.625
1999-10-21,22.375
1999-10-22,23.5
1999-10-25,24.5
1999-10-26,24.375
1999-10-27,24.4375
1999-10-28,25.6875
1999-10-29,25.75
1999-11-01,25.3125
1999-11-02,25.0
1999-11-03,24.9375
1999-11-04,25.3125
1999-11-05,27.0625
1999-11-08,26.0625
1999-11-09,25.5625
1999-11-10,25.375
1999-11-11,24.625
1999-11-12,25.0
1999-11-15,24.9375
1999-11-16,25.8125
1999-11-17,25.0625
1999-11-18,24.375
1999-11-19,24.5625
1999-11-22,24.125
1999-11-23,24.0
1999-11-24,23.3125
1999-11-26,23.1875
1999-11-29,23.6875
1999-11-30,23.75
1999-12-01,24.125
1999-12-02,24.125
1999-12-03,23.75
1999-12-06,23.8125
1999-12-07,24.0
1999-12-08,23.4375
1999-12-09,22.625
1999-12-10,23.25
1999-12-13,23.4375
1999-12-14,22.9375
1999-12-15,23.25
1999-12-16,22.75
1999-12-17,22.75
1999-12-20,22.5625
1999-12-21,23.0
1999-12-22,22.8125
1999-12-23,22.5625
1999-12-27,22.4375
1999-12-28,22.875
1999-12-29,22.5
1999-12-30,22.0625
1999-12-31,22.3125
2000-01-03,21.875
2000-01-04,21.8125
2000-01-05,23.25
2000-01-06,24.3125
2000-01-07,25.625
2000-01-10,25.5
2000-01-11,25.5625
2000-01-12,25.625
2000-01-13,25.75
2000-01-14,26.4375
2000-01-18,26.4375
2000-01-19,26.0625
2000-01-20,26.0625
2000-01-21,26.5625
2000-01-24,25.4375
2000-01-25,25.1875
2000-01-26,24.75
2000-01-27,25.25
2000-01-28,25.125
2000-01-31,25.1875
2000-02-01,25.3125
2000-02-02,25.0
2000-02-03,24.8125
2000-02-04,24.9375
2000-02-07,25.0
2000-02-08,25.0625
2000-02-09,25.0625
2000-02-10,23.375
2000-02-11,22.375
2000-02-14,22.0
2000-02-15,22.4375
2000-02-16,24.0
2000-02-17,27.0
2000-02-18,26.125
2000-02-22,25.0
2000-02-23,25.875
2000-02-24,24.0
2000-02-25,23.3125
2000-02-28,24.4375
2000-02-29,24.5625
2000-03-01,25.375
2000-03-02,25.0
2000-03-03,26.5625
2000-03-06,25.875
2000-03-07,25.6875
2000-03-08,24.375
2000-03-09,24.6875
2000-03-10,23.875
2000-03-13,24.9375
2000-03-14,25.125
2000-03-15,26.5
2000-03-16,29.125
2000-03-17,27.625
2000-03-20,28.0
2000-03-21,28.25
2000-03-22,27.9375
2000-03-23,29.125
2000-03-24,29.25
2000-03-27,28.125
2000-03-28,28.8125
2000-03-29,29.375
2000-03-30,30.25
2000-03-31,32.625
2000-04-03,31.25
2000-04-04,30.75
2000-04-05,30.6875
2000-04-06,30.25
2000-04-07,30.125
2000-04-10,29.8125
2000-04-11,29.5
2000-04-12,29.4375
2000-04-13,29.625
2000-04-14,27.75
2000-04-17,28.4375
2000-04-18,29.0
2000-04-19,29.375
2000-04-20,29.0625
2000-04-24,30.6875
2000-04-25,30.125
2000-04-26,29.4375
2000-04-27,29.0
2000-04-28,29.25
2000-05-01,30.875
2000-05-02,29.75
2000-05-03,29.375
2000-05-04,31.1875
2000-05-05,32.0625
2000-05-08,31.875
2000-05-09,31.25
2000-05-10,31.0
2000-05-11,30.8125
2000-05-12,31.1875
2000-05-15,33.0
2000-05-16,35.0
2000-05-17,34.25
2000-05-18,33.5
2000-05-19,34.0625
2000-05-22,34.4375
2000-05-23,34.125
2000-05-24,34.9375
2000-05-25,33.75
2000-05-26,33.8125
2000-05-30,35.0
2000-05-31,34.0
2000-06-01,33.6875
2000-06-02,35.3125
2000-06-05,34.75
2000-06-06,32.9375
2000-06-07,33.375
2000-06-08,33.5
2000-06-09,33.5625
2000-06-12,33.875
2000-06-13,34.0
2000-06-14,33.25
2000-06-15,33.0
2000-06-16,32.875
2000-06-19,35.625
2000-06-20,34.9375
2000-06-21,33.3125
2000-06-22,32.1875
2000-06-23,31.9375
2000-06-26,32.25
2000-06-27,33.1875
2000-06-28,33.4375
2000-06-29,33.6875
2000-06-30,32.875
2000-07-03,32.625
2000-07-05,33.375
2000-07-06,33.0625
2000-07-07,34.5
2000-07-10,35.375
2000-07-11,34.875
2000-07-12,37.25
2000-07-13,37.1875
2000-07-14,37.25
2000-07-17,37.25
2000-07-18,35.9375
2000-07-19,35.4375
2000-07-20,36.4375
2000-07-21,35.8125
2000-07-24,35.625
2000-07-25,36.5625
2000-07-26,39.1875
2000-07-27,39.0
2000-07-28,39.375
2000-07-31,39.6875
2000-08-01,40.125
2000-08-02,40.3125
2000-08-03,40.0
2000-08-04,42.25
2000-08-07,43.1875
2000-08-08,43.9375
2000-08-09,43.125
2000-08-10,41.875
2000-08-11,42.6875
2000-08-14,43.5
2000-08-15,42.0
2000-08-16,40.375
2000-08-17,40.9375
2000-08-18,40.75
2000-08-21,40.375
2000-08-22,40.0625
2000-08-23,40.0
2000-08-24,40.375
2000-08-25,39.875
2000-08-28,40.125
2000-08-29,41.0
