Date,ZBRA
1993-03-04,5.222222
1993-03-05,4.944445
1993-03-08,4.888889
1993-03-09,5.055555
1993-03-10,5.055555
1993-03-11,5.111111
1993-03-12,5.0
1993-03-15,5.027778
1993-03-16,4.972222
1993-03-17,4.944445
1993-03-18,4.944445
1993-03-19,5.0
1993-03-22,5.055555
1993-03-23,5.1666669999999995
1993-03-24,5.277778
1993-03-25,5.3333330000000005
1993-03-26,5.222222
1993-03-29,5.5
1993-03-30,5.611111
1993-03-31,5.777778
1993-04-01,5.888889
1993-04-02,5.888889
1993-04-05,6.111111
1993-04-06,6.1666669999999995
1993-04-07,6.0
1993-04-08,6.055555
1993-04-12,6.055555
1993-04-13,6.111111
1993-04-14,6.444445
1993-04-15,6.388889
1993-04-16,6.555555
1993-04-19,6.6666669999999995
1993-04-20,6.722222
1993-04-21,6.611111
1993-04-22,6.6666669999999995
1993-04-23,6.611111
1993-04-26,6.472222
1993-04-27,6.444445
1993-04-28,6.4166669999999995
1993-04-29,6.444445
1993-04-30,6.722222
1993-05-03,6.888889
1993-05-04,7.3333330000000005
1993-05-05,7.555555
1993-05-06,7.6666669999999995
1993-05-07,7.3333330000000005
1993-05-10,7.3333330000000005
1993-05-11,7.3333330000000005
1993-05-12,7.361111
1993-05-13,7.1666669999999995
1993-05-14,7.1666669999999995
1993-05-17,7.444445
1993-05-18,8.0
1993-05-19,8.277778
1993-05-20,8.222222
1993-05-21,8.277778
1993-05-24,8.277778
1993-05-25,8.111111
1993-05-26,8.055555
1993-05-27,8.055555
1993-05-28,8.111111
1993-06-01,8.277778
1993-06-02,8.166667
1993-06-03,8.166667
1993-06-04,8.055555
1993-06-07,8.222222
1993-06-08,8.277778
1993-06-09,8.222222
1993-06-10,8.111111
1993-06-11,8.111111
1993-06-14,8.111111
1993-06-15,8.166667
1993-06-16,8.166667
1993-06-17,8.222222
1993-06-18,8.277778
1993-06-21,8.277778
1993-06-22,8.666667
1993-06-23,8.722222
1993-06-24,8.722222
1993-06-25,8.861111
1993-06-28,8.777778
1993-06-29,8.666667
1993-06-30,9.111111
1993-07-01,9.111111
1993-07-02,9.111111
1993-07-06,9.277778
1993-07-07,9.277778
1993-07-08,9.222222
1993-07-09,9.222222
1993-07-12,8.944445
1993-07-13,8.611111
1993-07-14,8.611111
1993-07-15,8.611111
1993-07-16,8.0
1993-07-19,7.555555
1993-07-20,8.083333
1993-07-21,8.222222
1993-07-22,8.416667
1993-07-23,8.166667
1993-07-26,8.166667
1993-07-27,7.888889
1993-07-28,7.944445
1993-07-29,7.722222
1993-07-30,7.611111
1993-08-02,7.944445
1993-08-03,7.9166669999999995
1993-08-04,8.277778
1993-08-05,8.555555
1993-08-06,8.333333
1993-08-09,8.555555
1993-08-10,8.666667
1993-08-11,8.666667
1993-08-12,8.611111
1993-08-13,8.611111
1993-08-16,8.722222
1993-08-17,9.333333
1993-08-18,9.777778
1993-08-19,9.5
1993-08-20,9.055555
1993-08-23,8.888889
1993-08-24,9.0
1993-08-25,9.111111
1993-08-26,8.944445
1993-08-27,8.611111
1993-08-30,8.833333
1993-08-31,8.611111
1993-09-01,9.055555
1993-09-02,9.333333
1993-09-03,9.0
1993-09-07,8.888889
1993-09-08,8.611111
1993-09-09,8.722222
1993-09-10,9.166667
1993-09-13,9.5
1993-09-14,9.222222
1993-09-15,9.277778
1993-09-16,9.555555
1993-09-17,9.361111
1993-09-20,9.0
1993-09-21,8.666667
1993-09-22,8.916667
1993-09-23,8.777778
1993-09-24,9.388889
1993-09-27,9.388889
1993-09-28,9.222222
1993-09-29,9.5
1993-09-30,9.888889
1993-10-01,10.0
1993-10-04,9.888889
1993-10-05,10.666667
1993-10-06,10.833333
1993-10-07,10.555555
1993-10-08,10.444445
1993-10-11,10.444445
1993-10-12,10.388889
1993-10-13,10.75
1993-10-14,10.722222
1993-10-15,10.944445
1993-10-18,10.888889
1993-10-19,10.888889
1993-10-20,11.333333
1993-10-21,11.111111
1993-10-22,11.444445
1993-10-25,11.444445
1993-10-26,11.055555
1993-10-27,11.166667
1993-10-28,11.527778
1993-10-29,11.5
