Date,MA
2010-07-01,20.27
2010-07-02,20.277
2010-07-06,20.003
2010-07-07,20.757
2010-07-08,20.966998999999998
2010-07-09,21.552
2010-07-12,21.367001000000002
2010-07-13,21.462999
2010-07-14,21.316999
2010-07-15,21.181
2010-07-16,19.722
2010-07-19,19.583
2010-07-20,20.530001000000002
2010-07-21,20.15
2010-07-22,20.84
2010-07-23,21.294001
2010-07-26,21.283001000000002
2010-07-27,21.423
2010-07-28,21.009001
2010-07-29,20.837
2010-07-30,21.004
2010-08-02,20.252001
2010-08-03,20.091
2010-08-04,20.530001000000002
2010-08-05,20.163
2010-08-06,20.742001000000002
2010-08-09,21.489
2010-08-10,21.635
2010-08-11,20.966
2010-08-12,21.183001
2010-08-13,21.063999
2010-08-16,21.044001
2010-08-17,21.403
2010-08-18,21.285999
2010-08-19,20.889
2010-08-20,20.636999
2010-08-23,20.518998999999997
2010-08-24,20.250999
2010-08-25,20.611
2010-08-26,20.316999
2010-08-27,20.662001
2010-08-30,20.27
2010-08-31,19.836
2010-09-01,20.108
2010-09-02,20.473
2010-09-03,20.698
2010-09-07,20.052
2010-09-08,19.440001000000002
2010-09-09,19.198
2010-09-10,19.813999
2010-09-13,19.302999
2010-09-14,19.975
2010-09-15,21.018
2010-09-16,21.028999
2010-09-17,21.367001000000002
2010-09-20,21.871
2010-09-21,21.698999
2010-09-22,21.903
2010-09-23,21.943001000000002
2010-09-24,22.157
2010-09-27,22.237
2010-09-28,22.299999
2010-09-29,22.263
2010-09-30,22.4
2010-10-01,22.478001000000003
2010-10-04,22.264
2010-10-05,22.59
2010-10-06,22.33
2010-10-07,22.086
2010-10-08,22.259001
2010-10-11,22.285999
2010-10-12,22.212999
2010-10-13,23.089001
2010-10-14,23.266001
2010-10-15,23.370001000000002
2010-10-18,23.545
2010-10-19,23.705
2010-10-20,24.052
2010-10-21,24.319
2010-10-22,24.264
2010-10-25,24.514999
2010-10-26,24.351999
2010-10-27,24.576
2010-10-28,23.952
2010-10-29,24.006001
2010-11-01,23.899
2010-11-02,24.598
2010-11-03,25.183001
2010-11-04,25.489
2010-11-05,25.629
2010-11-08,25.275999
2010-11-09,25.152
2010-11-10,25.357
2010-11-11,25.207001
2010-11-12,24.316999
2010-11-15,24.292999
2010-11-16,23.306
2010-11-17,23.457001
2010-11-18,24.249001
2010-11-19,24.388
2010-11-22,24.341
2010-11-23,23.565001000000002
2010-11-24,23.778999
2010-11-26,23.514999
2010-11-29,23.556
2010-11-30,23.702999
2010-12-01,24.819
2010-12-02,24.919001
2010-12-03,24.908001000000002
2010-12-06,25.316
2010-12-07,24.677999
2010-12-08,25.063999
2010-12-09,25.122
2010-12-10,25.476
2010-12-13,25.934998999999998
2010-12-14,25.412001
2010-12-15,24.922001
2010-12-16,22.349001
2010-12-17,22.125999
2010-12-20,22.354
2010-12-21,21.978001000000003
2010-12-22,21.74
2010-12-23,21.83
2010-12-27,22.465
2010-12-28,22.452
2010-12-29,22.546
2010-12-30,22.372
2010-12-31,22.410999
2011-01-03,22.084999
2011-01-04,22.370001000000002
2011-01-05,23.028999
2011-01-06,23.112
2011-01-07,23.108999
2011-01-10,23.02
2011-01-11,22.940001000000002
2011-01-12,23.283001000000002
2011-01-13,23.351
2011-01-14,23.691
2011-01-18,23.763
2011-01-19,23.535999
2011-01-20,23.51
2011-01-21,23.353001000000003
2011-01-24,23.9
2011-01-25,24.153999
2011-01-26,24.018
2011-01-27,23.910999
2011-01-28,23.487
2011-01-31,23.650999
2011-02-01,23.815001000000002
2011-02-02,23.938999
2011-02-03,24.539
2011-02-04,24.724001
2011-02-07,24.997999
2011-02-08,24.961
2011-02-09,24.85
2011-02-10,25.212999
2011-02-11,25.349001
2011-02-14,25.496
2011-02-15,25.610001
2011-02-16,25.438
2011-02-17,25.181998999999998
2011-02-18,25.073999
2011-02-22,24.738001
2011-02-23,24.412001
2011-02-24,24.417999
2011-02-25,24.671
2011-02-28,24.056
2011-03-01,24.035999
2011-03-02,24.618
2011-03-03,25.165001
2011-03-04,24.975
2011-03-07,24.726999
2011-03-08,24.9
2011-03-09,24.798
2011-03-10,24.356001000000003
2011-03-11,24.841998999999998
2011-03-14,24.884001
2011-03-15,24.465
