Date,EA
1991-02-19,1.0390629999999998
1991-02-20,1.0390629999999998
1991-02-21,1.0390629999999998
1991-02-22,1.046875
1991-02-25,1.0546879999999998
1991-02-26,1.0
1991-02-27,0.960938
1991-02-28,0.96875
1991-03-01,0.984375
1991-03-04,1.0
1991-03-05,1.125
1991-03-06,1.078125
1991-03-07,1.09375
1991-03-08,1.1328129999999998
1991-03-11,1.0703129999999998
1991-03-12,1.03125
1991-03-13,1.109375
1991-03-14,1.171875
1991-03-15,1.15625
1991-03-18,1.125
1991-03-19,1.109375
1991-03-20,1.1171879999999998
1991-03-21,1.1171879999999998
1991-03-22,1.1171879999999998
1991-03-25,1.15625
1991-03-26,1.15625
1991-03-27,1.15625
1991-03-28,1.1796879999999998
1991-04-01,1.109375
1991-04-02,1.125
1991-04-03,1.1328129999999998
1991-04-04,1.2265629999999998
1991-04-05,1.21875
1991-04-08,1.2265629999999998
1991-04-09,1.2265629999999998
1991-04-10,1.21875
1991-04-11,1.2265629999999998
1991-04-12,1.2578129999999998
1991-04-15,1.25
1991-04-16,1.3125
1991-04-17,1.3828129999999998
1991-04-18,1.4375
1991-04-19,1.390625
1991-04-22,1.2890629999999998
1991-04-23,1.3046879999999998
1991-04-24,1.3515629999999998
1991-04-25,1.3359379999999998
1991-04-26,1.3515629999999998
1991-04-29,1.3515629999999998
1991-04-30,1.265625
1991-05-01,1.28125
1991-05-02,1.3828129999999998
1991-05-03,1.390625
1991-05-06,1.3984379999999998
1991-05-07,1.40625
1991-05-08,1.4375
1991-05-09,1.46875
1991-05-10,1.453125
1991-05-13,1.4296879999999998
1991-05-14,1.390625
1991-05-15,1.34375
1991-05-16,1.3515629999999998
1991-05-17,1.3125
1991-05-20,1.2890629999999998
1991-05-21,1.3046879999999998
1991-05-22,1.3203129999999998
1991-05-23,1.296875
1991-05-24,1.328125
1991-05-28,1.359375
1991-05-29,1.3984379999999998
1991-05-30,1.4296879999999998
1991-05-31,1.3671879999999998
1991-06-03,1.3046879999999998
1991-06-04,1.28125
1991-06-05,1.296875
1991-06-06,1.2890629999999998
1991-06-07,1.3046879999999998
