Date,BRK-B
1997-09-12,28.42
1997-09-15,28.5
1997-09-16,29.48
1997-09-17,29.540001
1997-09-18,29.52
1997-09-19,29.5
1997-09-22,29.6
1997-09-23,29.959999
1997-09-24,30.0
1997-09-25,29.860001
1997-09-26,29.860001
1997-09-29,29.9
1997-09-30,29.9
1997-10-01,29.92
1997-10-02,30.5
1997-10-03,30.6
1997-10-06,30.879998999999998
1997-10-07,30.780001000000002
1997-10-08,30.48
1997-10-09,30.24
1997-10-10,29.84
1997-10-13,29.700001
1997-10-14,30.040001
1997-10-15,30.02
1997-10-16,29.98
1997-10-17,29.68
1997-10-20,29.700001
1997-10-21,30.02
1997-10-22,29.92
1997-10-23,29.6
1997-10-24,29.719998999999998
1997-10-27,28.860001
1997-10-28,29.860001
1997-10-29,29.700001
1997-10-30,29.5
1997-10-31,29.379998999999998
1997-11-03,29.639999
1997-11-04,29.540001
1997-11-05,29.4
1997-11-06,29.4
1997-11-07,29.219998999999998
1997-11-10,29.34
1997-11-11,29.24
1997-11-12,29.08
1997-11-13,29.280001000000002
1997-11-14,29.700001
1997-11-17,30.4
1997-11-18,30.4
1997-11-19,30.540001
1997-11-20,30.719998999999998
1997-11-21,29.860001
1997-11-24,29.76
1997-11-25,29.780001000000002
1997-11-26,29.700001
1997-11-28,30.16
1997-12-01,30.4
1997-12-02,30.559998999999998
1997-12-03,30.379998999999998
1997-12-04,30.6
1997-12-05,30.799999
1997-12-08,30.799999
1997-12-09,30.5
1997-12-10,30.24
1997-12-11,30.16
1997-12-12,30.200001
1997-12-15,30.700001
1997-12-16,30.799999
1997-12-17,30.879998999999998
1997-12-18,30.74
1997-12-19,30.84
1997-12-22,30.58
1997-12-23,30.52
1997-12-24,30.559998999999998
1997-12-26,30.6
1997-12-29,30.74
1997-12-30,30.780001000000002
1997-12-31,30.780001000000002
1998-01-02,30.58
1998-01-05,31.1
1998-01-06,31.18
1998-01-07,31.459999
1998-01-08,31.799999
1998-01-09,31.440001000000002
1998-01-12,31.24
1998-01-13,31.440001000000002
1998-01-14,31.379998999999998
1998-01-15,31.440001000000002
1998-01-16,31.74
1998-01-20,32.639998999999996
1998-01-21,33.360001000000004
1998-01-22,33.0
1998-01-23,32.939999
1998-01-26,32.880001
1998-01-27,33.279999
1998-01-28,33.400002
1998-01-29,33.740002000000004
1998-01-30,33.540001000000004
1998-02-02,34.599998
1998-02-03,35.200001
1998-02-04,35.16
1998-02-05,35.66
1998-02-06,35.580002
1998-02-09,35.720001
1998-02-10,35.740002000000004
1998-02-11,36.060001
1998-02-12,35.880001
1998-02-13,36.080002
1998-02-17,36.68
1998-02-18,36.639998999999996
1998-02-19,36.599998
1998-02-20,36.66
1998-02-23,37.099998
1998-02-24,36.5
1998-02-25,36.919998
1998-02-26,36.959998999999996
1998-02-27,37.200001
1998-03-02,37.639998999999996
1998-03-03,38.099998
1998-03-04,38.48
1998-03-05,38.599998
1998-03-06,39.400002
1998-03-09,39.220001
1998-03-10,39.959998999999996
1998-03-11,41.439999
1998-03-12,40.82
1998-03-13,39.700001
1998-03-16,41.0
1998-03-17,42.18
1998-03-18,43.200001
1998-03-19,45.099998
1998-03-20,46.080002
1998-03-23,44.900002
1998-03-24,43.66
1998-03-25,44.119999
1998-03-26,44.68
1998-03-27,44.900002
1998-03-30,44.200001
1998-03-31,44.900002
1998-04-01,44.799999
1998-04-02,44.900002
1998-04-03,45.18
1998-04-06,45.759997999999996
1998-04-07,45.84
