Period,Portfolio Value,Stock 1,Stock 2,Stock 3,Stock 4,Stock 5,Stock 6,Stock 7,Stock 8,Stock 9,Stock 10,Stock 11,Stock 12,Stock 13,,,,,,,
2014   Q2,$12.6 B,AGN,APD,CP,BKW-OLD,PAH,HHC,,,,,,,,,,,,,,
2014   Q1,$8.38 B,CP,APD,BKW-OLD,BEAM,PAH,HHC,AIV,AGN,HME,,,,,,,,,,,
2013   Q4,$8.23 B,CP,APD,BEAM,BKW-OLD,GGP,HHC,PG,,,,,,,,,,,,,
2013   Q3,$8.39 B,CP,APD,BEAM,BKW-OLD,GGP,HHC,PG,,,,,,,,,,,,,
2013   Q2,$9.03 B,CP,GGP,BEAM,APD,BKW-OLD,PG,JCP,HHC,MATX,,,,,,,,,,,
2013   Q1,$9.99 B,CP,PG,GGP,BEAM,BKW-OLD,JCP,HHC,MDLZ,MATX,,,,,,,,,,,
2012   Q4,$9.01 B,CP,PG,GGP,BEAM,JCP,BKW-OLD,HHC,MDLZ,MATX,,,,,,,,,,,
2012   Q3,$8.45 B,CP,PG,GGP,BEAM,JCP,BKW-OLD,HHC,MATX,ALEX,,,,,,,,,,,
2012   Q2,$7.08 B,CP,PG,GGP,BEAM,JCP,HHC,ALEX,C,,,,,,,,,,,,
2012   Q1,$8.07 B,CP,JCP,GGP,BEAM,C,MDLZ,FBHS,HHC,ALEX,FDO,,,,,,,,,,
2011   Q4,$7.77 B,CP,JCP,GGP,BEAM,MDLZ,C,FDO,FBHS,HHC,ALEX,,,,,,,,,,
2011   Q3,$6.02 B,FO,JCP,GGP,MDLZ,C,FDO,LOW,CP,HHC,ALEX,,,,,,,,,,
2011   Q2,$6.39 B,JCP,GGP,FO,C,MDLZ,FDO,HHC,ALEX,GLRE,,,,,,,,,,,
2011   Q1,$5.57 B,JCP,GGP,FO,MDLZ,C,FDO,HHC,ALEX,CXW,GLRE,,,,,,,,,,
2010   Q4,$5.71 B,JCP,GGP,FO,C,MDLZ,TGT,GM,CXW,HHC,ADP,BGP,GLRE,ALEX,,,,,,,
2010   Q3,$4.04 B,MDLZ,TGT,C,JCP,GGP,FO,ADP,CXW,LNY,BGP,GLRE,,,,,,,,,
2010   Q2,$3.5 B,TGT,MDLZ,C,ADP,GGP,CXW,YUM,LNY,BGP,GLRE,,,,,,,,,,
2010   Q1,$3.32 B,TGT,MDLZ,YUM,GGP,CXW,LNY,BGP,GLRE,,,,,,,,,,,,
2009   Q4,$1.9 B,TGT,YUM,CXW,H,LNY,BGP,GLRE,ADP,,,,,,,,,,,,
2009   Q3,$3.13 B,TGT,EMC,MCD,ADP,CXW,BGP,GLRE,,,,,,,,,,,,,
2009   Q2,$2.19 B,TGT,EMC,ADP,MCD,BGP,GLRE,,,,,,,,,,,,,,
2009   Q1,$1.93 B,TGT,EMC,WEN,V,AIV,YUM,GGP,BGP,GLRE,SKS,ALX,,,,,,,,,
2008   Q4,$2.38 B,TGT,EMC,V,WEN,DPS,GGP,SHLDQ,SKS,AIV,BGP,GLRE,ALX,,,,,,,,
2008   Q3,$3.79 B,TGT,EMC,DPS,WB-OLD,WEN,LDG,BKS,V,AIG,MA,BGP,SHLDQ,GLRE,,,,,,,
2008   Q2,$3.04 B,TGT,EMC,SHLDQ,DPS,WEN,BKS,BGP,GLRE,LDG,CBY,,,,,,,,,,
2008   Q1,$2.34 B,TGT,SHLDQ,BKS,WEN,BGP,GLRE,CSG,,,,,,,,,,,,,
2007   Q4,$1.35 B,SHLDQ,TGT,BKS,BGP,GLRE,CSG,,,,,,,,,,,,,,
2007   Q3,$2.96 B,MCD,CEN,SHLDQ,BKS,TGT,BGP,GLRE,CSG,,,,,,,,,,,,
