"Date","Mkt.RF","SMB","HML","RMW","CMA","RF","Rp","Rp.Rf"
2012-03-01,3.11,-0.45,0.92,-0.33,0.82,0,0.636590399968817,0.636590399968817
2012-04-01,-0.85,-0.59,-0.48,1.12,0.67,0,-0.158286613643794,-0.158286613643794
2012-05-01,-6.19,-0.09,-0.59,2.28,2.39,0.01,-5.61974969185563,-5.62974969185563
2012-06-01,3.89,0.95,0.44,-1.24,0.34,0,-1.72121236523427,-1.72121236523427
2012-07-01,0.79,-2.68,-0.27,1.11,0.13,0,3.49819592999199,3.49819592999199
2012-08-01,2.55,0.44,1.31,-1.26,-0.73,0.01,3.27551008618961,3.26551008618961
2012-09-01,2.73,0.66,1.53,-1.38,1.59,0.01,0.189449730803007,0.179449730803007
2012-10-01,-1.76,-0.81,3.79,-1.39,2.28,0.01,2.24720778890037,2.23720778890037
2012-11-01,0.78,0.36,-0.97,0.68,0.91,0.01,-1.41114963800124,-1.42114963800124
2012-12-01,1.18,1.87,3.58,-1.98,0.86,0.01,2.69533415747767,2.68533415747767
2013-01-01,5.57,0.56,0.95,-1.64,1.47,0,7.01896881399274,7.01896881399274
2013-02-01,1.29,-0.38,0.03,-0.69,0.48,0,1.26792351923105,1.26792351923105
2013-03-01,4.03,0.83,-0.3,0.17,1.31,0,2.18266542325141,2.18266542325141
2013-04-01,1.55,-2.3,0.62,0.07,0.47,0,-0.307450314050876,-0.307450314050876
2013-05-01,2.8,2.06,2.6,-1.66,-0.78,0,3.56897843384124,3.56897843384124
2013-06-01,-1.2,1.35,-0.17,-0.44,-0.01,0,-2.5519681307612,-2.5519681307612
2013-07-01,5.65,1.8,0.56,-1.46,0.56,0,5.246757390446,5.246757390446
2013-08-01,-2.71,-0.01,-2.78,0.62,-2.16,0,-3.26827981384884,-3.26827981384884
2013-09-01,3.77,2.67,-1.19,-0.73,-1.32,0,3.06978899191335,3.06978899191335
2013-10-01,4.18,-1.53,1.14,2.7,0.87,0,5.96458748856901,5.96458748856901
2013-11-01,3.12,1.33,0.24,0.14,0.05,0,2.23870351301401,2.23870351301401
2013-12-01,2.81,-0.53,-0.31,-0.52,0.07,0,0.480319590388992,0.480319590388992
2014-01-01,-3.32,0.57,-2.09,-3.99,-1.4,0,-1.24773726665783,-1.24773726665783
2014-02-01,4.65,0.15,-0.4,-0.26,-0.41,0,6.50187298731154,6.50187298731154
2014-03-01,0.43,-1.17,5.09,2.16,1.9,0,-1.67649229650134,-1.67649229650134
2014-04-01,-0.19,-4.15,1.14,3.48,1.07,0,0.185278681823167,0.185278681823167
2014-05-01,2.06,-1.89,-0.27,0.1,-1.08,0,3.4567179217171,3.4567179217171
2014-06-01,2.61,3.1,-0.74,-1.97,-1.91,0,5.54691467403005,5.54691467403005
2014-07-01,-2.04,-4.25,0.01,0.94,0.47,0,-0.230481250496528,-0.230481250496528
2014-08-01,4.24,0.29,-0.59,-0.63,-0.7,0,4.14571886386917,4.14571886386917
2014-09-01,-1.97,-3.79,-1.23,1.13,-0.51,0,2.55307867252593,2.55307867252593
2014-10-01,2.52,3.78,-1.7,-0.47,-0.17,0,0.878887110212544,0.878887110212544
2014-11-01,2.55,-2.31,-3,1.4,0.18,0,6.44536954313078,6.44536954313078
2014-12-01,-0.06,2.88,2.06,-1.16,0.88,0,-2.49293815922756,-2.49293815922756
2015-01-01,-3.11,-0.87,-3.48,1.67,-1.67,0,1.47812155953086,1.47812155953086
2015-02-01,6.13,0.21,-1.81,-1.07,-1.75,0,11.7790642386833,11.7790642386833
2015-03-01,-1.12,3.04,-0.46,0.1,-0.51,0,-2.04138245340431,-2.04138245340431
2015-04-01,0.59,-3.03,1.85,-0.15,-0.49,0,2.32415295670373,2.32415295670373
2015-05-01,1.36,0.77,-1.37,-1.72,-0.74,0,2.5016504508724,2.5016504508724
2015-06-01,-1.53,2.86,-0.79,0.5,-1.47,0,-4.46661100936945,-4.46661100936945
2015-07-01,1.54,-4.55,-4.12,0.04,-2.56,0,7.39259047742278,7.39259047742278
2015-08-01,-6.04,0.4,2.66,0.76,1.25,0,-7.56125387444493,-7.56125387444493
2015-09-01,-3.08,-2.78,0.53,1.81,-0.51,0,-9.446339720909,-9.446339720909
2015-10-01,7.75,-2.16,-0.07,0.82,0.43,0,-0.900430538115598,-0.900430538115598
2015-11-01,0.56,3.35,-0.51,-2.57,-1.1,0,-0.637350566981796,-0.637350566981796
2015-12-01,-2.17,-2.99,-2.59,0.31,0.13,0.01,-0.423578199850521,-0.433578199850521
2016-01-01,-5.77,-3.42,2.08,2.6,3.02,0.01,-8.2035742368199,-8.2135742368199
2016-02-01,-0.07,0.95,-0.5,3.29,2.05,0.02,-2.2102611173134,-2.2302611173134
2016-03-01,6.96,1.1,1.16,0.81,-0.02,0.02,3.743128220412,3.723128220412
2016-04-01,0.92,1.17,3.26,-2.89,1.97,0.01,7.10109180678462,7.09109180678462
2016-05-01,1.78,-0.71,-1.81,-1.02,-2.55,0.01,-2.13423259126026,-2.14423259126026
2016-06-01,-0.05,0.49,-1.47,1.19,1.92,0.02,-1.99113268105563,-2.01113268105563
2016-07-01,3.95,2.64,-1.11,1.33,-1.24,0.02,4.9583962110382,4.9383962110382
2016-08-01,0.5,1.72,3.34,-1.33,-0.39,0.02,8.17017239579975,8.15017239579976
2016-09-01,0.25,1.74,-1.49,-2.29,-0.08,0.02,-4.45691219032028,-4.47691219032028
2016-10-01,-2.02,-4.01,4.16,1.19,0.24,0.02,-4.05999386599912,-4.07999386599912
2016-11-01,4.86,6.81,8.29,-0.1,3.7,0.01,1.82165745266983,1.81165745266983
2016-12-01,1.82,0.41,3.58,0.99,-0.3,0.03,0.20317120889762,0.17317120889762
2017-01-01,1.94,-1.28,-2.78,-0.01,-0.95,0.04,3.45426711567728,3.41426711567728
2017-02-01,3.57,-2.13,-1.79,0.78,-1.72,0.04,4.91128627778294,4.87128627778294
2017-03-01,0.17,0.78,-3.17,0.68,-1,0.03,2.07049903675709,2.04049903675709
2017-04-01,1.09,0.49,-1.87,2,-1.55,0.05,2.86141421161742,2.81141421161742
2017-05-01,1.06,-3.05,-3.78,1.21,-1.88,0.06,6.35899351690426,6.29899351690426
2017-06-01,0.78,2.48,1.35,-2.01,-0.07,0.06,-3.16233528223208,-3.22233528223208
2017-07-01,1.87,-1.59,-0.29,-0.71,-0.15,0.07,-1.08751502077842,-1.15751502077842
2017-08-01,0.16,-1.85,-2.24,0.28,-2.42,0.09,-4.10256520153543,-4.19256520153543
2017-09-01,2.51,4.84,3.03,-1.18,1.63,0.09,1.61638608182056,1.52638608182056
2017-10-01,2.25,-1.97,-0.05,1.04,-3.33,0.09,1.3297874013639,1.2397874013639
2017-11-01,3.12,-0.43,-0.04,3.12,0,0.08,1.5404840013307,1.4604840013307
2017-12-01,1.06,-1.04,0.14,0.65,1.65,0.09,-0.0518527694542344,-0.141852769454234
2018-01-01,5.58,-3.15,-1.37,-0.5,-0.89,0.11,3.57783140425866,3.46783140425867
2018-02-01,-3.65,0.32,-1.19,0.52,-2.25,0.11,-2.64888979319663,-2.75888979319663
2018-03-01,-2.35,3.54,-0.12,-0.51,0,0.12,-1.31236175109934,-1.43236175109934
2018-04-01,0.29,0.97,0.54,-2.09,1.18,0.14,4.1217302578221,3.9817302578221
2018-05-01,2.65,4.72,-3.16,-1.95,-1.42,0.14,5.07736848351699,4.93736848351699
2018-06-01,0.48,0.86,-2.38,0.71,0.33,0.14,1.68847740436623,1.54847740436623
2018-07-01,3.19,-1.92,0.43,1.61,0.43,0.16,3.27089465991839,3.11089465991839
2018-08-01,3.44,0.65,-4.08,-0.28,-2.5,0.16,1.75460312871929,1.59460312871929
2018-09-01,0.06,-2.52,-1.3,0.59,1.24,0.15,1.92182860399214,1.77182860399214
2018-10-01,-7.68,-4.51,3.44,0.87,3.45,0.19,-6.61916847254528,-6.80916847254528
2018-11-01,1.69,-0.82,0.25,-0.6,0.32,0.18,4.04157583195637,3.86157583195637
2018-12-01,-9.55,-3.05,-1.47,-0.13,0.16,0.19,-6.91513750264293,-7.10513750264293
2019-01-01,8.41,3.09,-0.62,-0.69,-1.36,0.21,11.8772912499381,11.6672912499381
2019-02-01,3.4,1.78,-2.84,0.24,-1.47,0.18,8.01027978641837,7.83027978641837
2019-03-01,1.1,-3.54,-4.07,0.93,-1.02,0.19,5.82577273834072,5.63577273834072
2019-04-01,3.96,-1.13,1.93,1.75,-2.17,0.21,2.32751363138253,2.11751363138253
2019-05-01,-6.94,-1.47,-2.39,-0.35,1.78,0.21,-4.21246026855008,-4.42246026855008
2019-06-01,6.93,0.37,-1.08,0.94,-0.38,0.18,8.50542473468875,8.32542473468875
2019-07-01,1.19,-1.91,0.14,-0.08,0.36,0.19,3.93443442323461,3.74443442323461
2019-08-01,-2.58,-3.3,-4.99,0.37,-0.96,0.16,3.22172758361217,3.06172758361217
2019-09-01,1.44,0.32,6.71,1.97,3.55,0.18,-2.1045363580312,-2.2845363580312
2019-10-01,2.06,0.21,-2.07,0.43,-0.96,0.15,-2.48129733715118,-2.63129733715118
2019-11-01,3.87,0.5,-1.86,-1.5,-1.29,0.12,4.14675647038391,4.02675647038391
2019-12-01,2.77,0.96,1.83,0.21,1.31,0.14,3.01883333413047,2.87883333413047
