,AAL,ADNT,AIG,ALLY,AMZN,APA,APC,BAC,BBY,BEN,BKNG,BMC,BMY,C,CBRE,CHK,CHTR,CMCSA,COF,CPN,CVE,CXO,DELL,DISCA,DISCK,DNB,DTV,EBAY,EOG,FB,FCAU,FDX,FNF,FRX,GE,GOOG,GOOGL,GPS,HD,HLT,HOG,HRB,IMS,INTC,JPM,KMT,LEA,LMDIA,LNKD,LTD,MA,MAT,MCD,MDT,MGM,MON,MS,NFLX,NFX,ORCL,PHM,QRTEA,REGN,S,SGP,STZ,TEL,TRW,TWX,TXN,VIAB,WFT,WM,WU,XRX,YUM
2015 Q2,,,6.3,,4.69,3.93,,5.92,,3.99,,,,6.03,5.5,4.76,,,4.45,2.99,,,,,,,,,,,,,4.85,,4.63,,5.85,,,,,,,3.25,5.88,,,,,,5.77,,,,,3.98,,,,4.37,,4.24,,,,,5.75,,,,,,,,,
2015 Q1,,,5.79,,5.51,5.71,,5.21,,4.15,,,,5.47,5.6,4.23,,,3.88,3.69,,,,,,,,,,,,,4.69,,4.21,,5.85,,,,,,,3.26,5.12,,,,,,7.98,,,4.03,,,,,,5.04,,4.34,,,,,6.24,,,,,,,,,
2014 Q4,,,5.85,,5.2,7.74,,5.53,,4.36,,,,5.17,4.82,3.69,,,3.96,3.48,,,,,,,,,,,,3.82,4.28,,,,5.13,,,,,,,3.68,5.14,,,,,,7.74,,,3.86,,,,,,6.95,,4.26,,,,,5.36,,,,,,,,,
2014 Q3,,,6.29,,5.41,7.0,,5.81,,3.88,,,,5.41,4.51,,,,4.31,3.76,,,,,,,,,,,,4.05,3.79,,,,5.45,,,,,,,3.89,5.45,,,,,,7.13,,,3.75,,,,,,6.7,,3.85,,,,,5.04,4.52,,,,,,,,
2014 Q2,,,5.33,,4.29,6.02,,5.39,,4.37,,,,4.49,4.63,,,,4.82,4.56,,,,,,,,,,,,4.2,4.93,,,,4.45,,,,,,,3.81,5.18,,,,,,5.83,,,4.27,,,,,,4.96,,4.38,,,,,6.14,7.96,,,,,,,,
2014 Q1,,,5.3,,,5.85,,6.62,,4.51,,,,,4.45,,,2.91,6.0,4.71,1.63,,,,,,5.42,,,,,4.33,,,,,,,,,,,,3.75,5.2,2.9,,,,,5.3,,,5.68,,,,,,4.79,,5.07,,,,,7.04,8.55,,,,,,,,
2013 Q4,,,5.61,,,3.92,,6.36,,,,,,,,,,3.87,6.31,4.66,2.17,,,,,,5.19,,,,,4.98,,6.02,,,,,,,,,,4.0,5.31,3.61,,,,,6.28,,,5.62,,,,,0.83,4.75,,5.47,,,,,6.84,7.99,,,,,,,,
2013 Q3,,,5.94,,,,,6.26,,,,,,,,,,3.74,6.29,3.92,3.24,,,,,,4.99,,,,,4.39,,4.77,,,,,,,,,,3.92,5.21,3.51,,,,,5.62,,,5.79,,,,,3.08,4.4,,4.86,,,,,7.13,8.51,,4.43,,,,,,
2013 Q2,,,6.0,,,,,6.14,,,,,,,,,,3.6,6.05,4.51,3.6,,,,,,5.42,,,,,3.99,,4.81,,,,,,,,,,4.36,5.6,3.15,,,,,5.05,,,5.89,,,,,3.3,4.29,,5.01,,,,,6.73,8.35,,4.14,,,,,,
2013 Q1,,,5.45,,,,,6.08,,,,,,,,,,3.76,5.54,4.58,3.55,,4.81,,,,5.21,,,,,4.16,,4.67,,,,,,,,,,4.56,5.55,3.07,,,,,4.98,,,5.9,,,,,4.18,,,4.87,,,,,6.48,7.07,,4.4,,,,,,
2012 Q4,,,5.0,,,,,6.52,,,,,,,,,,4.19,5.81,4.23,4.12,,4.16,,6.56,,4.04,,,,,4.37,,,,,,,,,,,,4.27,5.78,3.16,,,,,5.09,,,4.72,,,,,5.32,,,5.05,,,,,6.46,7.05,,4.12,,,,,,
2012 Q3,,,4.22,,,,,5.25,,,,4.33,,,,,,5.15,6.05,4.28,4.53,,3.09,,8.99,,4.47,,,,,4.27,,,,,,,,,,,,4.34,5.64,,,,,,4.95,,,5.1,,,,,5.14,,,5.02,,,,,5.97,5.32,,3.88,,,,,,
2012 Q2,,,,,,,,,,,,4.54,,,,,,5.28,5.91,3.66,4.21,,4.0,,8.71,,4.41,5.21,,,,4.71,,,,,,,,,,,,5.0,5.06,,,,,,4.8,,,4.67,,,,,5.32,,,5.67,,,,,5.7,4.17,4.86,4.12,,,,,,
2012 Q1,,,,,,,,,,,,,,,,,,5.36,5.3,3.65,4.43,,4.63,,8.92,,4.43,4.51,,,,4.21,,,,,,,,,,3.95,,5.24,5.28,,,,,,4.85,,,4.52,,,,,3.91,,,6.28,,,,,6.29,5.04,4.56,4.62,,,,,,
2011 Q4,,,,,,,,,,,,,,,,,,5.31,4.54,4.3,4.51,,4.39,,9.23,,3.87,4.41,,,,4.57,,,,,,,,,,4.52,,5.16,4.62,,,,,,5.5,,,4.67,,,,,4.26,,,6.49,,,,,6.06,4.26,4.66,4.66,,,,,,
2011 Q3,,,,,,,,,,,,,4.48,,,,,5.71,4.69,5.13,4.59,,4.67,,9.47,,4.41,4.72,,,,3.92,,,,,,,,,,4.18,,4.99,4.18,,,,,,5.15,,,4.32,,,,,3.83,,,6.51,,,,,6.09,,4.25,4.7,,,,,,
2011 Q2,,,,,,,,,3.67,,,,4.52,,,,,5.61,4.33,4.93,4.73,,4.62,,8.55,,4.45,4.34,,,,,,,,,,,,,,3.92,,4.36,3.98,,,,,,4.69,,,4.2,,,,,4.19,,,6.53,,,,,6.68,,4.19,4.86,,,,,,
2011 Q1,,,,,,,,,3.4,,,,4.28,,,,,5.45,4.61,4.92,5.01,,4.07,,8.34,,4.24,4.47,,,,,,,,,,,,,,4.27,,4.01,4.53,,,,,,3.97,,,4.35,,,,,4.74,,,6.33,,,,,6.41,,4.17,5.18,,,,,,
2010 Q4,,,,,,,,3.43,4.27,,,,4.52,,,,,5.14,4.26,4.35,4.59,,4.0,,9.15,,3.81,4.33,,,,,,,,,,,,,,,,4.4,4.39,,,,,,,,,4.31,,,,,5.03,,,6.41,,,,,7.15,,3.95,5.36,,,,3.98,,
2010 Q3,,,,,,,,,5.14,,,,4.84,,,,,4.39,4.14,4.24,4.4,,4.0,,10.56,,4.33,5.19,,,,,,,,,,,,,,3.64,,4.21,4.12,,,,,,,,,4.08,,,,,4.49,,,5.95,,,,,6.17,,3.94,4.68,,,,3.96,,
2010 Q2,,,,,,,,4.13,4.56,,,,4.87,,,,,4.54,4.51,4.64,4.7,,3.98,,11.93,,3.93,4.46,,,,,,,,,,,,,,4.2,,4.56,4.24,,,,,,,,,4.71,,,,,4.31,,,4.87,,,,,5.03,,3.97,4.29,,,,,,
2010 Q1,,,,,,,,4.57,4.48,,,,4.75,,,,,4.27,4.12,,4.25,,,,10.58,,7.33,4.23,,,,,,,,,,,,,,4.68,,4.64,3.87,,,,,,,,,4.65,,,,,4.52,,,5.76,,,,,4.62,,4.15,3.92,,,,3.62,,3.51
2009 Q4,,,,,,,,4.8,4.12,,,,4.84,,,,,4.09,3.77,,3.56,,3.58,,10.63,,8.04,3.98,,,,,,,,,,,,,,6.41,,4.58,3.88,,,,,,,,,4.89,,,,,4.5,,,4.39,,,,,4.44,,4.16,4.14,,,,3.74,,
2009 Q3,,,,,,,,4.02,4.09,,,,4.49,,,,,,4.18,,,,4.15,,11.38,,,4.35,,,,,,,,,,,,,,5.68,,4.79,4.45,,,8.17,,,,,,4.46,,,,,4.34,,,4.58,,,5.18,,4.4,,4.48,4.11,5.07,,,,,3.63
2009 Q2,,,,,,,,3.43,3.64,,,,4.53,,,,,,3.14,,,,4.08,,10.35,,,3.81,,,,,,,,,,,,,,5.91,,4.6,3.97,,,8.53,,,,,,4.81,,,,,3.98,,,,,,5.44,,4.11,,4.82,4.83,5.2,,,4.06,,4.27
2009 Q1,,,,,,,,2.21,5.4,,,,4.94,,,,,,2.36,,,,3.52,,9.21,,,3.49,,,,,,,,,,,,,,7.78,,5.22,4.38,,,7.94,,,,,,4.48,,,,,3.75,,,,,,6.67,,3.41,,4.61,4.56,4.97,,,4.21,,5.11
2008 Q4,,,,,,,,3.8,4.52,,,,5.09,,,,,,5.33,,,,3.3,,7.63,,,3.17,,,,,,,,,,,,,,9.49,,5.18,4.52,,,6.04,,,,,,3.61,,,,,,,,1.69,,,6.64,,4.35,,4.98,3.72,5.12,,,4.17,,7.63
2008 Q3,,,,,,,,,4.3,,,,5.13,,,,,4.65,6.08,,,,3.45,3.17,2.6,,,,,,,,,,,,,,,,,10.27,,4.72,5.54,,,,,4.74,,,5.13,,,,3.63,,,,,4.97,,,4.38,,,,4.63,,4.76,,,5.12,4.04,8.24
2008 Q2,,,,,,,,,3.43,,,,4.68,,,,,4.71,4.13,,,,4.04,7.86,,,,,,,,,,,,,,,,,,8.91,,4.77,3.71,,,,,4.62,,,4.12,,,,3.71,,,,,5.33,,,4.11,,,,4.61,,4.06,,5.2,5.6,4.19,8.2
2008 Q1,,,,,,,,,,,,,4.49,,,,,4.5,4.32,,,,4.67,6.63,,,,,,,,,,,,,,,3.23,,,9.18,,4.92,4.75,,,,,4.9,,,4.22,,,,4.13,,,,,5.21,,,,,,,4.73,,5.28,,6.56,4.76,4.27,9.25
2007 Q4,,,,,,,,,,,,,5.09,,,,,3.65,,,,,4.83,6.58,,2.6,,,,,,,,,,,,,2.86,,,7.08,4.59,5.21,5.02,,,,,4.55,,,4.77,,,,,,,,,5.16,,,,,,,5.22,,5.54,,7.99,5.26,5.17,8.83
2007 Q3,,,,,,,,,,,,,4.22,,,,,,,,,,3.67,5.89,,2.72,,,,,,,,,,,,,2.87,,,6.49,4.66,4.38,3.92,,,,,4.09,,,7.13,,,,,,,,3.03,4.34,,3.66,,,,,4.86,,4.33,,13.7,3.44,4.12,8.48
2007 Q2,,,,,,,,,,,,,4.49,,,,,,,,,,4.16,4.26,,3.66,,,,,,,,,,,,,3.37,,,6.38,4.41,4.28,3.82,,,,,4.37,,,6.18,,,,,,,,2.88,4.62,,3.55,,,,,5.25,,4.27,,14.75,3.08,3.98,8.24
2007 Q1,,,,,,,,,,,,,4.2,,,,,,,,,,3.52,3.69,,4.37,,,,,,,,,,,,1.4,,,,5.97,4.39,4.09,4.75,,,,,4.31,,,6.59,,,,,,,,3.06,5.12,,3.38,,,,,5.4,,4.38,,14.53,3.37,4.65,8.82
2006 Q4,,,,,,,,,,,,,3.85,,,,,,,,,,3.67,2.99,,4.4,,,,,,,,,,,,2.87,,,,6.12,3.93,4.18,4.57,,,,,4.62,,2.11,6.26,,,,,,,,3.41,4.47,,,,,,,5.75,,4.22,,15.79,3.32,4.8,8.66
